_runtime,loss_boundary,loss_interior,_step,_timestamp,step,time,l2_error,loss
7.381628513336182,1.496973841227229,122.66030248931287,0,1715452361.3307295,0,3.248737335205078,1.4099392670117903,124.1572763305401
9.408013343811035,0.947727992766575,113.60431035126403,1,1715452363.3571143,1,5.633803129196167,1.02484249611481,114.5520383440306
11.416549444198608,0.5806656759838877,103.11885310166453,2,1715452365.3656504,2,7.642279386520386,1.0637314803999962,103.69951877764842
13.435126781463623,0.8485464014644467,41.63587311975015,3,1715452367.3842278,3,9.659424066543579,1.0002528021930641,42.4844195212146
15.44724702835083,0.6483835806820477,39.03957294089347,4,1715452369.396348,4,11.672728538513184,1.2426849642513822,39.68795652157552
17.46520972251892,1.0372862578568358,31.353837704886942,5,1715452371.4143107,5,13.69091248512268,1.1318617813710774,32.39112396274378
19.48824691772461,0.9286146218928912,25.275549327480842,6,1715452373.437348,6,15.713951110839844,1.1524332128327706,26.204163949373733
21.50115442276001,0.904648094256658,25.744001397547965,7,1715452375.4502554,7,17.72659683227539,1.2958315934173097,26.648649491804623
23.517728805541992,1.149500298692075,26.194852388159894,8,1715452377.4668298,8,19.743354082107544,1.290809795905747,27.34435268685197
25.53133797645569,1.1366795955185085,26.483698094912125,9,1715452379.480439,9,21.75604748725891,1.5998295532566535,27.620377690430633
27.559342861175537,1.7543337885619235,21.593265457909407,10,1715452381.5084438,10,23.784503698349,1.5658268538319735,23.34759924647133
29.565853118896484,1.6509773424097003,19.613400267952336,11,1715452383.514954,11,25.7912118434906,1.6075151056281034,21.264377610362036
31.589670181274414,1.765897829541729,17.72375747685336,12,1715452385.5387712,12,27.814980506896973,1.6525430403123225,19.48965530639509
33.594146966934204,1.941981372294435,17.00326174523879,13,1715452387.543248,13,29.819549322128296,1.6991847992890117,18.945243117533227
35.607054471969604,2.0197301075854788,15.920427843141102,14,1715452389.5561554,14,31.832327127456665,1.7032806032514596,17.94015795072658
37.62756848335266,1.969108207326637,17.286483534769243,15,1715452391.5766695,15,33.85287570953369,1.7893533558178443,19.25559174209588
39.645588397979736,2.2160625705689636,16.961007486584908,16,1715452393.5946894,16,35.87081837654114,1.8085677642719293,19.17707005715387
41.66714406013489,2.4279516746944254,16.91751245154913,17,1715452395.616245,17,37.89212250709534,1.8530345447208985,19.345464126243556
43.68740105628967,2.3320660935674478,14.173555348246898,18,1715452397.636502,18,39.912447452545166,1.9464555571959015,16.505621441814345
45.7072536945343,2.6417327110173447,14.491930403983686,19,1715452399.6563547,19,41.93215894699097,1.969699935008762,17.13366311500103
47.7218074798584,2.7445200339074747,14.961453534585,20,1715452401.6709085,20,43.94689130783081,2.022664782905935,17.705973568492475
49.73192286491394,2.7477217086875636,14.434400075026787,21,1715452403.6810238,21,45.95697355270386,2.0129840387669358,17.18212178371435
51.739843130111694,2.880104053083954,13.103560080267018,22,1715452405.688944,22,47.96481490135193,2.0184434242002878,15.983664133350972
53.75277495384216,2.831201035434811,13.196071811889668,23,1715452407.701876,23,49.977638721466064,2.0471627926929066,16.02727284732448
55.776360511779785,2.9464943697674784,12.540586477748272,24,1715452409.7254615,24,52.00122046470642,2.151567322864287,15.48708084751575
57.79381775856018,3.2901994249596185,11.64254239279032,25,1715452411.7429187,25,54.01850867271423,2.081632133098526,14.932741817749939
59.8133807182312,2.7452278317510252,11.15749788908151,26,1715452413.7624817,26,56.03792691230774,2.118317015852219,13.902725720832535
61.83734917640686,3.2396687103696395,11.698609840234019,27,1715452415.7864501,27,58.06192588806152,2.105223373980102,14.938278550603659
63.85541796684265,2.9231541121417637,11.202478433278753,28,1715452417.804519,28,60.079978704452515,2.1160642083490027,14.125632545420515
65.87141966819763,3.1300033271113707,11.860013354498593,29,1715452419.8205206,29,62.09620761871338,2.1174608124066556,14.990016681609964
67.88201332092285,3.047466825749697,12.025779175212211,30,1715452421.8311143,30,64.10678005218506,2.132074752341119,15.073246000961909
69.8929615020752,3.008728267675716,11.96783505391973,31,1715452423.8420625,31,66.1177146434784,2.132084381438803,14.976563321595446
71.91084313392639,3.0966987620796207,10.351689889864641,32,1715452425.859944,32,68.13571691513062,2.1446674087589894,13.448388651944262
73.93117880821228,3.166393826394842,10.467984048948088,33,1715452427.8802798,33,70.15580940246582,2.134931680890464,13.63437787534293
75.95486998558044,3.0412611665676597,12.040993293403957,34,1715452429.903971,34,72.17957949638367,2.167857376984105,15.082254459971617
77.9660906791687,3.1566027687753384,10.363179969301054,35,1715452431.9151917,35,74.19092273712158,2.1456835030619286,13.519782738076392
79.98146533966064,3.0188020541652234,10.225779211471048,36,1715452433.9305663,36,76.20607256889343,2.1630170189541382,13.24458126563627
81.99573373794556,3.190993330901738,11.543377766349264,37,1715452435.9448347,37,78.22024321556091,2.154870678103721,14.734371097251003
84.01732516288757,2.859454675976015,9.280294212923994,38,1715452437.9664261,38,80.24187660217285,2.1765656756356613,12.139748888900009
86.05473709106445,3.111311141316732,9.730679827307746,39,1715452440.003838,39,82.27917981147766,2.159979858719759,12.841990968624478
88.06739020347595,3.034514806594066,11.13795467632599,40,1715452442.0164912,40,84.29217863082886,2.18301994890338,14.172469482920055
92.08102989196777,2.932928903171059,9.444803586292657,41,1715452446.0301309,42,88.30559134483337,2.1855072134191516,12.377732489463716
100.06104350090027,3.776264221324322,7.237104493774452,42,1715452454.0101445,46,96.28540873527527,2.3021401599546776,11.013368715098775
108.04448127746582,4.143727610056605,7.362681037562736,43,1715452461.9935822,50,104.26862049102783,2.29770002986187,11.506408647619342
