time,_timestamp,loss,step,_runtime,l2_error,loss_boundary,loss_interior,_step
1.6480369567871094,1715601486.5446272,124.1572763305401,0,5.656183242797852,1.5767443544367377,1.496973841227229,122.66030248931287,0
2.3740720748901367,1715601487.0243483,124.15726871963996,1,6.135904312133789,15.91707707180245,1.4969727088257752,122.66029601081418,1
2.7882063388824463,1715601487.4375904,272723.1411012608,2,6.549146413803101,5.588915821015226,125.39879079750825,272597.7423104633,2
3.200197458267212,1715601487.8496315,19064.698310630807,3,6.9611876010894775,5.901631369209038,15.880967764214844,19048.81734286659,3
3.612610340118408,1715601488.262165,2372.377588546679,4,7.373721122741699,4.819178591376849,17.814440840422257,2354.5631477062566,4
4.025012493133545,1715601488.6743796,534.4317111189764,5,7.785935640335083,3.934662695303389,12.27623464933431,522.155476469642,5
4.437367677688599,1715601489.0882342,176.63196882338926,6,8.199790239334106,3.3278690847542243,8.45101973420575,168.1809490891835,6
4.851487874984741,1715601489.500881,78.87544572620524,7,8.612437009811401,2.8191708127790394,6.270839292809971,72.60460643339528,7
5.263822793960571,1715601489.9131908,55.418367128552774,8,9.024746894836426,2.4423247216677924,4.659737886735824,50.75862924181695,8
5.675971508026123,1715601490.3253584,40.2815285008048,9,9.436914443969727,2.0611487580697183,3.635756950063572,36.64577155074122,9
6.088231801986694,1715601490.7376242,29.00033895833897,10,9.849180221557617,1.9324884217888787,2.7561487137132774,26.244190244625692,10
6.500624895095825,1715601491.1499963,23.18240427036287,11,10.261552333831787,1.9098398449225293,2.528834413419388,20.65356985694348,11
6.913436412811279,1715601491.5629895,19.121313380165695,12,10.674545526504517,1.915562007286471,2.5373036234124204,16.584009756753275,12
7.3263325691223145,1715601491.9758284,14.478957505328584,13,11.087384462356567,1.8638933378262479,2.6111345595874615,11.867822945741123,13
7.740072727203369,1715601492.3895342,12.169885271259737,14,11.501090288162231,1.8289190713357013,2.4848126837806093,9.685072587479128,14
8.157087087631226,1715601492.8065777,10.692101111813326,15,11.918133735656738,1.7910485434795602,2.372645448275942,8.319455663537383,15
8.57024621963501,1715601493.2197533,9.3752428163738,16,12.33130931854248,1.6813721998928846,2.2734470693718656,7.101795747001935,16
8.983254671096802,1715601493.6326902,8.22113280233539,17,12.744246244430542,1.569625380132576,2.0147092559138446,6.206423546421545,17
9.39899206161499,1715601494.0484056,7.302353111598315,18,13.159961700439453,1.4522191470816523,1.7425638264273668,5.559789285170948,18
9.811728477478027,1715601494.4611304,6.478690051961583,19,13.572686433792114,1.3308719003107723,1.4832025321079427,4.99548751985364,19
10.22412919998169,1715601494.8735337,5.767035375673181,20,13.985089778900146,1.1867546560171867,1.2390163181486924,4.528019057524489,20
10.636529445648193,1715601495.2859254,4.754501613331701,21,14.397481441497803,1.1135049998583404,0.9660385928472581,3.788463020484443,21
11.04964017868042,1715601495.6990018,4.263881405479324,22,14.810557842254639,0.9821940295721409,0.8409748922119662,3.4229065132673577,22
11.462458610534668,1715601496.1121008,3.589855033361981,23,15.22365689277649,0.8904443442504869,0.6431947053855586,2.9466603279764225,23
11.875828742980957,1715601496.5252552,3.096525008145605,24,15.636811256408691,0.8172720158283109,0.5227305334458497,2.573794474699755,24
12.288493156433105,1715601496.937886,2.805216663827879,25,16.049442052841187,0.7189699798267846,0.44184709998896693,2.363369563838912,25
12.700674295425415,1715601497.3501174,2.4818859316513686,26,16.461673498153687,0.6638586781376579,0.346824793521724,2.1350611381296445,26
13.113548994064331,1715601497.7631679,2.303283829510439,27,16.8747239112854,0.5975301937477717,0.30010305615084737,2.0031807733595914,27
13.526442050933838,1715601498.1758878,2.1273470694928234,28,17.28744387626648,0.5422291288703281,0.250519171414258,1.8768278980785653,28
13.939117193222046,1715601498.5885036,2.003123661258622,29,17.70005965232849,0.5130176502032467,0.2133152935710445,1.7898083676875776,29
14.354079008102417,1715601499.0034468,1.9337277161809436,30,18.115002870559692,0.48485608390195534,0.1950939545105899,1.7386337616703538,30
14.766391277313232,1715601499.4158494,1.856773373368853,31,18.527405500411987,0.4600383548827894,0.17892047949562367,1.6778528938732293,31
15.178949117660522,1715601499.8283744,1.804796606259521,32,18.93993043899536,0.43594044174360563,0.16529360037935717,1.6395030058801638,32
15.59128999710083,1715601500.2407837,1.7345172484858142,33,19.35233974456787,0.42936324447414925,0.15209310025722814,1.5824241482285861,33
16.00394606590271,1715601500.6534436,1.6846208265821614,34,19.764999628067017,0.41876443745161673,0.1489888441953923,1.535631982386769,34
16.41641926765442,1715601501.0658844,1.639655240963498,35,20.177440404891968,0.4074147495184837,0.14445141245941875,1.4952038285040792,35
16.828198194503784,1715601501.4776273,1.5853723447308419,36,20.58918333053589,0.4037160802085717,0.13924214102584348,1.4461302037049983,36
17.242581844329834,1715601501.8919916,1.5458641515967937,37,21.00354766845703,0.3963002126073505,0.13795982284028685,1.4079043287565067,37
17.65467596054077,1715601502.3041625,1.5078879562114036,38,21.41571855545044,0.3884155940395625,0.13500665192319602,1.3728813042882075,38
18.067626476287842,1715601502.7170608,1.4712349430919271,39,21.828616857528687,0.3878718709036509,0.1312276971584682,1.3400072459334589,39
18.479679584503174,1715601503.1291611,1.42725524857737,40,22.24071717262268,0.38689463440216826,0.13076562887678989,1.29648961970058,40
19.285423755645752,1715601503.935009,1.3160079406171472,42,23.046565055847168,0.3829499626417911,0.12403614124642001,1.1919717993707273,41
20.87480592727661,1715601505.5244389,1.0566330834316404,46,24.635994911193848,0.3539355864053318,0.10327501301982094,0.9533580704118194,42
