step,time,l2_error,loss,arm,system,seed,lr,damping,momentum,norm_constraint,num_seconds,equation
39,254.3594377040863,0.034112497588201375,0.0011925212844383077,engdw,heat4,1,,,,,3000,heat
40,260.72885513305664,0.030748338319808374,0.000932119278657945,engdw,heat4,1,,,,,3000,heat
42,273.448650598526,0.024977079349514843,0.0006337573347786744,engdw,heat4,1,,,,,3000,heat
46,298.8679349422455,0.01645750842004454,0.00027240493387204286,engdw,heat4,1,,,,,3000,heat
50,324.2865810394287,0.010830673837063287,0.00011653424246950872,engdw,heat4,1,,,,,3000,heat
55,356.0594825744629,0.006421614003815689,4.248435575412493e-05,engdw,heat4,1,,,,,3000,heat
61,394.16741394996643,0.003447717412352794,1.1841173063465167e-05,engdw,heat4,1,,,,,3000,heat
67,432.278137922287,0.0018538037155465463,3.5698044342251387e-06,engdw,heat4,1,,,,,3000,heat
73,470.39321541786194,0.0009907402633296829,1.0576683585277352e-06,engdw,heat4,1,,,,,3000,heat
81,521.2082288265228,0.0004428685004822785,2.035235123904196e-07,engdw,heat4,1,,,,,3000,heat
89,572.0157253742218,0.00019930216113518936,4.640152431343973e-08,engdw,heat4,1,,,,,3000,heat
98,629.1731810569763,9.429887161542348e-05,1.3099507119603234e-08,engdw,heat4,1,,,,,3000,heat
107,686.3299691677094,5.629121550469994e-05,6.579164538895815e-09,engdw,heat4,1,,,,,3000,heat
118,756.1936049461365,3.773954048174254e-05,3.76492950984091e-09,engdw,heat4,1,,,,,3000,heat
130,832.4054143428802,3.283478404643782e-05,3.620149903245109e-09,engdw,heat4,1,,,,,3000,heat
143,914.964996099472,3.0310663187810653e-05,2.2922289480001678e-09,engdw,heat4,1,,,,,3000,heat
157,1003.8681571483612,2.8180444927156514e-05,2.032018538433341e-09,engdw,heat4,1,,,,,3000,heat
172,1099.1192889213562,2.551348803117947e-05,1.688548446030561e-09,engdw,heat4,1,,,,,3000,heat
190,1213.4205794334412,2.4198259194522207e-05,1.5305091885129884e-09,engdw,heat4,1,,,,,3000,heat
208,1327.7184789180756,2.2488189921784248e-05,1.3099851790641245e-09,engdw,heat4,1,,,,,3000,heat
229,1461.0523800849915,2.118707111346213e-05,1.7520282310517754e-09,engdw,heat4,1,,,,,3000,heat
252,1607.0921590328217,2.063503160755698e-05,1.1443985063297523e-09,engdw,heat4,1,,,,,3000,heat
277,1765.8230872154236,1.919469142283447e-05,1.0264544540858368e-09,engdw,heat4,1,,,,,3000,heat
305,1943.6036026477814,1.7314658382716737e-05,8.109744071938455e-10,engdw,heat4,1,,,,,3000,heat
335,2134.0673563480377,1.7006739610395063e-05,7.203912676179868e-10,engdw,heat4,1,,,,,3000,heat
369,2349.9402062892914,1.585668934979824e-05,6.957556195218106e-10,engdw,heat4,1,,,,,3000,heat
406,2584.862062931061,1.5150506536416507e-05,6.681750731430434e-10,engdw,heat4,1,,,,,3000,heat
446,2838.821125268936,1.4652103094986735e-05,6.098540139477025e-10,engdw,heat4,1,,,,,3000,heat
472,3003.8973054885864,1.4372435749625048e-05,4.94957156470046e-10,engdw,heat4,1,,,,,3000,heat
0,6.323559045791626,1.3942694429130424,2.7349332628467895,engdw,heat4,2,,,,,3000,heat
1,12.655904293060303,1.2701354613148752,1.674340097163256,engdw,heat4,2,,,,,3000,heat
2,18.62555742263794,1.2322658590798958,1.3406567758860315,engdw,heat4,2,,,,,3000,heat
3,24.596941232681274,1.1465023779381942,1.2601080205561856,engdw,heat4,2,,,,,3000,heat
4,30.56680464744568,1.0491634421090605,1.0843310649376192,engdw,heat4,2,,,,,3000,heat
5,36.53664803504944,0.9505784769290744,0.8914032191071781,engdw,heat4,2,,,,,3000,heat
6,42.507972240448,0.8602305559419225,0.7265659891879355,engdw,heat4,2,,,,,3000,heat
7,48.51042938232422,0.7774062667693489,0.587447581936273,engdw,heat4,2,,,,,3000,heat
8,54.526042461395264,0.7019759652628185,0.4992295901523562,engdw,heat4,2,,,,,3000,heat
9,60.5472617149353,0.6332498534666419,0.39077734077852455,engdw,heat4,2,,,,,3000,heat
10,66.56499171257019,0.5711513959375937,0.3250050541713617,engdw,heat4,2,,,,,3000,heat
11,72.58253407478333,0.5148731316583518,0.25406187326912283,engdw,heat4,2,,,,,3000,heat
12,78.60032105445862,0.46430255877805016,0.21378713586350423,engdw,heat4,2,,,,,3000,heat
13,84.61765432357788,0.41867216401284596,0.16770462157145924,engdw,heat4,2,,,,,3000,heat
14,90.63432788848877,0.37754300859959583,0.13646317347410175,engdw,heat4,2,,,,,3000,heat
15,96.65083265304565,0.34035600811450245,0.11463152296069665,engdw,heat4,2,,,,,3000,heat
16,102.6683919429779,0.30679089095610607,0.09367713058434461,engdw,heat4,2,,,,,3000,heat
17,108.67951822280884,0.2766065480516679,0.07273365926416797,engdw,heat4,2,,,,,3000,heat
18,114.68911147117615,0.24941277273832965,0.06017385019870266,engdw,heat4,2,,,,,3000,heat
19,120.70134925842285,0.22498910784233772,0.04796563726741979,engdw,heat4,2,,,,,3000,heat
20,126.7477171421051,0.20291439751168236,0.03925977178703153,engdw,heat4,2,,,,,3000,heat
21,132.81447315216064,0.1830064210347768,0.034281590605163316,engdw,heat4,2,,,,,3000,heat
22,138.88110613822937,0.16503952720518422,0.026858529506095918,engdw,heat4,2,,,,,3000,heat
23,144.94754672050476,0.14875209885849355,0.020565270943193777,engdw,heat4,2,,,,,3000,heat
24,151.01516127586365,0.13412952677916498,0.01759234758838768,engdw,heat4,2,,,,,3000,heat
25,157.08090376853943,0.12094627863636408,0.014311592944607428,engdw,heat4,2,,,,,3000,heat
26,163.1476833820343,0.10903509911570788,0.011873976618298135,engdw,heat4,2,,,,,3000,heat
27,169.22055864334106,0.09836476381025591,0.009477386191520635,engdw,heat4,2,,,,,3000,heat
28,175.29758262634277,0.08872390797645821,0.00780840645974546,engdw,heat4,2,,,,,3000,heat
29,181.3702564239502,0.08003859360516558,0.006051762397143181,engdw,heat4,2,,,,,3000,heat
30,187.44706010818481,0.07217601001643151,0.005006497814419042,engdw,heat4,2,,,,,3000,heat
31,193.53177213668823,0.06510246202143256,0.004249388614315347,engdw,heat4,2,,,,,3000,heat
32,199.61656594276428,0.05871792422573237,0.0033416251942364507,engdw,heat4,2,,,,,3000,heat
33,205.70255661010742,0.05296538549089384,0.0027857778568903847,engdw,heat4,2,,,,,3000,heat
34,211.7886700630188,0.047786241188710644,0.00215966786658716,engdw,heat4,2,,,,,3000,heat
35,217.88230657577515,0.043106457107884404,0.0018229281030418439,engdw,heat4,2,,,,,3000,heat
36,223.97529435157776,0.03889626083546025,0.0014012406538366064,engdw,heat4,2,,,,,3000,heat
37,230.0675401687622,0.03508950296300208,0.001159208022974095,engdw,heat4,2,,,,,3000,heat
38,236.16008591651917,0.03165403776033302,0.000978201088072883,engdw,heat4,2,,,,,3000,heat
39,242.25106716156006,0.028558685296342784,0.0008092533872616236,engdw,heat4,2,,,,,3000,heat
40,248.3459346294403,0.025766784757721612,0.0006580304188953682,engdw,heat4,2,,,,,3000,heat
42,260.5083909034729,0.020977494291312536,0.0004144557151388569,engdw,heat4,2,,,,,3000,heat
46,284.8247060775757,0.013924669428269556,0.00018609571449860752,engdw,heat4,2,,,,,3000,heat
50,309.1477892398834,0.009248394336154498,8.229516673126651e-05,engdw,heat4,2,,,,,3000,heat
55,339.538108587265,0.005578913888693805,3.0123707668960838e-05,engdw,heat4,2,,,,,3000,heat
61,375.97651863098145,0.0030833187545644607,8.604360786325453e-06,engdw,heat4,2,,,,,3000,heat
67,412.38364481925964,0.0017052947385995559,2.8419351467687994e-06,engdw,heat4,2,,,,,3000,heat
73,448.7625741958618,0.0009488939573805159,8.241447639885494e-07,engdw,heat4,2,,,,,3000,heat
81,497.2016763687134,0.0004550876664843667,1.8550376789601379e-07,engdw,heat4,2,,,,,3000,heat
89,545.5915508270264,0.00023378307170679555,4.852529363639874e-08,engdw,heat4,2,,,,,3000,heat
98,599.9986469745636,0.0001252886322818773,1.6021341131719448e-08,engdw,heat4,2,,,,,3000,heat
107,654.4013307094574,8.082940138919905e-05,6.737443179903291e-09,engdw,heat4,2,,,,,3000,heat
118,720.8858172893524,5.9337869042987635e-05,4.670399022324711e-09,engdw,heat4,2,,,,,3000,heat
130,793.403772354126,4.452720654846426e-05,3.238840293451008e-09,engdw,heat4,2,,,,,3000,heat
143,872.0002093315125,3.3324279618142756e-05,2.4735404662817528e-09,engdw,heat4,2,,,,,3000,heat
157,956.6117811203003,2.9289164273286767e-05,1.9806892330312027e-09,engdw,heat4,2,,,,,3000,heat
172,1047.2786633968353,2.647761807633411e-05,1.6643138024257818e-09,engdw,heat4,2,,,,,3000,heat
190,1156.0102670192719,2.5764874394866506e-05,1.5129881652217824e-09,engdw,heat4,2,,,,,3000,heat
208,1264.7487063407898,2.3131495797124628e-05,1.8016704172623453e-09,engdw,heat4,2,,,,,3000,heat
229,1391.618651151657,2.2139992673514168e-05,1.1025773789445583e-09,engdw,heat4,2,,,,,3000,heat
252,1530.5587022304535,2.0919225752679223e-05,1.4390092485332968e-09,engdw,heat4,2,,,,,3000,heat
277,1681.760020494461,1.958921054971442e-05,1.0859671040859765e-09,engdw,heat4,2,,,,,3000,heat
305,1850.958816766739,1.832330553176527e-05,8.873671057699207e-10,engdw,heat4,2,,,,,3000,heat
335,2032.182885169983,1.7303803157164676e-05,7.967835809316566e-10,engdw,heat4,2,,,,,3000,heat
369,2237.5928540229797,1.6075932893114562e-05,6.336218705725623e-10,engdw,heat4,2,,,,,3000,heat
406,2461.137193918228,1.570947082015982e-05,6.931312068135862e-10,engdw,heat4,2,,,,,3000,heat
446,2702.8107764720917,1.4779154901368271e-05,7.36331140231598e-10,engdw,heat4,2,,,,,3000,heat
491,2974.7471170425415,1.3796883656928864e-05,5.36681289266348e-10,engdw,heat4,2,,,,,3000,heat
496,3004.9835634231567,1.3498220998666856e-05,5.97826487724802e-10,engdw,heat4,2,,,,,3000,heat
0,6.650811433792114,3.220859656747568,2.857640869636638,engdw,heat4,3,,,,,3000,heat
1,13.7422194480896,2.8934991165330537,7.437670784416128,engdw,heat4,3,,,,,3000,heat
2,20.739686965942383,2.523064386722764,5.707145003905444,engdw,heat4,3,,,,,3000,heat
3,27.752826929092407,2.232160996934871,4.434850887352594,engdw,heat4,3,,,,,3000,heat
4,34.69972229003906,1.994784075755958,3.5915957027527434,engdw,heat4,3,,,,,3000,heat
5,41.70129418373108,1.7889243636082752,2.7810869161903975,engdw,heat4,3,,,,,3000,heat
6,48.703364610672,1.6057705510929594,2.3406199506027336,engdw,heat4,3,,,,,3000,heat
7,55.76345729827881,1.443099401813384,1.8845121926066033,engdw,heat4,3,,,,,3000,heat
8,62.74841094017029,1.2970640977598253,1.4818941402520314,engdw,heat4,3,,,,,3000,heat
9,69.7279200553894,1.166407925099053,1.2067953896503505,engdw,heat4,3,,,,,3000,heat
10,76.76434469223022,1.0491705470489385,0.9433220109305841,engdw,heat4,3,,,,,3000,heat
11,83.76968121528625,0.9441158957239545,0.7969469854081581,engdw,heat4,3,,,,,3000,heat
12,90.78493928909302,0.8499496078172062,0.6397107580554172,engdw,heat4,3,,,,,3000,heat
13,97.78369307518005,0.7651966202997503,0.5044834521300408,engdw,heat4,3,,,,,3000,heat
14,104.78238725662231,0.6889890828608881,0.4140822649355844,engdw,heat4,3,,,,,3000,heat
15,111.78079128265381,0.6203094718849125,0.3342038939472569,engdw,heat4,3,,,,,3000,heat
16,118.85374879837036,0.5585025298498031,0.2769000535498875,engdw,heat4,3,,,,,3000,heat
