l2_error,loss_interior,_step,_timestamp,time,loss_boundary,loss,_runtime,step
0.20746451903266558,0.00033384008246040104,0,1715522895.905533,1.0283222198486328,0.14074845709614556,0.14108229717860596,5.045291185379028,0
0.2825740689524664,0.0005597907823400237,1,1715522895.9332829,1.2536067962646484,0.07175560648267085,0.07231539726501088,5.073040962219238,1
0.3062176566641426,0.002152210214118552,2,1715522895.9637566,1.2833950519561768,0.07814329008026563,0.08029550029438419,5.103514671325684,2
0.2545831961600752,0.004769613369401647,3,1715522895.989819,1.3095035552978516,0.08410741481396983,0.08887702818337148,5.129577159881592,3
0.20296565635515548,0.005919776269770777,4,1715522896.0158937,1.335444688796997,0.07218918476228642,0.0781089610320572,5.155651807785034,4
0.1915269671772027,0.005286856166103756,5,1715522896.0421252,1.3618512153625488,0.063525362796104,0.06881221896220777,5.181883335113525,5
0.2053058772050738,0.0035983686603307517,6,1715522896.0680559,1.3876802921295166,0.06462727754333963,0.06822564620367039,5.20781397819519,6
0.2148350312437138,0.0018840790231312,7,1715522896.094056,1.4136216640472412,0.07044220002394337,0.07232627904707457,5.233814001083374,7
0.21350391862188123,0.0008200442423787213,8,1715522896.1200058,1.4396016597747803,0.07432798700616773,0.07514803124854645,5.259763956069946,8
0.20703788591799896,0.0003667142041845172,9,1715522896.1453383,1.465665578842163,0.07426616502167381,0.07463287922585833,5.2850964069366455,9
0.20250787131802261,0.0002465988872303223,10,1715522896.1684465,1.49027681350708,0.07168619412056625,0.07193279300779656,5.308204650878906,10
0.2036553503255938,0.0002991928756126487,11,1715522896.1902764,1.5135114192962646,0.0686500317136337,0.06894922458924635,5.330034494400024,11
0.20936134250862973,0.0005247111180375271,12,1715522896.212188,1.535327434539795,0.06650631378924038,0.0670310249072779,5.351946115493774,12
0.2152131681703712,0.001024237509686137,13,1715522896.233602,1.5568251609802246,0.06558000663737573,0.06660424414706187,5.3733601570129395,13
0.21689658189287292,0.0018883053991914337,14,1715522896.2586138,1.5784988403320312,0.06535283267914055,0.06724113807833199,5.398371934890747,14
0.21297795240927117,0.0030417472754852974,15,1715522896.2807593,1.6040852069854736,0.064989517310206,0.0680312645856913,5.420517444610596,15
0.20534152979129697,0.004161758206223361,16,1715522896.3024204,1.6256730556488037,0.06403155801185638,0.06819331621807974,5.44217848777771,16
0.19746339467604704,0.0048255371642092985,17,1715522896.3240702,1.6473438739776611,0.06271678508763379,0.06754232225184309,5.4638283252716064,17
0.1921594422392902,0.004790184175899349,18,1715522896.3456423,1.6688697338104248,0.06166185011168304,0.0664520342875824,5.485400438308716,18
0.19029310928062793,0.004127855059983718,19,1715522896.3671896,1.6904428005218506,0.06133342183732139,0.0654612768973051,5.506947755813599,19
0.19098939938262896,0.0031289077611582738,20,1715522896.3887308,1.712005853652954,0.06177801008842768,0.06490691784958595,5.528488874435425,20
0.19274500338407616,0.0021148059080002106,21,1715522896.414399,1.737661600112915,0.06268291103881643,0.06479771694681664,5.554157018661499,21
0.1943892669626639,0.0013049041051913228,22,1715522896.4359682,1.7592127323150635,0.06359772460682286,0.06490262871201419,5.575726270675659,22
0.19542589607246647,0.0007775455878703686,23,1715522896.4575279,1.7808070182800293,0.0641466380917219,0.06492418367959227,5.597285985946655,23
0.19588049717439993,0.0005033221406814902,24,1715522896.4791539,1.8024840354919434,0.06414737349774711,0.06465069563842861,5.618911981582642,24
0.19594575944684847,0.00041489492406043084,25,1715522896.5008497,1.8241603374481201,0.06361890301123073,0.06403379793529115,5.640607833862305,25
0.19567475270919385,0.00047233735764029696,26,1715522896.5222914,1.8455822467803955,0.06270598467945156,0.06317832203709185,5.6620495319366455,26
0.19487582519683705,0.0006887938046011441,27,1715522896.5438035,1.8671560287475586,0.06157815281796953,0.06226694662257067,5.683561563491821,27
0.19324411646801895,0.0011047937788835095,28,1715522896.5653307,1.8885865211486816,0.06035726785733666,0.06146206163622017,5.70508885383606,28
0.19063643041042233,0.0017224951893579947,29,1715522896.586706,1.9099886417388916,0.059100748465155915,0.06082324365451391,5.726464033126831,29
0.1872891402614238,0.002434023064141292,30,1715522896.6082065,1.9314098358154297,0.057835259723428775,0.060269282787570065,5.74796462059021,30
0.18378141833827352,0.003008565587563627,31,1715522896.629618,1.9528536796569824,0.056605047340053574,0.0596136129276172,5.769376039505005,31
0.18073743228576042,0.0031965286188849885,32,1715522896.6512504,1.9744884967803955,0.055486429974973814,0.0586829585938588,5.791008472442627,32
0.17848664104793377,0.0029025213653613704,33,1715522896.6730397,1.996366024017334,0.05454868592222727,0.057451207287588645,5.812797784805298,33
0.17689848983494144,0.002271432750349886,34,1715522896.6949,2.0181634426116943,0.053792123767479834,0.05606355651782972,5.834658145904541,34
0.1754393179066268,0.0016033953229241595,35,1715522896.7170072,2.0403635501861572,0.053111499681444276,0.054714895004368436,5.856765270233154,35
0.17338994363620344,0.0011762489556415017,36,1715522896.7390633,2.062380790710449,0.052311112588928683,0.053487361544570185,5.87882137298584,36
0.1701442064147027,0.0011158083450080137,37,1715522896.761012,2.08500599861145,0.051170187239011615,0.052285995584019626,5.90077018737793,37
0.16547992210863094,0.001407297598397091,38,1715522896.7828054,2.10599946975708,0.04953417116398187,0.05094146876237896,5.922563552856445,38
0.1597097189355115,0.002024801110473805,39,1715522896.8049433,2.128232002258301,0.04738604605913117,0.04941084716960498,5.944701433181763,39
0.1537011473714561,0.0030229351491055075,40,1715522896.8265855,2.150221824645996,0.04486240620974785,0.04788534135885336,5.966343641281128,40
