loss,l2_error,_runtime,_timestamp,loss_boundary,step,loss_interior,time,_step
0.14108229717860596,0.28384836753491344,5.279118061065674,1715522632.213032,0.14074845709614556,0,0.00033384008246040104,1.020815134048462,0
0.0988896153398815,0.20463245064160857,5.306896448135376,1715522632.2408104,0.09847238421129931,1,0.0004172311285821918,1.249065637588501,1
0.06901686111627768,0.31394030555562075,5.332606554031372,1715522632.2665205,0.06825607387917815,2,0.0007607872370995337,1.275756597518921,2
0.08752756477381785,0.4227231003797577,5.35790228843689,1715522632.2918162,0.08604039893535648,3,0.001487165838461363,1.301100730895996,3
0.12307292049809489,0.40740818934635065,5.383026838302612,1715522632.3169408,0.12060478549855928,4,0.0024681349995355974,1.3261396884918213,4
0.11894971592630826,0.29680328836190445,5.407983064651489,1715522632.341897,0.11563030565277763,5,0.0033194102735306374,1.3511555194854736,5
0.08577524968604576,0.20284395384973056,5.4331276416778564,1715522632.3670416,0.08215836686741285,6,0.003616882818632917,1.376326084136963,6
0.0681857071373813,0.2123610577960361,5.457318305969238,1715522632.3912323,0.06495258214309563,7,0.003233124994285674,1.4013028144836426,7
0.07511170704005032,0.26568544992194754,5.478425979614258,1715522632.41234,0.07268227591105735,8,0.0024294311289929796,1.4248976707458496,8
0.09176543484444494,0.30023343962727794,5.499370574951172,1715522632.4332845,0.0902059879832651,9,0.0015594468611798396,1.4459152221679688,9
0.10417023434381331,0.30242229707297374,5.521648645401001,1715522632.4555626,0.10332690891417397,10,0.0008433254296393381,1.4667813777923584,10
0.10578160168284775,0.276283291365555,5.542914390563965,1715522632.4768283,0.10542192003303912,11,0.00035968164980864216,1.4893779754638672,11
0.09716892046048231,0.23664972722685576,5.563770294189453,1715522632.4976842,0.09706853756627434,12,0.00010038289420797328,1.5103201866149902,12
0.08387647677668746,0.21189573013341856,5.5845935344696045,1715522632.5185075,0.08386423974336968,13,1.2237033317777688e-05,1.5311269760131836,13
0.07335617186053095,0.23258019707136662,5.605473041534424,1715522632.539387,0.07333469872132495,14,2.147313920599574e-05,1.5520694255828857,14
0.07181182606741991,0.2897837994854681,5.626344680786133,1715522632.5602586,0.07176114210702703,15,5.068396039287942e-05,1.5728569030761719,15
0.08077144075765268,0.3444087468091845,5.64736270904541,1715522632.5812767,0.08070682004228018,16,6.462071537249558e-05,1.594141960144043,16
0.0942130416442908,0.3646859538809349,5.6682045459747314,1715522632.6021185,0.09403531113295817,17,0.0001777305113326261,1.6148521900177002,17
0.10119945144760456,0.3397175478778577,5.688965797424316,1715522632.6228797,0.10050093788728558,18,0.000698513560318982,1.6357452869415283,18
0.09572811071089674,0.2816867107307089,5.709848642349243,1715522632.6437626,0.09386792094640505,19,0.0018601897644916889,1.65645170211792,19
0.08269119170873535,0.2201115363423948,5.730825185775757,1715522632.6647391,0.07927761106969897,20,0.003413580639036378,1.6774346828460693,20
0.07193642475741419,0.19215668596219093,5.751739740371704,1715522632.6856537,0.06724584746336103,21,0.004690577294053162,1.6983494758605957,21
0.06968718842369098,0.2102163528230888,5.776976823806763,1715522632.7108908,0.06457344575700318,22,0.0051137426666878006,1.7257640361785889,22
0.07574598392465917,0.24310711077049346,5.799248456954956,1715522632.7331624,0.07121198567589127,23,0.0045339982487679125,1.7473199367523193,23
0.08491332185358291,0.26067550169337267,5.821601390838623,1715522632.7555153,0.08169424729426754,24,0.0032190745593153676,1.7703502178192139,24
0.09043947765636964,0.25336017483719453,5.843918085098267,1715522632.777832,0.08873972566619882,25,0.0016997519901708238,1.791961908340454,25
0.08869320309537458,0.23069211952773683,5.865839958190918,1715522632.799754,0.08814775719858672,26,0.0005454458967878535,1.81361985206604,26
0.08178531296723231,0.2168858742495337,5.88744330406189,1715522632.8213573,0.08170996549111041,27,7.534747612189534e-05,1.8348267078399658,27
0.07536652325952324,0.23276021964223098,5.909066915512085,1715522632.8429809,0.07519581442213462,28,0.00017070883738862686,1.8565690517425537,28
0.074005315319047,0.2706994640990483,5.931306600570679,1715522632.8652205,0.0736332664163373,29,0.0003720489027096977,1.8809642791748047,29
0.07822093776634559,0.30550416505603456,5.953689098358154,1715522632.887603,0.07795492162855557,30,0.00026601613779002857,1.9023082256317139,30
0.08451871536194014,0.316992945949706,5.975598096847534,1715522632.909512,0.08450121479222276,31,1.7500569717370186e-05,1.9230613708496094,31
0.08809399805226463,0.29732309926973444,5.997330904006958,1715522632.9312449,0.08742489403159084,32,0.0006691040206737824,1.9448494911193848,32
0.08668269270332922,0.25255387898651055,6.019140720367432,1715522632.9530547,0.08306781115732367,33,0.003614881546005543,1.9666285514831543,33
0.08222461505583574,0.20252680558069275,6.040693998336792,1715522632.974608,0.07302977186834203,34,0.009194843187493714,1.9886176586151123,34
0.07849498945969378,0.17574964361539006,6.0627570152282715,1715522632.996671,0.06293828332179384,35,0.015556706137899947,2.0118255615234375,35
0.0774045479649823,0.18324272849328763,6.085083723068237,1715522633.0189977,0.058107440601290056,36,0.019297107363692254,2.033135175704956,36
0.07787120025838916,0.20305318670709416,6.108393669128418,1715522633.0423076,0.05992647493139239,37,0.017944725326996768,2.0573008060455322,37
0.07783425883535533,0.2153779663830458,6.1293723583221436,1715522633.0632863,0.0656985810088836,38,0.012135677826471729,2.0759918689727783,38
0.07677710217684408,0.2182568085191502,6.1509199142456055,1715522633.0848339,0.0715677169109403,39,0.0052093852659037794,2.0984230041503906,39
0.0761844897991548,0.22000590382837934,6.17313551902771,1715522633.1070495,0.0754495125237471,40,0.0007349772754077138,2.122011661529541,40
