step,time,_runtime,_timestamp,loss_boundary,loss_interior,loss,_step,l2_error
14,13.651906251907349,17.44128441810608,1715524772.6515565,4.4749313960261395e-05,9.029779432504947e-05,0.00013504710828531085,14,0.002720110567787275
15,15.015654563903809,18.804898977279663,1715524774.015171,6.924040923952584e-06,4.817459323082864e-05,5.5098634154781225e-05,15,0.002237217641108513
16,16.662180185317993,20.451387643814087,1715524775.6616597,7.165950299401946e-06,7.547706654937617e-06,1.4713656954339563e-05,16,0.0016027613178282172
17,17.80815076828003,21.597362756729126,1715524776.8076348,3.2375848227251194e-06,6.8304920078313065e-06,1.0068076830556425e-05,17,0.001260054454351723
18,19.153923749923706,22.943202257156372,1715524778.1534743,1.6415187984571122e-06,6.215454835561235e-06,7.856973634018348e-06,18,0.0014669549725127755
19,20.11645269393921,23.90570068359375,1715524779.1159728,1.2465683020462468e-06,5.2979996195288504e-06,6.544567921575097e-06,19,0.0014984233145862401
20,22.420151710510254,26.209375143051147,1715524781.4196472,1.063018669550684e-06,4.256320844872557e-06,5.31933951442324e-06,20,0.0015971515691456742
21,23.271072387695312,27.060295581817627,1715524782.2705677,1.094498335502951e-06,4.185977684736041e-06,5.280476020238992e-06,21,0.0019722619123543122
22,24.382328987121582,28.1716091632843,1715524783.3818812,1.362755002851148e-06,4.068367807074396e-06,5.431122809925544e-06,22,0.0017703431624732356
23,26.33732581138611,30.126620292663574,1715524785.3368924,1.1151499859672384e-06,3.43576723724679e-06,4.5509172232140285e-06,23,0.0010315767788553049
24,27.35642409324646,31.14569854736328,1715524786.3559706,7.871306719007449e-07,2.9821871212747247e-06,3.7693177931754698e-06,24,0.000853911382126423
25,29.384393453598022,33.17372274398804,1715524788.3839948,6.209890233161977e-07,2.799361401486413e-06,3.4203504248026104e-06,25,0.0015481799443514842
26,30.57448649406433,34.36381721496582,1715524789.5740893,1.2329202978403242e-06,2.3319846966400865e-06,3.5649049944804105e-06,26,0.001052494043222369
27,31.406512022018433,35.19578313827515,1715524790.4060552,5.485203978660421e-07,2.255335855624561e-06,2.803856253490603e-06,27,0.0009705943980379399
28,33.20587968826294,36.99544906616211,1715524792.2057211,4.3606855191992315e-07,1.7489354901060895e-06,2.1850040420260127e-06,28,0.0009198242832835244
29,34.31554198265076,38.104907274246216,1715524793.3151793,3.852735747954627e-07,1.4419132830080963e-06,1.8271868578035591e-06,29,0.0005536072093596784
30,35.38848423957825,39.17775583267212,1715524794.388028,3.6499716640335443e-07,1.3197506460110944e-06,1.684747812414449e-06,30,0.0004982746874936467
31,37.127005100250244,40.916287660598755,1715524796.1265597,3.392335396036873e-07,1.0533846840440051e-06,1.3926182236476924e-06,31,0.0003107081982628234
32,43.26166343688965,47.050945520401,1715524802.2612176,1.2121483866688575e-07,2.1263707314302347e-07,3.338519118099092e-07,32,0.0005716812519075086
33,44.36956238746643,48.15883421897888,1715524803.3691063,3.840516216036599e-07,1.6165179144296864e-07,5.457034130466285e-07,33,0.000595922390495173
34,45.632678270339966,49.42195153236389,1715524804.6322236,4.0817230104520357e-07,1.5651529516789144e-07,5.64687596213095e-07,34,0.0005821455974849898
