_runtime,loss_boundary,loss,loss_interior,_step,l2_error,_timestamp,step,time
5.60550856590271,0.14074845709614556,0.14108229717860596,0.00033384008246040104,0,0.2612802949552128,1715762645.7078965,0,1.6665728092193604
5.94853663444519,0.07444501735337826,0.0757664143163392,0.0013213969629609318,1,0.19989423029750744,1715762646.0509245,1,2.2077534198760986
6.270196199417114,0.0667081580466519,0.06843550943520665,0.0017273513885547528,2,0.20196650048300452,1715762646.372584,2,2.5315425395965576
6.590282201766968,0.06595498194472767,0.06804181482606511,0.002086832881337441,3,0.20115090310897898,1715762646.69267,3,2.851630687713623
6.909928798675537,0.06564762075402374,0.06791254432580748,0.0022649235717837482,4,0.20074372061929593,1715762647.0123167,4,3.171271324157715
7.233128786087036,0.06560139729213132,0.0677847120959536,0.0021833148038222796,5,0.20084176216714053,1715762647.3355167,5,3.494476795196533
7.5535407066345215,0.06545656044197465,0.06765555812338343,0.002198997681408787,6,0.20018832875150386,1715762647.6559286,6,3.814854383468628
7.878360986709595,0.06535200094105731,0.06752349288191851,0.0021714919408612095,7,0.20032184635062772,1715762647.980749,7,4.139449834823608
8.199503183364868,0.06521094733573837,0.06738731608687054,0.0021763687511321714,8,0.19969075736020328,1715762648.301891,8,4.460826635360718
8.521888494491577,0.0650972987277186,0.067245925666751,0.002148626939032395,9,0.19975836216951354,1715762648.6242764,9,4.782905578613281
8.84728479385376,0.06494566105028624,0.06709821862134184,0.0021525575710556076,10,0.1991746243257561,1715762648.9496727,10,5.108187913894653
9.169270515441895,0.06481897230973137,0.06694304381312467,0.002124071503393298,11,0.19914924603779985,1715762649.2716584,11,5.430646181106567
9.495608568191528,0.06465320517544035,0.06677916741802814,0.0021259622425877857,12,0.19860611263361677,1715762649.5979965,12,5.7568581104278564
9.8188796043396,0.06450800264242043,0.06660521099011914,0.0020972083476987007,13,0.1984799217990868,1715762649.9212675,13,6.080168724060059
10.142625331878662,0.06432327906986743,0.0664196356886787,0.002096356618811278,14,0.197955226830571,1715762650.2450132,14,6.4039247035980225
10.467575550079346,0.06415372179936255,0.06622066540634552,0.002066943606982976,15,0.1977262723886174,1715762650.5699635,15,6.728938102722168
10.789323568344116,0.06394307314132792,0.06600626342112355,0.0020631902797956254,16,0.19719009337367574,1715762650.8917115,16,7.050664663314819
11.114287376403809,0.0637420582426301,0.0657740396705584,0.0020319814279283047,17,0.19685276880840133,1715762651.2166753,17,7.375561952590942
11.43911099433899,0.06349559104025874,0.06552119928188345,0.0020256082416246993,18,0.19627082139239332,1715762651.541499,18,7.7004828453063965
11.762794733047485,0.06325372662374058,0.06524442917307073,0.0019907025493301474,19,0.1958086686785996,1715762651.8651826,19,8.024125337600708
12.0858154296875,0.06295712223812402,0.06493979596149851,0.0019826737233744965,20,0.19514241455742173,1715762652.1882033,20,8.347054243087769
12.41382622718811,0.06266173729324485,0.06460260431821671,0.0019408670249718607,21,0.1945195860780464,1715762652.5162141,21,8.674939155578613
12.744038581848145,0.06229314238152465,0.06422720881505284,0.0019340664335281837,22,0.19372716634120954,1715762652.8464265,22,9.004951477050781
13.067439794540405,0.06192817535217491,0.06380684585637106,0.0018786705041961558,23,0.19286807782101606,1715762653.1698277,23,9.328727722167969
13.390543222427368,0.06145054481388395,0.06333328876840287,0.0018827439545189269,24,0.19192439410397183,1715762653.4929311,24,9.651841163635254
13.71328353881836,0.06100251475199674,0.06279673865171292,0.0017942238997161815,25,0.19063206213594458,1715762653.8156714,25,9.974421739578247
14.036724090576172,0.06033705493036079,0.06218518822814265,0.0018481332977818643,26,0.18969180686875417,1715762654.139112,26,10.298070669174194
14.36060881614685,0.05984228430896081,0.06148536278057109,0.001643078471610278,27,0.18713880810431308,1715762654.4629967,27,10.62198257446289
14.685266017913818,0.05872319423802095,0.06068409257575741,0.001960898337736461,28,0.18800314881466357,1715762654.787654,28,10.946649074554443
15.008191347122192,0.05866855042590847,0.059802012851207266,0.0011334624252987949,29,0.17787038192390955,1715762655.1105793,29,11.269584894180298
15.333519220352173,0.05539376196671579,0.05917181576972205,0.0037780538030062626,30,0.18372076278660898,1715762655.4359071,30,11.594898700714111
15.657216310501099,0.05682045845430297,0.058352276167437725,0.0015318177131347574,31,0.17943437132511275,1715762655.7596042,31,11.918635606765747
15.980848789215088,0.05523162571385948,0.05699625106564843,0.0017646253517889497,32,0.1802919237165553,1715762656.0832367,32,12.242172718048096
16.30424737930298,0.054487811066361816,0.05548543641486627,0.0009976253485044543,33,0.16970019970023842,1715762656.4066353,33,12.565638780593872
16.628904342651367,0.05176193958197079,0.05477846455854423,0.0030165249765734406,34,0.17634764660675903,1715762656.7312922,34,12.890263557434082
16.956092596054077,0.05302141770201662,0.054061520534562625,0.001040102832546006,35,0.166134456299671,1715762657.0584805,35,13.217393159866333
17.281107425689697,0.050167886007902514,0.053257843814353445,0.0030899578064509294,36,0.17400215378197775,1715762657.3834953,36,13.542417764663696
17.60519576072693,0.0516499276714446,0.052510171120723224,0.0008602434492786274,37,0.16571894903972817,1715762657.7075837,37,13.866568565368652
17.9316086769104,0.049529477969825764,0.05181170411978832,0.002282226149962553,38,0.16955548836774245,1715762658.0339966,38,14.192922592163086
18.255497217178345,0.050032345555304225,0.051121353901214986,0.0010890083459107625,39,0.15669432460650876,1715762658.3578851,39,14.51689863204956
18.58208727836609,0.04662998675633486,0.05028215573682452,0.0036521689804896616,40,0.16330701228057487,1715762658.6844752,40,14.84342360496521
19.225481748580933,0.04382778990504995,0.04607566653728586,0.002247876632235911,41,0.15748580464756903,1715762659.3278697,42,15.48678207397461
