_timestamp,loss_boundary,loss_interior,loss,step,_step,_runtime,time,l2_error
1715765715.7674453,0.14074845709614556,0.00033384008246040104,0.14108229717860596,0,0,5.480313301086426,1.493239164352417,0.3892703413459041
1715765715.9635146,0.14074805958913564,0.0003338409290247657,0.1410819005181604,1,1,5.676382541656494,1.8955576419830322,0.2031244691547942
1715765716.1574435,0.06654880024427061,0.0017985126062323778,0.06834731285050298,2,2,5.870311498641968,2.0895323753356934,0.198365663959839
1715765716.3518052,0.06507574739502837,0.0030693193185152372,0.06814506671354362,3,3,6.064673185348511,2.2838284969329834,0.20988676385483185
1715765716.5504792,0.0628224835225276,0.0014261780756520675,0.06424866159817967,4,4,6.263347148895264,2.4825141429901123,0.19065981793744066
1715765716.7547555,0.06253963285633544,0.00045960249417916594,0.0629992353505146,5,5,6.467623472213745,2.6864938735961914,0.1481662979267736
1715765716.956789,0.04575463578938774,0.012540259102800324,0.05829489489218806,6,6,6.669656991958618,2.887453079223633,0.21083931219669413
1715765717.158158,0.04692015303252588,0.0024786812354084383,0.049398834267934316,7,7,6.871026039123535,3.089845895767212,0.14079360022161083
1715765717.3610468,0.03912838671480167,0.0024907165543872644,0.04161910326918893,8,8,7.0739147663116455,3.292799234390259,0.1361169180140372
1715765717.5638485,0.03730030088091527,0.0035002804907692995,0.040800581371684574,9,9,7.276716470718384,3.495713233947754,0.1467376731362961
1715765717.7669756,0.03662306522956834,0.002608131396742773,0.03923119662631111,10,10,7.479843616485596,3.6989030838012695,0.1260426040650834
1715765717.9695754,0.03439965081354779,0.0029480923081113644,0.03734774312165915,11,11,7.682443380355835,3.9014766216278076,0.11141860456829943
1715765718.1725724,0.0307184549870065,0.004766162491063332,0.03548461747806983,12,12,7.885440349578857,4.104461669921875,0.11596267589527948
1715765718.3748887,0.02499559647778632,0.0048451527255980375,0.029840749203384358,13,13,8.087756633758545,4.306830883026123,0.09916683288977358
1715765718.577533,0.02382607229280287,0.005117470987911251,0.02894354328071412,14,14,8.290400981903076,4.509443998336792,0.09851571491089736
1715765718.7808185,0.023615035828440628,0.004901148244174297,0.028516184072614924,15,15,8.493686437606812,4.712720632553101,0.10059309299054998
1715765718.9845474,0.023494878147144748,0.004853815599072109,0.028348693746216857,16,16,8.697415351867676,4.916283369064331,0.10722404066554257
1715765719.1914337,0.022919669859302744,0.003798273326810496,0.02671794318611324,17,17,8.904301643371582,5.123064041137695,0.0993350571847649
1715765719.395336,0.022592890966515282,0.0037660267407738585,0.02635891770728914,18,18,9.108203887939453,5.327287673950195,0.10019001897355888
1715765719.5991144,0.021343166939938436,0.002872917064023767,0.024216084003962204,19,19,9.31198239326477,5.530882358551025,0.10115336386737594
1715765719.8024957,0.020784949126308575,0.0021615296121954572,0.02294647873850403,20,20,9.515363693237305,5.734463453292847,0.09453079265968178
1715765720.007024,0.016305041430932057,0.0019450112600592501,0.01825005269099131,21,21,9.719892024993896,5.938942909240723,0.09138632093143684
1715765720.210561,0.01627445829672894,0.0015266195647557366,0.017801077861484674,22,22,9.923429012298584,6.142480134963989,0.08779247358569488
1715765720.4149294,0.015579710555184591,0.0018908350745051796,0.01747054562968977,23,23,10.127797365188599,6.346825361251831,0.0900347051807103
1715765720.6184096,0.015724977133801967,0.0014046866827565336,0.0171296638165585,24,24,10.33127760887146,6.550339221954346,0.08940859440443763
1715765720.823926,0.015397245689458371,0.0015701653651896343,0.016967411054648007,25,25,10.536793947219849,6.7558629512786865,0.08751468632028667
1715765721.0276027,0.015458822542645547,0.0010224667294608043,0.01648128927210635,26,26,10.74047064781189,6.959521532058716,0.08139080815243808
1715765721.2314615,0.014819483321198753,0.001280179033708879,0.016099662354907632,27,27,10.944329500198364,7.163344144821167,0.07966824591810692
1715765721.4351997,0.014496984510051934,0.0010410153510878699,0.015537999861139804,28,28,11.148067712783813,7.367101669311523,0.0739438250415721
1715765721.6396675,0.013846565568038191,0.001293626884352399,0.01514019245239059,29,29,11.352535486221313,7.571421146392822,0.07499358922683265
1715765721.8454287,0.013915614860750172,0.0010582637175610586,0.014973878578311232,30,30,11.55829668045044,7.7771360874176025,0.07111693841819147
1715765722.0498545,0.013171826639637634,0.001237888514249262,0.014409715153886896,31,31,11.762722492218018,7.981749534606934,0.07029941129732571
1715765722.2554631,0.013077486559202245,0.0011884783108371045,0.014265964870039349,32,32,11.968331098556519,8.185502052307129,0.06857058339435908
1715765722.4598968,0.012632747360193796,0.0014454311449593618,0.014078178505153159,33,33,12.172764778137207,8.39181661605835,0.07030527941314108
1715765722.6635182,0.01184489659228911,0.0015629410002490724,0.013407837592538184,34,34,12.376386165618896,8.595446825027466,0.0666963700979759
1715765722.8696146,0.010801243034589651,0.0021500749385260044,0.012951317973115654,35,35,12.58248257637024,8.801533222198486,0.06378066740356662
1715765723.0738933,0.009677192945962317,0.0024876782105471887,0.012164871156509506,36,36,12.786761283874512,9.005769729614258,0.05884379032543998
1715765723.279238,0.008564512042178212,0.0031058652877764283,0.011670377329954641,37,37,12.992105960845947,9.211061000823975,0.06252171250265547
1715765723.4839213,0.00851692528378077,0.003044760220409935,0.011561685504190705,38,38,13.196789264678955,9.415815591812134,0.061536826838999366
1715765723.6880972,0.008021612554682624,0.003332102931418112,0.011353715486100736,39,39,13.400965213775635,9.620047092437744,0.06181295373075706
1715765723.8921242,0.007879578442317925,0.0032351179961483713,0.011114696438466297,40,40,13.604992151260376,9.82403564453125,0.05647798440492967
1715765724.3085537,0.006616163886932607,0.003108958497011174,0.00972512238394378,42,41,14.021421670913696,10.240235567092896,0.06154637510548195
