_runtime,loss_boundary,step,time,_step,loss_interior,loss,_timestamp,l2_error
5.327744483947754,0.14074845709614556,0,1.3944199085235596,0,0.00033384008246040104,0.14108229717860596,1715522534.5122924,0.20268193872142198
5.718851089477539,0.064960560999396,1,1.9945106506347656,1,0.0023328979856696436,0.06729345898506564,1715522534.903399,0.12313672107142092
6.138605356216431,0.03313932474696819,2,2.4141898155212402,2,0.00548150746487164,0.03862083221183983,1715522535.3231533,0.09218365717444336
6.593952894210815,0.0192384233928236,3,2.8695852756500244,3,0.0023202851691872034,0.021558708562010805,1715522535.7785008,0.08315028398007795
7.110028266906738,0.012903158893716682,4,3.385625123977661,4,0.0013665631668178843,0.014269722060534566,1715522536.2945762,0.04009663974478375
7.696904897689819,0.0037956361769493885,5,3.9724371433258057,5,0.003116563627780971,0.0069121998047303596,1715522536.8814528,0.018332570977084364
8.317911386489868,0.00083144229788242,6,4.593432664871216,6,0.001281609853971698,0.002113052151854118,1715522537.5024593,0.014270096367910773
8.93226408958435,0.00036455346031590284,7,5.2077717781066895,7,0.0005685624675142813,0.0009331159278301842,1715522538.116812,0.007046758227817604
9.550447225570679,7.123033206749477e-05,8,5.825955390930176,8,0.00021939468349113154,0.0002906250155586263,1715522538.7349951,0.00642394879852516
10.098506689071655,5.1395931156930755e-05,9,6.374006032943726,9,9.032164542872126e-05,0.00014171757658565202,1715522539.2830546,0.0050199586880330166
10.65088415145874,2.2658794734965722e-05,10,6.924923896789551,10,5.746511972744002e-05,8.012391446240573e-05,1715522539.835432,0.0036730458661763574
11.223387479782104,1.293820847073765e-05,11,7.498877763748169,11,4.128241246086235e-05,5.42206209316e-05,1715522540.4079354,0.0030062393593628667
11.833100080490112,1.0301343503008102e-05,12,8.108591794967651,12,2.914001728598394e-05,3.944136078899204e-05,1715522541.017648,0.0026336707478538243
12.404438734054565,6.489850749218594e-06,13,8.679926633834839,13,2.6279006022635685e-05,3.276885677185428e-05,1715522541.5889866,0.0023415926477896305
12.961511611938477,5.276398517740925e-06,14,9.237010717391968,14,2.053179737677245e-05,2.5808195894513373e-05,1715522542.1460595,0.0015197575196157608
13.53114366531372,2.44314990308037e-06,15,9.806572914123535,15,1.892351430525056e-05,2.136666420833093e-05,1715522542.7156916,0.0016629600088210407
14.126901149749756,2.9301810761418817e-06,16,10.402373313903809,16,1.4730100435699067e-05,1.766028151184095e-05,1715522543.311449,0.0011286394785192434
14.763376235961914,1.3886451531104393e-06,17,11.038594722747803,17,1.2785895809486215e-05,1.4174540962596655e-05,1715522543.9479241,0.0010054085676471345
15.31344485282898,1.1880995998760367e-06,18,11.588945627212524,18,9.593406042917803e-06,1.078150564279384e-05,1715522544.4979928,0.0010666192539817816
15.865622758865356,1.2082079221888937e-06,19,12.141113996505737,19,7.1228587619723284e-06,8.331066684161223e-06,1715522545.0501707,0.0009403185588421735
16.49475884437561,9.8892559180514e-07,20,12.770129680633545,20,5.412633311168488e-06,6.401558902973628e-06,1715522545.6793067,0.0009027172736296558
17.10904574394226,8.891763812851894e-07,21,13.384503841400146,21,4.77634990732418e-06,5.66552628860937e-06,1715522546.2935936,0.0008946509302292015
17.732855081558228,9.046204771386141e-07,22,14.008344650268555,22,4.230314163849274e-06,5.134934640987888e-06,1715522546.917403,0.0009134646493155732
18.3452205657959,9.14438280117801e-07,23,14.620716094970703,23,3.3662293977823864e-06,4.2806676779001876e-06,1715522547.5297685,0.0007043726116590707
18.93142557144165,6.29133788483181e-07,24,15.206868171691895,24,2.2929557195663697e-06,2.9220895080495506e-06,1715522548.1159735,0.000621257486899649
19.479486227035522,4.732823806135676e-07,25,15.754963159561157,25,1.7110450110913558e-06,2.184327391704923e-06,1715522548.6640341,0.0004973550072109428
20.027769565582275,3.526525632806718e-07,26,16.30322766304016,26,1.3716691982617721e-06,1.724321761542444e-06,1715522549.2123175,0.0004919769016838217
20.576902627944946,3.484631241505753e-07,27,16.852357149124146,27,1.211017618209202e-06,1.5594807423597773e-06,1715522549.7614505,0.00043285518626892314
21.127917766571045,3.1610577964307036e-07,28,17.403329133987427,28,1.095537507108525e-06,1.4116432867515953e-06,1715522550.3124657,0.00047624136933478077
21.697851181030273,3.3255149478599116e-07,29,17.97330594062805,29,7.859860587922707e-07,1.118537553578262e-06,1715522550.882399,0.00043721404625172484
22.2457013130188,3.0963746667899646e-07,30,18.521162271499634,30,6.040072980459174e-07,9.136447647249139e-07,1715522551.4302492,0.0004188094159547086
22.831184148788452,2.783381750538609e-07,31,19.10668110847473,31,5.433363417482383e-07,8.216745168020991e-07,1715522552.015732,0.00038411793438629464
23.424254179000854,2.3950911190140935e-07,32,19.69972825050354,32,5.326786549509409e-07,7.721877668523503e-07,1715522552.608802,0.0003994274663648889
23.97804856300354,2.3692365526995245e-07,33,20.253544807434082,33,4.888470533907311e-07,7.257707086606835e-07,1715522553.1625965,0.00040949571031843467
24.528998613357544,2.2647607262066516e-07,34,20.80446457862854,34,4.1835408930199413e-07,6.448301619226593e-07,1715522553.7135465,0.0003634757367096444
24.82267141342163,1.6616433875250244e-07,35,21.098171949386597,35,3.985539309050027e-07,5.647182696575052e-07,1715522554.0072193,0.0003218381694854427
24.87151288986206,1.324617857529254e-07,36,21.147032022476196,36,3.984119542845004e-07,5.308737400374258e-07,1715522554.0560608,0.0003207199033005714
24.920315742492676,1.3154564437478326e-07,37,21.1958589553833,37,3.98502617036706e-07,5.300482614114893e-07,1715522554.1048636,0.0003195894589424997
