l2_error,_timestamp,loss,step,_step,loss_boundary,_runtime,loss_interior,time
0.5300990669040008,1715359113.5019279,48.92347435353573,0,0,0.012797832097621838,5.596709966659546,48.91067652143811,1.2072060108184814
1.6596901621875606,1715359113.5071433,45.791665430445526,1,1,0.3466578521517499,5.601925373077393,45.445007578293776,1.5069000720977783
3.045115202727676,1715359113.5113435,41.41298821714598,2,2,1.9925447038196566,5.606125593185425,39.420443513326326,1.5111594200134277
4.26963033407993,1715359113.5153909,37.24117532705856,3,3,5.597241807292549,5.610172986984253,31.643933519766016,1.5152435302734375
4.833943796683102,1715359113.5197995,33.046963861233664,4,4,10.164186294072488,5.61458158493042,22.882777567161174,1.5196259021759033
4.142800779695552,1715359113.524722,27.691232459234612,5,5,12.477527745217738,5.61950421333313,15.213704714016872,1.5243844985961914
1.849094932987284,1715359113.5294642,20.415541275465063,6,6,9.001222605685903,5.62424635887146,11.41431866977916,1.529167890548706
2.3475543847968003,1715359113.534226,12.309176101349454,7,7,2.0914048503973404,5.629008054733276,10.217771250952113,1.5339343547821045
5.359436743272963,1715359113.5390697,11.000918035394754,8,8,3.24800087028135,5.633851766586304,7.752917165113404,1.538771390914917
5.201159646210917,1715359113.5441678,20.889277982920717,9,9,14.743025102285298,5.638949871063232,6.14625288063542,1.5437183380126953
6.2901390042271395,1715359113.5493243,33.73116851291883,10,10,15.11515113529788,5.644106388092041,18.61601737762095,1.5489263534545898
1.2584161377464549,1715359113.554213,33.64798552590727,11,11,20.325863919419863,5.6489951610565186,13.322121606487412,1.553898572921753
2.917446243830984,1715359113.5592058,68.65630701791224,12,12,1.6942641155094402,5.653987884521484,66.9620429024028,1.5588536262512207
0.765571403669116,1715359113.5654118,27.49568729078018,13,13,3.7234348294899653,5.660193920135498,23.772252461290215,1.5637896060943604
4.950567334737006,1715359113.5696476,34.90587828828747,14,14,0.3148653430587646,5.664429664611816,34.591012945228705,1.5694408416748047
6.550191621300667,1715359113.5742083,22.353187359941206,15,15,11.910472338756568,5.66899037361145,10.442715021184638,1.574073314666748
