loss_boundary,loss,step,l2_error,_timestamp,loss_interior,time,_runtime,_step
0.012797832097621838,48.92347435353573,0,1.7123526247419185,1715512003.9378242,48.91067652143811,1.419297218322754,5.553867340087891,0
1.6587740093763326,15.814338384833446,1,1.3214702387518458,1715512003.9919395,14.155564375457114,1.7368228435516357,5.607982635498047,1
0.8719302895081638,11.698917614103891,2,0.5024173263042013,1715512004.0456858,10.826987324595727,1.7904033660888672,5.661728858947754,2
0.224847463235615,7.512941900648691,3,0.8412616893602881,1715512004.102873,7.2880944374130765,1.8477790355682373,5.718916177749634,3
0.4728696018513769,3.173354687059918,4,0.8145032799276153,1715512004.1607482,2.700485085208541,1.904447078704834,5.776791334152222,4
0.5139671007620079,1.7560264863489192,5,0.710765499464858,1715512004.2178943,1.2420593855869113,1.9628326892852783,5.833937406539917,5
0.4187554357828577,1.5819344368209038,6,0.588632218457192,1715512004.2713914,1.1631790010380463,2.0163161754608154,5.887434482574463,6
0.29690860242398415,1.099580257511674,7,0.5250325776619454,1715512004.3220193,0.8026716550876899,2.0669636726379395,5.938062429428101,7
0.24287323109594164,1.0082973125843278,8,0.29632292186385684,1715512004.373785,0.7654240814883861,2.1187195777893066,5.989828109741211,8
0.07242617152723405,0.6677030723086668,9,0.33337598773700317,1715512004.4240277,0.5952769007814327,2.1690399646759033,6.0400707721710205,9
0.07728659733791972,0.6545253097385813,10,0.3810078672548788,1715512004.4738727,0.5772387124006615,2.2188854217529297,6.089915752410889,10
0.08836155079043871,0.5931866967019804,11,0.4251547052723407,1715512004.5235984,0.5048251459115417,2.2686190605163574,6.139641523361206,11
0.10133099466816116,0.5644335628228211,12,0.44164358987568286,1715512004.5775297,0.46310256815465994,2.322479724884033,6.193572759628296,12
0.10498731471284492,0.5530876852291392,13,0.4438103350605797,1715512004.62947,0.44810037051629426,2.3744072914123535,6.245513200759888,13
0.10470909818153,0.5338077431197558,14,0.4429061014848553,1715512004.6810145,0.42909864493822575,2.425957679748535,6.297057628631592,14
0.10258387035770095,0.5003051207015587,15,0.44722688549645384,1715512004.73306,0.39772125034385786,2.4780402183532715,6.349102973937988,15
0.10373874820453234,0.4929190694069011,16,0.37542889996280376,1715512004.7832384,0.3891803212023688,2.5282087326049805,6.3992815017700195,16
0.08082323371966617,0.42535618239277484,17,0.32839539309942045,1715512004.8331413,0.3445329486731087,2.578141450881958,6.449184417724609,17
0.0683368048872684,0.37907451960163635,18,0.2998877051943671,1715512004.8838744,0.31073771471436795,2.6288411617279053,6.499917507171631,18
0.06550146122205654,0.35558524969046507,19,0.290319608785681,1715512004.9351141,0.29008378846840854,2.6800906658172607,6.551157236099243,19
0.06643943735485722,0.34139266493774134,20,0.3270971581658415,1715512004.9881694,0.27495322758288415,2.7331671714782715,6.604212522506714,20
0.08362184867985749,0.3229818652805391,21,0.38664890078564823,1715512005.0414238,0.23936001660068162,2.7864038944244385,6.657466888427734,21
0.1077370114325975,0.31520526915917313,22,0.4339939857319544,1715512005.094393,0.20746825772657562,2.839371681213379,6.710436105728149,22
0.12693894026171476,0.3058506590941097,23,0.4424093608521439,1715512005.1474729,0.17891171883239496,2.8924527168273926,6.763515949249268,23
0.12932003844532072,0.27102695245382014,24,0.42354364759518115,1715512005.2007017,0.14170691400849944,2.9456939697265625,6.816744804382324,24
0.11880286286911344,0.24739421834538944,25,0.46647043906338886,1715512005.258013,0.128591355476276,3.002859115600586,6.874056100845337,25
0.1294557907450571,0.2266478690403363,26,0.4927599485178969,1715512005.3166354,0.09719207829527919,3.061530113220215,6.932678461074829,26
0.13758463509281166,0.22070302259366906,27,0.45982104747826513,1715512005.3730567,0.0831183875008574,3.1180477142333984,6.989099740982056,27
0.11836044964609581,0.17756112880457153,28,0.3757771143967486,1715512005.426568,0.05920067915847573,3.1715378761291504,7.042611122131348,28
0.08136196166814737,0.16253043438810472,29,0.2878216103969963,1715512005.4795926,0.08116847271995736,3.224595069885254,7.095635652542114,29
0.04805928234057594,0.09165639156944733,30,0.2515109234991118,1715512005.5327618,0.04359710922887138,3.2777557373046875,7.1488049030303955,30
0.036647016050278654,0.07031177905400915,31,0.22041170685767347,1715512005.586106,0.033664763003730495,3.331089496612549,7.202149152755737,31
0.028445465208877644,0.06474430484006763,32,0.09467229823884435,1715512005.638886,0.03629883963118998,3.3838305473327637,7.254929065704346,32
0.008147902701940232,0.032733366274623185,33,0.0700826217475572,1715512005.6951835,0.02458546357268295,3.440152883529663,7.3112266063690186,33
0.0070349338536358315,0.02838042265084429,34,0.07038481253073567,1715512005.7493105,0.021345488797208458,3.4943063259124756,7.365353584289551,34
0.007744030359665134,0.026927737032397297,35,0.07692234472072394,1715512005.8026147,0.019183706672732163,3.547541856765747,7.4186577796936035,35
0.008773383303523459,0.024499419973325755,36,0.07971600340066519,1715512005.8555243,0.015726036669802296,3.6005022525787354,7.471567392349243,36
0.009197940892014029,0.02327574373237382,37,0.0818323325423355,1715512005.9086332,0.01407780284035979,3.6536448001861572,7.524676322937012,37
0.009368636714664631,0.0204303425351192,38,0.08037127896593835,1715512005.96161,0.011061705820454569,3.7066056728363037,7.577653169631958,38
0.00880009636981116,0.019217988543111672,39,0.07739737312512446,1715512006.0146194,0.010417892173300511,3.7595577239990234,7.630662441253662,39
0.007967676544659689,0.017633260144384294,40,0.06817854680805392,1715512006.066581,0.009665583599724607,3.8115234375,7.682624101638794,40
0.005850267437456998,0.013150814858525414,42,0.06296564470103082,1715512006.1700196,0.007300547421068416,3.9150288105010986,7.786062717437744,41
