l2_error,loss,step,loss_interior,time,_step,_timestamp,_runtime,loss_boundary
0.37557927219534937,48.92347435353573,0,48.91067652143811,1.2530479431152344,0,1715358088.246295,7.912126064300537,0.012797832097621838
0.3518442973202413,48.72105112749951,1,48.70081193475623,2.5755672454833984,1,1715358088.2578106,7.923641681671143,0.02023919274327353
0.3325358069179101,48.52054188985119,2,48.491191021558514,2.5868980884552,2,1715358088.2687547,7.934585809707642,0.02935086829267201
0.3180470306757341,48.32184693598447,3,48.281849932244334,2.5945608615875244,3,1715358088.2761059,7.94193696975708,0.039997003740134734
0.3086631257542062,48.12485091674543,4,48.07277055416966,2.6001534461975098,4,1715358088.2814496,7.947280645370483,0.05208036257577161
0.30456604767696044,47.92943522105384,5,47.86387811455468,2.604990243911743,5,1715358088.286255,7.952085971832275,0.06555710649916587
0.30572125227072544,47.73549290598983,6,47.65511999454595,2.610544443130493,6,1715358088.2918177,7.957648754119873,0.08037291144388023
0.31185004961870233,47.542938779941736,7,47.44646644567419,2.615309953689575,7,1715358088.296593,7.962424039840698,0.09647233426754204
0.32246161131588125,47.3517016896372,8,47.237903711596914,2.620074510574341,8,1715358088.3013263,7.967157363891602,0.11379797804028978
0.3369258284827075,47.16171388354293,9,47.02943095251237,2.6250219345092773,9,1715358088.3063173,7.972148418426514,0.13228293103055594
0.3545600500504238,46.97290412891471,10,46.82105530837278,2.6300902366638184,10,1715358088.3113515,7.977182626724243,0.1518488205419374
0.37470130049990624,46.785194348869695,11,46.61278721937465,2.634950637817383,11,1715358088.3162324,7.98206353187561,0.1724071294950433
0.39675203409871235,46.59849845961978,12,46.40463671708022,2.639662504196167,12,1715358088.320928,7.986759185791016,0.19386174253956345
0.4202014528539976,46.41272271386581,13,46.19661018009244,2.644246816635132,13,1715358088.3269596,7.992790699005127,0.2161125337733714
0.4446296088374871,46.227767157534956,14,45.98870752039578,2.6502766609191895,14,1715358088.3315372,7.997368335723877,0.23905963713917622
0.4697013795512167,46.04352772887345,15,45.780920169380686,2.6548244953155518,15,1715358088.3360832,8.001914262771606,0.26260755949276343
0.4951556059350077,45.85989850342801,16,45.57323012734331,2.6597402095794678,16,1715358088.3409643,8.006795406341553,0.2866683760847066
0.5207928046843511,45.67677371714042,17,45.365610017246915,2.664520025253296,17,1715358088.345763,8.01159405708313,0.3111636998935072
0.5464633477489963,45.49404937351656,18,45.15802386082117,2.6695196628570557,18,1715358088.350754,8.016585111618042,0.33602551269539066
0.5720569565283502,45.311624364538666,19,44.950428262922486,2.674126625061035,19,1715358088.3553302,8.021161317825317,0.3611961016161819
0.5974937669945338,45.12940110885933,20,44.74277376753396,2.6786630153656006,20,1715358088.3598726,8.02570366859436,0.3866273413253669
0.6227169617144523,44.94728577528624,21,44.535006243393006,2.683284044265747,21,1715358088.3644943,8.030325412750244,0.41227953189323674
0.6476868748341149,44.7651882252302,22,44.3270682254206,2.687727689743042,22,1715358088.3689246,8.03475570678711,0.4381199998096022
0.6723764191223701,44.58302183732705,23,44.11890016498304,2.692654609680176,23,1715358088.373975,8.039806127548218,0.46412167234401297
0.6967676100235725,44.40070332212919,24,43.91044153300383,2.6972227096557617,24,1715358088.378474,8.044305086135864,0.4902617891253604
0.720848925884636,44.21815251755206,25,43.70163170939161,2.701906442642212,25,1715358088.383113,8.048943996429443,0.5165208081604474
0.744613293862429,44.03529209135482,26,43.492410618225826,2.706578016281128,26,1715358088.3878126,8.053643703460693,0.5428814731289963
0.7680565746342332,43.85204712871763,27,43.28271912393403,2.710958480834961,27,1715358088.3921862,8.058017253875732,0.5693280047835984
0.7911764657744182,43.66834467027338,28,43.07249924697391,2.7154431343078613,28,1715358088.3966641,8.062495231628418,0.5958454232994678
0.8139717520531924,43.484113294119275,29,42.86169426638322,2.7200262546539307,29,1715358088.4012678,8.06709885597229,0.6224190277360601
0.8364418322837677,43.29928280661869,30,42.65024876228192,2.7243869304656982,30,1715358088.4055839,8.071414947509766,0.6490340443367694
0.8585864602855537,43.113784068097225,31,42.438108631560496,2.728806972503662,31,1715358088.4100132,8.075844287872314,0.6756754365367285
0.8804056466219156,42.92754895458899,32,42.22522109374116,2.7335240840911865,32,1715358088.4147534,8.080584526062012,0.7023278608478293
0.901899670617432,42.74051044271724,33,42.01153469444799,2.73791766166687,33,1715358088.4191158,8.084946870803833,0.7289757482692493
0.9230691497909862,42.5526027924277,34,41.796999311394636,2.7424120903015137,34,1715358088.4236467,8.089477777481079,0.7556034810330653
0.9439151154254014,42.36376178909421,35,41.58156616971801,2.7468652725219727,35,1715358088.428088,8.093919038772583,0.7821956193762024
0.9644390563995193,42.1739249985317,36,41.3651878747085,2.751744270324707,36,1715358088.4329724,8.098803520202637,0.8087371238232096
0.9846429159459467,41.983031993109144,37,41.14781846655187,2.7561442852020264,37,1715358088.4373424,8.10317349433899,0.8352135265572755
1.0045290467627328,41.79102452400898,38,40.9294134947083,2.7609310150146484,38,1715358088.4421496,8.107980728149414,0.8616110293006793
1.024100140592248,41.59784663483208,39,40.70993010379342,2.7654967308044434,39,1715358088.4466918,8.112522840499878,0.8879165310386599
1.043359149016653,41.40344472615603,40,40.489327121602535,2.770256996154785,40,1715358088.4514651,8.11729621887207,0.914117604553495
1.0809535719053336,41.01076640534524,42,40.044606603757515,2.7781007289886475,41,1715358088.4593103,8.125141382217407,0.9661598015877207
1.1525409573744902,40.20862960881083,46,39.14012375304634,2.7917163372039795,42,1715358088.4729493,8.138780355453491,1.0685058557644895
