time,l2_error,loss_interior,_runtime,_step,loss_boundary,loss,step,_timestamp
1.250675916671753,2.657074516517386,48.91067652143811,6.464070796966553,0,0.012797832097621838,48.92347435353573,0,1715361193.6600008
1.6739118099212646,1.3619382239456814,22.816350345636472,6.619532346725464,1,4.071662864512141,26.888013210148614,1,1715361193.8154624
1.8084287643432617,0.882556680556764,11.482539518788819,6.754075527191162,2,1.1619465842197385,12.644486103008557,2,1715361193.9500055
1.971998691558838,0.6768509526893728,5.815894631971868,6.917632102966309,3,0.6284240858279262,6.444318717799794,3,1715361194.113562
2.10446834564209,0.7141166495374778,4.400817812577263,7.050117492675781,4,0.48044846249461287,4.8812662750718765,4,1715361194.2460475
2.2856318950653076,0.6559555316333375,3.6512481348370884,7.231587171554565,5,0.5135785833986021,4.16482671823569,5,1715361194.4275172
2.454401969909668,0.7693217853223007,3.176305896855792,7.4013707637786865,6,0.4568061263278888,3.633112023183681,6,1715361194.5973008
2.6300137042999268,0.6421693065049796,2.5732160570836045,7.575675010681152,7,0.5444187612842115,3.117634818367816,7,1715361194.771605
2.770353078842163,0.6182705381232713,2.296788251085152,7.716006517410278,8,0.436760564351922,2.733548815437074,8,1715361194.9119365
2.9319610595703125,0.5774921167362046,2.12935660156527,7.8775954246521,9,0.3953448390199399,2.52470144058521,9,1715361195.0735254
3.0932493209838867,0.5549149596864194,2.0006930734581885,8.038858890533447,10,0.3575517470998472,2.3582448205580357,10,1715361195.234789
3.2459211349487305,0.48933446946453724,1.749688987795279,8.19153904914856,11,0.3029895936213292,2.0526785814166084,11,1715361195.387469
3.4117021560668945,0.4600288644862111,1.5933452226598672,8.35733437538147,12,0.25840495883232734,1.8517501814921946,12,1715361195.5532644
3.578911066055298,0.4074541035482,1.450255980691664,8.524560689926147,13,0.21070740455642417,1.660963385248088,13,1715361195.7204907
3.74873423576355,0.4046538318029644,1.2870180385055272,8.694401025772095,14,0.1820591113998222,1.4690771499053494,14,1715361195.890331
3.8801143169403076,0.3575817574254024,1.1943770172686508,8.825714588165283,15,0.1718059030970887,1.3661829203657394,15,1715361196.0216446
4.054902791976929,0.35887431105758977,1.1434661346941528,9.00052809715271,16,0.14070122252520564,1.2841673572193584,16,1715361196.196458
4.21127986907959,0.2596792172106786,1.065617498784899,9.15690803527832,17,0.13832622198632424,1.2039437207712231,17,1715361196.352838
4.3896400928497314,0.2623036838620757,0.9600127406335406,9.335272789001465,18,0.07046423157584597,1.0304769722093865,18,1715361196.5312028
4.519649028778076,0.2263039914225985,0.7901412947373407,9.465262413024902,19,0.0718981215941926,0.8620394163315334,19,1715361196.6611924
4.686768293380737,0.23662610596982458,0.7577866824844196,9.632438898086548,20,0.058674020333943415,0.816460702818363,20,1715361196.828369
4.859525442123413,0.20656141682084825,0.7228147078748536,9.805132865905762,21,0.05684960727576319,0.7796643151506167,21,1715361197.0010629
5.023378610610962,0.18333738080960052,0.6906624735020738,9.969021320343018,22,0.04886473658188843,0.7395272100839622,22,1715361197.1649513
5.188033580780029,0.14129007900619853,0.5936184373978289,10.133632898330688,23,0.03154767204376685,0.6251661094415958,23,1715361197.329563
5.344208240509033,0.14216995995323461,0.5522024656109751,10.289823532104492,24,0.024864226868113994,0.577066692479089,24,1715361197.4857535
5.475168228149414,0.11772969733226811,0.5154805970054933,10.420768022537231,25,0.021411903096862844,0.5368925001023561,25,1715361197.616698
5.609086275100708,0.1582959652596438,0.4956785837718055,10.554712772369385,26,0.018086768073333915,0.5137653518451394,26,1715361197.7506428
5.7405312061309814,0.05626686205226335,0.4365399074959086,10.686146259307861,27,0.014245048427675593,0.4507849559235842,27,1715361197.8820763
5.890466928482056,0.06718217961589561,0.3505747630665827,10.836105346679688,28,0.00627805564020082,0.35685281870678354,28,1715361198.0320354
6.060765504837036,0.05360822824966445,0.34037393087639517,11.006402254104614,29,0.006437238508735486,0.3468111693851307,29,1715361198.2023323
6.227874517440796,0.08757620362453367,0.3318891412521589,11.173502683639526,30,0.0058108126376765525,0.3376999538898355,30,1715361198.3694327
6.386787414550781,0.04508707387328421,0.27535518002628256,11.33242130279541,31,0.006275906963065261,0.2816310869893478,31,1715361198.5283513
6.551883935928345,0.061872256251212274,0.2516897085604818,11.497492790222168,32,0.004607728725507956,0.25629743728598975,32,1715361198.6934228
6.716214656829834,0.04553940876861254,0.24324422585457706,11.661834716796875,33,0.004938186903399855,0.24818241275797692,33,1715361198.8577647
6.886094093322754,0.06434917667497196,0.23477382449974718,11.831754684448242,34,0.0045336699154341275,0.23930749441518132,34,1715361199.0276847
7.05797004699707,0.0468476019675483,0.21749276569628365,12.003711223602295,35,0.004936666192456906,0.22242943188874056,35,1715361199.1996412
7.22932243347168,0.06596701326229144,0.20855293497897473,12.174949407577515,36,0.004525957424985034,0.21307889240395977,36,1715361199.3708794
7.3990797996521,0.0480152203630428,0.19617322817883703,12.344701528549194,37,0.004914440558362876,0.2010876687371999,37,1715361199.5406315
7.528539180755615,0.06762618437337431,0.18687755708891302,12.47416090965271,38,0.004534574050784298,0.19141213113969732,38,1715361199.670091
7.667794466018677,0.04968233119072659,0.1778567792716577,12.613493204116821,39,0.004986318399236132,0.18284309767089382,39,1715361199.8094232
7.833772420883179,0.06680877597918451,0.168722997807684,12.779462337493896,40,0.0045845202385334,0.17330751804621738,40,1715361199.9753923
8.129510402679443,0.05596427200930852,0.15350389874345916,13.075157165527344,41,0.004523072606615609,0.15802697135007476,42,1715361200.2710872
