_timestamp,loss_interior,loss_boundary,time,step,_step,_runtime,l2_error,loss
1715359146.6165156,48.91067652143811,0.012797832097621838,1.0561764240264893,0,0,5.494313716888428,0.3149680195523869,48.92347435353573
1715359146.6510944,47.209310867773674,0.11896577076907174,1.3615360260009766,1,1,5.528892517089844,0.6428198097324267,47.32827663854275
1715359146.684677,44.81587560130773,0.46223524326859766,1.395146369934082,2,2,5.562474966049194,1.2868599516012251,45.278110844576325
1715359146.7176685,41.42587546490857,1.3234800739826498,1.4281201362609863,3,3,5.595466613769531,2.219501896719999,42.74935553889122
1715359146.7504451,36.49952239190914,3.2421840782800775,1.4609360694885254,4,4,5.6282432079315186,3.4786438908435753,39.741706470189214
1715359146.7830927,29.297864647543275,7.091927055680568,1.4935696125030518,5,5,5.660890817642212,4.903856367626574,36.38979170322384
1715359146.8207731,20.373978996565242,13.115258754047579,1.5312247276306152,6,6,5.69857120513916,5.457228916224939,33.48923775061282
1715359146.877737,13.953740279830958,15.70999706717476,1.5882203578948975,7,7,5.755535125732422,4.710563172507787,29.663737347005718
1715359146.928065,10.63820550453962,11.673249101393738,1.638566493988037,8,8,5.80586314201355,3.2382570274017026,22.311454605933356
1715359147.0049074,7.883602956435512,5.642943500453448,1.715362787246704,9,9,5.882705450057983,1.6573243591540368,13.52654645688896
1715359147.0960715,4.842372460359392,1.5785497229469603,1.8065519332885742,10,10,5.973869562149048,0.4564018129930275,6.420922183306352
1715359147.2112772,2.393838869565942,0.1694818323167842,1.920330286026001,11,11,6.089075326919556,0.3084456955859135,2.563320701882726
1715359147.3257666,1.1209340897528286,0.06087414291121498,2.0362279415130615,12,12,6.203564643859863,0.4033413469365048,1.1818082326640436
1715359147.4458241,0.4908503644643127,0.1058679339780698,2.1562814712524414,13,13,6.323622226715088,0.3839232571865429,0.5967182984423824
1715359147.59581,0.4121925161012238,0.11609861647600615,2.30619215965271,14,14,6.473608016967773,0.3698962229574567,0.5282911325772299
1715359147.7406487,0.3731190954669284,0.12149092342483664,2.451141357421875,15,15,6.6184468269348145,0.3624892229529327,0.49461001889176504
1715359147.8922172,0.33710033977293935,0.12464469143760741,2.6027088165283203,16,16,6.770015239715576,0.3520279910384475,0.4617450312105468
1715359148.0432243,0.30014486671179247,0.121164152927011,2.753645658493042,17,17,6.921022415161133,0.33392190854750287,0.42130901963880346
1715359148.1963193,0.2542150168139675,0.10781807669468974,2.9067676067352295,18,18,7.074117422103882,0.30576338011787413,0.36203309350865726
1715359148.3714516,0.19323086965166716,0.08574917944322487,3.081909418106079,19,19,7.249249696731567,0.25765016727444395,0.27898004909489205
