loss_boundary,loss,_runtime,_timestamp,loss_interior,l2_error,_step,time,step
0.012797832097621838,48.92347435353573,5.730220079421997,1715359147.829319,48.91067652143811,0.336344276747584,0,1.1300444602966309,0
0.12110305700621038,0.6463168990105232,5.881381034851074,1715359147.98048,0.5252138420043129,0.23288928032521627,1,1.5924856662750244,1
0.04237102573768322,0.2777518002886941,6.086953163146973,1715359148.186052,0.2353807745510109,0.11895096142934863,2,1.7980480194091797,2
0.01820727427539559,0.16364288103802532,6.31744384765625,1715359148.4165428,0.14543560676262973,0.11716555625639762,3,2.0285375118255615,3
0.019279571976226317,0.09581471205575828,6.563663482666016,1715359148.6627624,0.07653514007953197,0.11327815827697632,4,2.274756669998169,4
0.017024374878779412,0.06359734981804968,6.8533453941345215,1715359148.9524443,0.046572974939270276,0.08164979209145941,5,2.5644073486328125,5
0.008824906029801821,0.04788138726729968,7.183206558227539,1715359149.2823055,0.03905648123749786,0.06625138161183547,6,2.894301414489746,6
0.006473424843104058,0.028865615922517008,7.565720081329346,1715359149.664819,0.02239219107941295,0.06420775878060754,7,3.276820182800293,7
0.006166333134359957,0.016955308518521672,7.933600187301636,1715359150.032699,0.010788975384161716,0.028262076158532615,8,3.6446642875671387,8
0.0013826278540198637,0.008155222824558737,8.29914116859436,1715359150.39824,0.006772594970538874,0.01951606859604354,9,4.0102221965789795,9
0.0007312786659481892,0.004908681839885907,8.667620420455933,1715359150.7667193,0.004177403173937718,0.017850918446178064,10,4.3786749839782715,10
0.0005321720456005871,0.003857106244833813,9.039122819900513,1715359151.1382217,0.0033249341992332257,0.015410538451291747,11,4.750199317932129,11
0.00035320461382297,0.0026273853950781966,9.409035682678223,1715359151.5081346,0.0022741807812552265,0.010221225398061353,12,5.120094060897827,12
0.00014191930414491654,0.001782705389382754,9.777291774749756,1715359151.8763907,0.0016407860852378374,0.013142088686112883,13,5.487041473388672,13
0.00025979916263331085,0.0015203999665914163,10.146032810211182,1715359152.2451317,0.0012606008039581053,0.00971548066417199,14,5.857052564620972,14
0.0001732926339092023,0.001237526458815556,10.513102531433105,1715359152.6122015,0.0010642338249063537,0.00904229070134252,15,6.224176406860352,15
0.0001169834388747146,0.0008345791284571621,10.879772901535034,1715359152.9788718,0.0007175956895824475,0.010205994532643025,16,6.590866804122925,16
0.0001338032344302411,0.0007339941405266737,11.252818822860718,1715359153.3519177,0.0006001909060964326,0.008889280214419044,17,6.963895797729492,17
0.00010125813180584757,0.0005891535143014288,11.620482683181763,1715359153.7195816,0.0004878953824955813,0.005285173789028184,18,7.331556081771851,18
4.457056944623586e-05,0.0003523845356134921,12.031647682189941,1715359154.1307466,0.00030781396616725627,0.004548095335499398,19,7.7427239418029785,19
3.8081653783689706e-05,0.000304837969167231,12.43562626838684,1715359154.5347252,0.00026675631538354127,0.004031080797196958,20,8.146705865859985,20
2.5055449685728988e-05,0.0002646425065640576,12.854243755340576,1715359154.9533427,0.00023958705687832863,0.005216018455321685,21,8.565336465835571,21
3.162745859359581e-05,0.00021424853292359105,13.271412134170532,1715359155.370511,0.00018262107432999523,0.005370604137314656,22,8.982484579086304,22
