time,loss_boundary,_step,l2_error,_timestamp,loss_interior,loss,step,_runtime
1.34635329246521,0.012797832097621838,0,0.40319955372724614,1715512067.5128186,48.91067652143811,48.92347435353573,0,5.381735563278198
1.6409592628479004,0.012799666185448718,1,1.022101486603847,1715512067.5454702,48.91059544512954,48.92339511131499,1,5.414387226104736
1.6716651916503906,0.7068905412406388,2,0.729271013880444,1715512067.5761778,15.0885473649257,15.79543790616634,2,5.44509482383728
1.7023138999938965,0.4301037602547975,3,0.5729110043579656,1715512067.6068025,11.992242639115611,12.422346399370408,3,5.475719451904297
1.7424712181091309,0.312103227946695,4,0.6665753971781275,1715512067.6469567,9.529651210260822,9.841754438207516,4,5.515873670578003
1.778003215789795,0.1617473678353234,5,0.34079181117136853,1715512067.682521,11.508121295167326,11.66986866300265,5,5.551438093185425
1.8088924884796143,0.06619676383872837,6,0.2987708867626239,1715512067.7133553,6.024110237296533,6.090307001135261,6,5.582272291183472
1.840033769607544,0.052384409039266534,7,0.1770871129263974,1715512067.7445304,4.820945796141604,4.873330205180871,7,5.613447427749634
1.8767707347869873,0.03618022018683014,8,0.09764691213964646,1715512067.7813926,2.8789964542661663,2.9151766744529963,8,5.6503095626831055
1.9073262214660645,0.010658332519511633,9,0.07285586718595666,1715512067.8131123,2.2402270107955307,2.2508853433150424,9,5.6820292472839355
1.9401161670684814,0.00990107054665802,10,0.08600135997341912,1715512067.8446498,1.352598010526429,1.362499081073087,10,5.713566780090332
1.9740142822265625,0.013165171877631396,11,0.13612996171341607,1715512067.8785405,1.04998242006357,1.0631475919412012,11,5.747457504272461
2.0087623596191406,0.023922297216022625,12,0.17474029945568054,1715512067.9133837,0.8618160957250188,0.8857383929410414,12,5.782300710678101
2.0403995513916016,0.03634777972940108,13,0.16877391813942508,1715512067.9448993,0.6739582880809494,0.7103060678103504,13,5.81381630897522
2.0706820487976074,0.030509971532630235,14,0.16770377431931185,1715512067.9751878,0.6006797399210864,0.6311897114537166,14,5.844104766845703
2.1033473014831543,0.029948143760450546,15,0.163727333714374,1715512068.0078192,0.42662124447239713,0.45656938823284765,15,5.876736164093018
2.137770175933838,0.02782737851448556,16,0.13333085943024184,1715512068.0423214,0.30329962142918887,0.33112699994367445,16,5.911238431930542
2.169389247894287,0.019552734199221822,17,0.11480459280517055,1715512068.0739336,0.2470025376748712,0.266555271874093,17,5.942850589752197
2.2067558765411377,0.01530800806385882,18,0.11162751592637248,1715512068.1112137,0.21249564309677596,0.22780365116063478,18,5.980130672454834
2.2405014038085938,0.014281383116229554,19,0.10295939042576682,1715512068.1449382,0.18780418494411782,0.2020855680603474,19,6.013855218887329
2.2679927349090576,0.0123533990519323,20,0.09973935644785076,1715512068.1724424,0.17230959101125853,0.18466299006319084,20,6.0413594245910645
2.2952184677124023,0.01147487896835053,21,0.10103654221115427,1715512068.1996427,0.1578747887126686,0.16934966768101914,21,6.068559646606445
2.3224451541900635,0.011844323267811187,22,0.10275460086039691,1715512068.2268732,0.1492992418444575,0.16114356511226868,22,6.095790147781372
2.3500285148620605,0.012432347184143697,23,0.10364505336672378,1715512068.254438,0.1403581905877088,0.15279053777185247,23,6.123354911804199
2.3778188228607178,0.012960333826034724,24,0.09792498597290711,1715512068.2822692,0.1304894827707448,0.14344981659677952,24,6.151186227798462
2.405707359313965,0.012748563070035369,25,0.09725256202979383,1715512068.3102095,0.12224154721416185,0.13499011028419722,25,6.179126501083374
2.433547019958496,0.01268366619116778,26,0.09879779895340741,1715512068.3380373,0.1148477835342092,0.12753144972537697,26,6.20695424079895
2.470895528793335,0.012745709321277747,27,0.09617701126491997,1715512068.3755245,0.10751350321790397,0.12025921253918172,27,6.244441509246826
2.5028908252716064,0.011841389664866073,28,0.09621625669743035,1715512068.4073248,0.09912770686559307,0.11096909653045914,28,6.276241779327393
2.5322368144989014,0.011609033512549457,29,0.09400774668500432,1715512068.4367073,0.09310125820690325,0.1047102917194527,29,6.30562424659729
2.560429096221924,0.011194585942309768,30,0.08893567424761761,1715512068.4648788,0.08609365146679086,0.09728823740910063,30,6.333795785903931
2.5884203910827637,0.010535010945472972,31,0.0804475777386152,1715512068.4928627,0.08140995788933164,0.09194496883480462,31,6.361779689788818
2.6161627769470215,0.009717442105360125,32,0.07674934684490609,1715512068.5206134,0.07594292272551453,0.08566036483087466,32,6.389530420303345
2.6523613929748535,0.009509849266899555,33,0.07334927262408437,1715512068.556886,0.07228262033829363,0.0817924696051932,33,6.425802946090698
2.6808271408081055,0.009569559920965027,34,0.0739271312030157,1715512068.5853124,0.06764386098477254,0.07721342090573757,34,6.454229354858398
2.7084546089172363,0.010274573945856772,35,0.07518366054779113,1715512068.612897,0.06199038783193518,0.07226496177779196,35,6.481813907623291
2.7360854148864746,0.011003783609079753,36,0.07634011031574077,1715512068.6405113,0.0574617944492226,0.06846557805830235,36,6.509428262710571
2.7635691165924072,0.011508581733409084,37,0.07655916835796997,1715512068.668013,0.05408574995828808,0.06559433169169716,37,6.536930084228516
2.7912652492523193,0.011668782796834417,38,0.07642651079104791,1715512068.695685,0.05118868131959533,0.06285746411642974,38,6.564601898193359
2.8275270462036133,0.011682104663030268,39,0.07974521529788028,1715512068.7319794,0.04922830802701554,0.06091041269004581,39,6.60089635848999
2.860468626022339,0.011995462515524085,40,0.08536651191767873,1715512068.7649114,0.04339939471173949,0.055394857227263575,40,6.633828401565552
2.9252285957336426,0.01230765028446679,41,0.08362663022152862,1715512068.8297274,0.03080113561728302,0.04310878590174981,42,6.698644399642944
