step,loss_boundary,time,_timestamp,loss_interior,_runtime,l2_error,loss,_step
0,0.012797832097621838,1.2586770057678223,1715365875.2845488,48.91067652143811,5.308636665344238,3.6574554223974753,48.92347435353573,0
1,7.58299142471747,1.7025978565216064,1715365875.4690454,23.45765060546532,5.493133306503296,1.104994017057133,31.04064203018279,1
2,1.0253605656598477,1.876917839050293,1715365875.643294,8.606878807396386,5.667382001876831,0.8500542639627008,9.632239373056233,2
3,0.6888979758869813,2.049760103225708,1715365875.8161464,6.571918347455996,5.840234279632568,0.6932546167690872,7.260816323342977,3
4,0.30011198025340907,2.2212023735046387,1715365875.9879963,4.662814301332388,6.012084245681763,0.5039726744598941,4.962926281585798,4
5,0.15275611153239885,2.394744396209717,1715365876.1614404,2.561407347552238,6.18552827835083,0.38760869136008397,2.714163459084637,5
6,0.09402482305314998,2.5689589977264404,1715365876.3369052,1.5879456725206167,6.360993146896362,0.3668822446859528,1.6819704955737667,6
7,0.0786908909212598,2.75124454498291,1715365876.5176606,1.0308507672684097,6.541748523712158,0.2702823996227156,1.1095416581896695,7
8,0.06618990405358137,2.9257867336273193,1715365876.692191,0.5259712483306804,6.716278791427612,0.20360270943309916,0.5921611523842618,8
9,0.044449577085698744,3.1012656688690186,1715365876.8676388,0.47806362927156715,6.891726732254028,0.1583878507761634,0.522513206357266,9
10,0.031411309881083836,3.2761454582214355,1715365877.0425055,0.455162219162836,7.066593408584595,0.1541149149662634,0.4865735290439198,10
11,0.028655717879835046,3.4392764568328857,1715365877.2061439,0.42223190898184537,7.230231761932373,0.12925342569944873,0.45088762686168044,11
12,0.022443022277132334,3.6121485233306885,1715365877.3790221,0.40259742004248184,7.403110027313232,0.13277354232991892,0.4250404423196142,12
13,0.02093038666436142,3.78619122505188,1715365877.553052,0.38582276089877077,7.577139854431152,0.11575828787838993,0.4067531475631322,13
14,0.01849878492688647,3.960594654083252,1715365877.7274835,0.3706958417274359,7.751571416854858,0.11850536694429677,0.38919462665432236,14
15,0.016466506453984637,4.134489297866821,1715365877.901333,0.33601602840836453,7.9254209995269775,0.1002174636573604,0.35248253486234915,15
16,0.014410163355034018,4.3149800300598145,1715365878.0819106,0.32635447922889865,8.105998516082764,0.11496772702352538,0.3407646425839327,16
17,0.015247238413349034,4.4908246994018555,1715365878.257743,0.3119527188946853,8.281830787658691,0.09597815587617088,0.3271999573080343,17
18,0.013182729150297645,4.6655027866363525,1715365878.4325614,0.2982081942778079,8.45664930343628,0.10621566462386846,0.3113909234281056,18
19,0.013579953275018986,4.845190525054932,1715365878.6122668,0.2801193484643417,8.636354684829712,0.09290177709298734,0.2936993017393607,19
