step,loss_boundary,time,_timestamp,loss_interior,_runtime,l2_error,loss,_step
81,0.0003170754707604673,15.601237058639526,1715365889.367591,0.0010765202203286601,19.39167881011963,0.012726125978691317,0.0013935956910891274,48
89,8.435295824498563e-05,16.954880237579346,1715365890.7212634,0.0005829232003024677,20.745351314544678,0.007766151917523378,0.0006672761585474533,49
98,4.56263516764989e-05,18.49282169342041,1715365892.2596707,0.0003401012474112152,22.283758640289307,0.005538161894981483,0.0003857275990877141,50
107,2.3172343321358777e-05,20.04914903640747,1715365893.8155735,0.00020376232685277075,23.839661359786987,0.0042520428283008465,0.00022693467017412952,51
118,1.3131178405354106e-05,22.095199823379517,1715365895.8616886,9.361401928982144e-05,25.88577651977539,0.0026147636860604445,0.00010674519769517555,52
130,7.933413372533154e-06,24.127912282943726,1715365897.8947184,5.2134421882679676e-05,27.918806314468384,0.002027986703693468,6.006783525521283e-05,53
143,4.279126389797783e-06,26.340662479400635,1715365900.1072476,2.0461991807128368e-05,30.131335496902466,0.0014185028693775342,2.474111819692615e-05,54
157,2.0932337922441385e-06,28.79094958305359,1715365902.5578399,7.817774100051337e-06,32.58192777633667,0.0010294024543934317,9.911007892295475e-06,55
172,1.0556454585658034e-06,31.31590700149536,1715365905.0828164,2.5069975973902424e-06,35.10690426826477,0.0007726401839702476,3.5626430559560457e-06,56
190,4.4839141714965014e-07,34.342777252197266,1715365908.1095793,6.143018364571971e-07,38.13366723060608,0.0005020639346645933,1.0626932536068472e-06,57
208,7.909941504484056e-08,37.38873243331909,1715365911.1552749,1.6786454965984683e-07,41.179362773895264,0.0002142001965698669,2.469639647046874e-07,58
229,8.900711556852877e-09,40.91253066062927,1715365914.6793494,4.9749333285447305e-08,44.70343732833862,8.549044419100263e-05,5.8650044842300184e-08,59
252,2.7038458635978763e-09,44.78042793273926,1715365918.5467927,2.0147775087653203e-08,48.570880651474,5.182829474169762e-05,2.285162095125108e-08,60
277,9.117642363949619e-10,49.04802989959717,1715365922.814946,1.1145254339438504e-08,52.83903384208679,2.7079775623903763e-05,1.2057018575833466e-08,61
305,2.6984243207707444e-10,53.78389286994934,1715365927.5507877,6.889615343091041e-09,57.574875593185425,1.3131778086075476e-05,7.159457775168115e-09,62
335,1.2367636771088546e-10,58.98495054244995,1715365932.7523208,4.180225973599727e-09,62.776408672332764,9.084026373223661e-06,4.303902341310612e-09,63
369,5.0127738091961784e-11,64.83598709106445,1715365938.6026454,2.039698446368537e-09,68.62673330307007,3.99260817324353e-06,2.089826184460499e-09,64
406,1.4437148204211547e-11,71.21529984474182,1715365944.9822288,1.0059466086678058e-09,75.00631666183472,2.7430326585406555e-06,1.0203837568720173e-09,65
446,1.7670059041032566e-11,78.09587025642395,1715365951.862446,4.431079403809197e-10,81.8865339756012,3.010637845970841e-06,4.6077799942195225e-10,66
491,1.3501220782239302e-11,85.78191375732422,1715365959.5487654,1.7650206023566452e-10,89.57285332679749,2.593427555104008e-06,1.9000328101790382e-10,67
540,1.440647264469829e-12,94.14213061332703,1715365967.9085944,6.876983992678642e-11,97.9326822757721,8.972526614490535e-07,7.021048719125625e-11,68
594,1.0307407717697116e-12,103.31933665275574,1715365977.085816,2.985908532858402e-11,107.10990381240845,6.565583825527484e-07,3.088982610035373e-11,69
653,5.748643537650929e-13,113.47091937065125,1715365987.2376208,2.1702700479200312e-11,117.26170873641968,5.841970207174432e-07,2.2277564832965405e-11,70
718,2.3695102171686956e-13,124.59779691696167,1715365998.3643205,1.7186539705396966e-11,128.3884084224701,3.9518866445978166e-07,1.7423490727113835e-11,71
790,1.5258726112135686e-13,136.82694578170776,1715366010.594237,1.2933092871797698e-11,140.6183249950409,3.5131652493368065e-07,1.3085680132919056e-11,72
869,2.029295976262216e-13,150.2081778049469,1715366023.9745407,9.061589621024494e-12,153.998628616333,3.6247099281631735e-07,9.264519218650716e-12,73
956,4.885489963970259e-14,164.99094367027283,1715366038.757802,3.840947933638977e-12,168.7818899154663,2.1216679374511759e-07,3.8898028332786795e-12,74
1052,2.7134278383019315e-14,181.38951110839844,1715366055.1563976,1.6502262532514097e-12,185.18048548698425,1.4529419089249782e-07,1.677360531634429e-12,75
1157,1.7001660537817952e-14,199.10854840278625,1715366072.8752708,1.1465004743801674e-12,202.89935874938965,1.1833693763942377e-07,1.1635021349179853e-12,76
1272,7.16899237914399e-16,218.722487449646,1715366092.4893064,8.848545915268559e-13,222.51339435577393,6.943788073733038e-08,8.855714907647703e-13,77
1400,1.5452333636202194e-15,240.8534505367279,1715366114.6198847,6.406842360580237e-13,244.64397263526917,6.276962766550339e-08,6.42229469421644e-13,78
1539,2.2221364399639807e-15,264.5276041030884,1715366138.2949045,4.3470877885622753e-13,268.3189923763275,7.409409322502086e-08,4.3693091529619153e-13,79
1693,1.6791067349226372e-15,290.7746398448944,1715366164.5411942,3.840914788171043e-13,294.56528210639954,6.485826709198632e-08,3.8577058555202693e-13,80
1863,1.6104119704323527e-15,319.7237513065338,1715366193.4905677,3.7120391943187815e-13,323.5146555900574,6.300065940967293e-08,3.728143314023105e-13,81
2049,1.2098843828414638e-15,351.4090733528137,1715366225.1759312,3.615853770803411e-13,355.20001912117004,6.25247617806425e-08,3.6279526146318254e-13,82
2254,9.419498204642132e-16,386.7524847984314,1715366260.5191967,3.5349012597760284e-13,390.5432846546173,6.197053547625944e-08,3.5443207579806705e-13,83
2479,8.11660156149075e-16,425.3948652744293,1715366299.1614747,3.4939079667101773e-13,429.1855626106262,6.260710583367572e-08,3.502024568271668e-13,84
2727,8.009800629968039e-16,468.31205010414124,1715366342.0786998,3.4593499070195054e-13,472.102787733078,6.124550819617129e-08,3.4673597076494734e-13,85
3000,7.579193842414947e-16,515.636538028717,1715366389.4032683,3.4347795182354227e-13,519.4273562431335,6.194893210239362e-08,3.4423587120778376e-13,86
3299,5.596714264355249e-16,566.6547892093658,1715366440.4215918,3.417614280742105e-13,570.4456796646118,6.177367076298262e-08,3.4232109950064603e-13,87
3629,4.828365822495446e-16,623.4939112663269,1715366497.260937,3.40151683390604e-13,627.2850248813629,6.161122276659377e-08,3.4063451997285357e-13,88
3992,4.2072445255233485e-16,685.8906795978546,1715366559.6580105,3.3832403204903746e-13,689.6820983886719,6.178532876232121e-08,3.387447565015898e-13,89
4391,3.7341964949167763e-16,754.4268147945404,1715366628.1940663,3.3665640236481627e-13,758.2181541919708,6.23073738679241e-08,3.3702982201430797e-13,90
4831,3.3427285597581136e-16,829.3916382789612,1715366703.1584418,3.351212761509666e-13,833.1825296878815,6.227761339920924e-08,3.3545554900694243e-13,91
5314,3.337049029730448e-16,911.7977147102356,1715366785.5646045,3.341149034247397e-13,915.5886924266815,6.185415004984619e-08,3.3444860832771276e-13,92
5834,3.4170700538468514e-16,1000.1481249332428,1715366873.9153543,3.3332549118634517e-13,1003.9394421577454,6.262438851754606e-08,3.3366719819172985e-13,93
