loss_boundary,_timestamp,loss,time,_runtime,l2_error,loss_interior,step,_step
0.004055179010242898,1715519291.366129,49.67380864958415,1.7045824527740479,5.716791868209839,0.8097503354197096,49.66975347057391,0,0
0.6614130311268158,1715519291.6513875,43.45347105972074,2.288238763809204,6.002050399780273,2.9556317766468028,42.79205802859393,1,1
5.381983871535512,1715519291.9406862,26.67928023194083,2.5762860774993896,6.291349172592163,2.826801045714918,21.297296360405316,2,2
5.206042351201188,1715519292.23384,15.618211934471272,2.8707923889160156,6.584502935409546,2.5829344731550132,10.412169583270083,3,3
4.675665263085356,1715519292.5232465,13.541356940910912,3.1602370738983154,6.8739094734191895,2.435566265317438,8.865691677825557,4,4
4.355728615988493,1715519292.8150308,13.093794853947655,3.452031135559082,7.165693759918213,2.2946901182651454,8.738066237959162,5,5
4.039096253596494,1715519293.1104174,12.836621094350134,3.747478485107422,7.461080312728882,2.0613188432660308,8.79752484075364,6,6
3.4925704138903977,1715519293.4011068,12.21011994950441,4.038128614425659,7.751769781112671,1.7395113198160772,8.717549535614012,7,7
2.682463905626557,1715519293.6951754,10.113570038085678,4.332191467285156,8.045838356018066,1.5151414776597911,7.431106132459121,8,8
2.0749113359213687,1715519293.9891934,9.016963229372504,4.626227140426636,8.339856386184692,1.4648905686466187,6.9420518934511355,9,9
1.9409398459695386,1715519294.2845266,8.8924037962926,4.921486139297485,8.635189533233643,1.3692555217593236,6.9514639503230615,10,10
1.6932461460587476,1715519294.578771,8.406583565664747,5.215746641159058,8.929434061050415,1.1888093266546236,6.713337419605998,11,11
1.277806793278035,1715519294.8719444,7.958801457114011,5.50896954536438,9.222607374191284,1.0271869223893666,6.680994663835976,12,12
0.9737669594006789,1715519295.1635585,7.704246424971708,5.800541162490845,9.514221429824829,0.7877165881575036,6.730479465571029,13,13
0.6165286737575841,1715519295.4550834,6.877305054567653,6.091991186141968,9.80574631690979,0.7226011883675738,6.260776380810069,14,14
0.5148606083852182,1715519295.7475414,5.522312250863342,6.384516000747681,10.098204374313354,0.7638737921327334,5.007451642478124,15,15
0.5474215245838335,1715519296.039737,4.739502403621267,6.676632404327393,10.390399932861328,0.8284252100118116,4.192080879037434,16,16
0.6119741597003592,1715519296.3340914,4.368911626894883,6.970982551574707,10.684754371643066,0.8464621045166567,3.7569374671945246,17,17
0.6287856416338667,1715519296.6275742,4.2511791280623825,7.264568090438843,10.97823715209961,0.8397055165028898,3.6223934864285154,18,18
0.6103182330239327,1715519296.920771,3.775336125809633,7.557762384414673,11.27143383026123,0.7870839148439841,3.1650178927857007,19,19
0.5367691734656568,1715519297.214419,3.2250654289315035,7.851348638534546,11.56508183479309,0.7016467231651331,2.688296255465847,20,20
0.43256435479725536,1715519297.510842,2.864069869252484,8.147779703140259,11.861505031585693,0.6539126994638025,2.4315055144552287,21,21
0.379864854177152,1715519297.803019,2.7527042439778113,8.439983606338501,12.153681993484497,0.6072439557363358,2.3728393898006592,22,22
0.33155982056566113,1715519298.0955195,2.627550855727412,8.732508420944214,12.446182489395142,0.5259688933378063,2.2959910351617507,23,23
0.25362560809722884,1715519298.3906372,2.4832133578660827,9.027559757232666,12.741300106048584,0.4970655287587372,2.2295877497688537,24,24
0.22693771665899717,1715519298.684449,2.4252171001666403,9.321418762207031,13.035111904144287,0.46080368067135785,2.1982793835076433,25,25
0.19220816659989381,1715519298.9767122,2.2264867730829554,9.613688468933105,13.327375173568726,0.4195745436954096,2.0342786064830616,26,26
0.15002476395136236,1715519299.270349,1.962394588440576,9.9072105884552,13.621011972427368,0.39417028883876054,1.8123698244892137,27,27
0.1295000375133473,1715519299.5654805,1.8689683055767041,10.202420234680176,13.916143417358398,0.31642800686460704,1.7394682680633569,28,28
0.08291071266099506,1715519299.8615038,1.6424848246706807,10.498412609100342,14.212166786193848,0.22130483426040706,1.5595741120096855,29,29
0.04165618345280843,1715519300.1579273,1.380367704717819,10.794827461242676,14.50859022140503,0.19059095244848667,1.3387115212650107,30,30
0.03127869840540547,1715519300.4543931,1.2019334880448076,11.091288805007935,14.805056095123291,0.17137772066845083,1.1706547896394022,31,31
0.026077494941253738,1715519300.7524328,1.019915656999843,11.38909387588501,15.103095769882202,0.1509967859801291,0.9938381620585894,32,32
0.02247471415866785,1715519301.0481312,0.9092528099546173,11.685080528259277,15.398794174194336,0.1257341389342893,0.8867780957959495,33,33
0.01916008445408172,1715519301.3425355,0.8508380295909536,11.979480266571045,15.693198442459106,0.1064317476869502,0.8316779451368719,34,34
0.017160597446171596,1715519301.6356854,0.8021208763778148,12.27267074584961,15.986348390579224,0.10586128118362231,0.7849602789316432,35,35
0.01734063721533193,1715519301.9282959,0.7380585946991784,12.565283060073853,16.278958797454834,0.11927729488385017,0.7207179574838465,36,36
0.01933652375906953,1715519302.2228932,0.6556996026537584,12.859606981277466,16.573556184768677,0.14907297105058884,0.6363630788946888,37,37
0.02550429476642771,1715519302.5153143,0.5656644901067133,13.15226125717163,16.86597728729248,0.15761306214937662,0.5401601953402856,38,38
0.028191664354724987,1715519302.8078594,0.5361926771775537,13.44482421875,17.158522367477417,0.16060422550076037,0.5080010128228287,39,39
0.029573858523706715,1715519303.1004093,0.48319643113428945,13.73740553855896,17.451072216033936,0.15915488268492306,0.45362257261058275,40,40
0.027343571875025858,1715519303.6806638,0.4219277821282403,14.317617654800415,18.03132677078247,0.14935055752188794,0.39458421025321444,42,41
0.020822628506970572,1715519304.831362,0.3398917850888247,15.468275547027588,19.18202495574951,0.18687821636729132,0.31906915658185414,46,42
