time,_timestamp,loss,loss_interior,_runtime,_step,step,l2_error,loss_boundary
2.105358839035034,1715441549.6990094,49.67380864958415,49.66975347057391,7.12370753288269,0,0,1.6980937255421913,0.004055179010242898
3.6030144691467285,1715441550.9517262,8.42303745726324,5.853953033504129,8.376424312591553,1,1,0.5958035132141206,2.569084423759111
4.917364835739136,1715441552.2661061,2.171093133400995,1.8862061960017813,9.690804243087769,2,2,0.18140147342234375,0.28488693739921395
5.766181707382202,1715441553.0893755,0.34453115232831266,0.31634491398966064,10.514073610305786,3,3,0.15047700499518563,0.028186238338652008
6.2080254554748535,1715441553.5305214,0.16263198044059995,0.1324760290079576,10.955219507217407,4,4,0.1032713936639306,0.030155951432642342
6.690391302108765,1715441554.012896,0.09337375613129598,0.08268863752895853,11.437594175338745,5,5,0.07511521757212002,0.010685118602337458
7.215937376022339,1715441554.538496,0.05843449009979892,0.05013026423783782,11.963194131851196,6,6,0.06576158109680705,0.0083042258619611
7.7817161083221436,1715441555.1045787,0.040518846416968186,0.03389909324858227,12.529276847839355,7,7,0.08153144318815392,0.006619753168385915
8.387619018554688,1715441555.7102492,0.029618523108369703,0.02156817927027189,13.134947299957275,8,8,0.06963980888449581,0.00805034383809781
9.024078607559204,1715441556.3466344,0.02004473728627858,0.013491613392220837,13.771332502365112,9,9,0.06222242447194592,0.006553123894057744
9.695866584777832,1715441557.019778,0.015738248258748436,0.009666315872273954,14.444476127624512,10,10,0.06093392972203181,0.00607193238647448
10.395364999771118,1715441557.7180066,0.011733689887808225,0.007055996189718448,15.142704725265503,11,11,0.05536725518161385,0.004677693698089777
11.0972580909729,1715441558.419833,0.009882120249444895,0.006079065807700014,15.844531059265137,12,12,0.05306502521297873,0.003803054441744881
11.800665855407715,1715441559.1232898,0.008322915261232347,0.004743212249793477,16.547987937927246,13,13,0.05256103957637583,0.0035797030114388694
12.505072593688965,1715441559.827839,0.007028178918671221,0.003923361874706502,17.25253701210022,14,14,0.051211881419442884,0.003104817043964719
13.214716911315918,1715441560.5373452,0.005956234493512711,0.0033552413635854904,17.962043285369873,15,15,0.044786221184954816,0.0026009931299272203
13.927582502365112,1715441561.2501478,0.004996123525177918,0.0028417107762754657,18.674845933914185,16,16,0.04164598846693163,0.002154412748902453
14.630457162857056,1715441561.9530635,0.0041173081931290285,0.002282429825358478,19.377761602401733,17,17,0.040200564556057056,0.00183487836777055
15.333626985549927,1715441562.656167,0.0033824738395279164,0.001813344616226742,20.080865144729614,18,18,0.03707242903400516,0.001569129223301174
16.035183906555176,1715441563.3577235,0.0028928185755407888,0.0015261523656720849,20.782421588897705,19,19,0.036144855140775756,0.0013666662098687037
16.73546814918518,1715441564.0579963,0.0026843727054976746,0.0014224377942621343,21.482694387435913,20,20,0.03609126498269869,0.0012619349112355403
17.43396306037903,1715441564.7564936,0.0024248779439133656,0.0011935657950096277,22.18119168281555,21,21,0.03644043164300097,0.0012313121489037381
18.133859634399414,1715441565.4563928,0.002139159245570027,0.0009126915697445859,22.881090879440308,22,22,0.03635361208434958,0.001226467675825441
18.836488723754883,1715441566.1590078,0.0019380360627684662,0.0007585327025428695,23.58370590209961,23,23,0.033953732575431494,0.0011795033602255967
19.536941051483154,1715441566.85947,0.0017267195335292722,0.0006803255391724779,24.284168004989624,24,24,0.03088336163513286,0.0010463939943567944
20.236758708953857,1715441567.5592852,0.001485281726273129,0.0005758206048924946,24.983983278274536,25,25,0.02951642449373971,0.0009094611213806346
20.93654203414917,1715441568.2590725,0.001269561527715455,0.0004349000766545468,25.683770656585693,26,26,0.02887372363808428,0.0008346614510609082
21.645018815994263,1715441568.9676533,0.0011917958015341566,0.00038654965385808793,26.392351388931274,27,27,0.027442119202537852,0.0008052461476760688
22.344125509262085,1715441569.666843,0.0010836590349305618,0.0003176563370791262,27.091541051864624,28,28,0.02589595496829962,0.0007660026978514355
23.04358220100403,1715441570.3661282,0.0009423786762406844,0.00023675237615431233,27.790826320648193,29,29,0.024136389914464314,0.0007056263000863721
23.745710134506226,1715441571.068233,0.000858650563763782,0.00022847032011668193,28.492931127548218,30,30,0.022874925301548495,0.0006301802436471001
24.445515394210815,1715441571.7681754,0.0008197481979147869,0.0002411973749244868,29.19287347793579,31,31,0.02163114096811764,0.0005785508229903001
25.14816975593567,1715441572.470723,0.000759138632042768,0.000262650913141117,29.895421028137207,32,32,0.021139902439972557,0.000496487718901651
25.849303245544434,1715441573.171846,0.0007132223661218451,0.0002576688594063238,30.59654402732849,33,33,0.01984456232623893,0.0004555535067155213
26.550473928451538,1715441573.8730245,0.0006621031571882938,0.00025984346195635826,31.297722578048706,34,34,0.017483288591931982,0.0004022596952319355
27.258216381072998,1715441574.5807989,0.0005914978430022065,0.00026120739720630263,32.005496978759766,35,35,0.015508669210601957,0.0003302904457959039
27.962364196777344,1715441575.284941,0.0005160455839505226,0.00024950897477081177,32.70963907241821,36,36,0.01317624938873847,0.0002665366091797108
28.665533781051636,1715441575.988124,0.0004257442226566071,0.00022722557214479745,33.412822008132935,37,37,0.011396966496785491,0.00019851865051180966
29.368693590164185,1715441576.691249,0.00036258333474941523,0.00020595322941017566,34.115947008132935,38,38,0.009689621738159647,0.00015663010533923955
30.068337202072144,1715441577.3908455,0.00028050064269041937,0.00017148989885836319,34.81554365158081,39,39,0.0076454919383699286,0.00010901074383205617
30.76658606529236,1715441578.0890992,0.00021517434798957666,0.00014859173012686294,35.51379728317261,40,40,0.006881698232983632,6.658261786271372e-05
