_runtime,loss_boundary,step,time,_step,l2_error,_timestamp,loss_interior,loss
5.099084854125977,0.7451297461785045,0,1.1798694133758545,0,0.9569867561514066,1715441365.9861658,49.44173601140737,50.18686575758588
5.467950105667114,0.4396891685744484,1,1.7965967655181885,1,1.185176462379985,1715441366.355031,29.533162991051228,29.972852159625678
6.162378549575806,1.3093322129997589,2,2.4910202026367188,2,0.4911421129886859,1715441367.0494595,4.597899094894357,5.907231307894116
6.854401350021362,0.23682987683276222,3,3.183135986328125,3,0.30706498739221955,1715441367.7414823,2.7579860790146062,2.9948159558473684
7.530265808105469,0.09636854451435845,4,3.858978033065796,4,0.120856614228866,1715441368.4173467,1.6938043429960963,1.7901728875104548
8.35528039932251,0.022575148191520525,5,4.683972120285034,5,0.10598387157751356,1715441369.2423613,0.15261949766793773,0.17519464585945826
9.11555528640747,0.016484307003856724,6,5.444255113601685,6,0.0857626624452234,1715441370.0026362,0.010348585140867636,0.02683289214472436
9.990222215652466,0.010545644472316448,7,6.318896532058716,7,0.06461627261325308,1715441370.8773031,0.0010003246608163594,0.011545969133132807
11.005939483642578,0.005979884419346863,8,7.33330512046814,8,0.04448552026164478,1715441371.8930204,0.000689018616080925,0.006668903035427788
12.030494928359985,0.002814398265549304,9,8.35921859741211,9,0.027078113021099172,1715441372.9175758,0.0005984336164488798,0.0034128318819981835
13.152387619018555,0.0010300550870194728,10,9.481092691421509,10,0.014684704783934348,1715441374.0394685,0.0003843153621418742,0.0014143704491613469
14.25723934173584,0.0003234985124126971,11,10.585923671722412,11,0.010353974560207048,1715441375.1443202,0.00032422238720678843,0.0006477208996194855
15.433272361755371,0.00017495692563981326,12,11.761981964111328,12,0.007813978025134736,1715441376.3203533,0.0002288397428776699,0.0004037966685174832
16.378822565078735,0.00010508918593553713,13,12.707528829574585,13,0.006007264369099856,1715441377.2659035,0.00017053642157052902,0.00027562560750606617
17.71089482307434,6.457461577978018e-05,14,14.039358854293823,14,0.005097972308786482,1715441378.5979757,0.00014492903660594985,0.00020950365238573
18.974932193756104,4.467980675283274e-05,15,15.30358099937439,15,0.0048760650853945705,1715441379.862013,2.9272501701234237e-05,7.395230845406698e-05
20.785645008087158,3.704352878924279e-05,16,17.11435580253601,16,0.004766501866090061,1715441381.672726,1.556388702708827e-05,5.260741581633106e-05
22.59803605079651,3.416516633336513e-05,17,18.926738500595093,17,0.004657682899896559,1715441383.485117,9.48984659799537e-06,4.36550129313605e-05
24.645697593688965,3.152982631829122e-05,18,20.974403381347656,18,0.00446663843965928,1715441385.5327785,7.353953280795522e-06,3.8883779599086743e-05
26.43550705909729,2.88104915895686e-05,19,22.764227628707886,19,0.0042806350770065215,1715441387.322588,6.738146971991041e-06,3.554863856155964e-05
27.16352915763855,2.6649478962277386e-05,20,23.49225664138794,20,0.004122782693444229,1715441388.05061,6.5032488929395575e-06,3.3152727855216945e-05
29.282109022140503,2.470996474010342e-05,21,25.610856294631958,21,0.003975209113547773,1715441390.16919,6.082168089840493e-06,3.0792132829943916e-05
30.016162872314453,2.2961768773866577e-05,22,26.344887495040894,22,0.0038827344144535024,1715441390.9032438,5.493409358730117e-06,2.8455178132596694e-05
30.765236377716064,2.1726006639317183e-05,23,27.093958377838135,23,0.0037927648201598538,1715441391.6523173,5.509809085293683e-06,2.7235815724610868e-05
31.73298478126526,2.058943557374927e-05,24,28.061692476272583,24,0.003690901683985187,1715441392.6200657,5.356341462006345e-06,2.5945777035755614e-05
32.396485328674316,1.9298068493711446e-05,25,28.725223302841187,25,0.00359276702929644,1715441393.2835662,5.424202715812918e-06,2.4722271209524363e-05
35.37650656700134,1.8118184634640054e-05,26,31.705124378204346,26,0.003481352081235039,1715441396.2635875,5.259872952742438e-06,2.3378057587382493e-05
36.07301211357117,1.6783063962373977e-05,27,32.40174221992493,27,0.0034029636697372814,1715441396.960093,5.379053939125403e-06,2.216211790149938e-05
37.06294775009155,1.594331270231158e-05,28,33.3916277885437,28,0.0033123313566486056,1715441397.9500287,5.338577873855987e-06,2.128189057616757e-05
37.749722957611084,1.4989062785953833e-05,29,34.07839298248291,29,0.003220911486379272,1715441398.6368039,5.4477530890379845e-06,2.043681587499182e-05
39.02321243286133,1.4110573277770792e-05,30,35.351582288742065,30,0.0031341942345823126,1715441399.9102933,5.412267179113996e-06,1.9522840456884786e-05
39.73885750770569,1.331039752177451e-05,31,36.06752943992615,31,0.003029797387031342,1715441400.6259384,5.248501819069038e-06,1.8558899340843547e-05
40.68339490890503,1.23955125209247e-05,32,37.01211667060852,32,0.0029337293252268315,1715441401.5704758,5.254562519687504e-06,1.7650075040612205e-05
45.559162855148315,1.1567148223274598e-05,33,41.88775181770325,33,0.0028630178768464876,1715441406.4462438,5.088249234096513e-06,1.665539745737111e-05
46.528523206710815,1.0962046681492857e-05,34,42.8572633266449,34,0.00278191995465447,1715441407.415604,5.055544425188469e-06,1.6017591106681326e-05
47.45392322540283,1.0277908164460124e-05,35,43.78263759613037,35,0.0027042836845364323,1715441408.3410041,5.123664670528464e-06,1.5401572834988588e-05
48.783957719802856,9.654164716938175e-06,36,45.11263990402222,36,0.0026278221119781548,1715441409.6710386,5.141784445940248e-06,1.4795949162878423e-05
49.73367738723755,9.08345864305391e-06,37,46.062387228012085,37,0.0025405344365433055,1715441410.6207583,5.09358507087368e-06,1.417704371392759e-05
50.64774012565613,8.438371113116094e-06,38,46.976412773132324,38,0.002455189106880154,1715441411.534821,5.152940900496832e-06,1.3591312013612927e-05
