time,_runtime,step,l2_error,_timestamp,loss_interior,_step,loss_boundary,loss
0.9780216217041016,5.140386581420898,0,0.3815976917275301,1715517308.0289917,49.66975347057391,0,0.004055179010242898,49.67380864958415
1.269266128540039,5.168869495391846,1,0.29136735476437187,1715517308.0574746,48.32842856922587,1,0.013834784703006824,48.34226335392888
1.2939329147338867,5.193730354309082,2,0.39130248499125386,1715517308.0823355,47.0028831421548,2,0.08533643590983972,47.08821957806464
1.315816879272461,5.217737436294556,3,0.599016169621359,1715517308.1063426,45.605845992687215,3,0.22163598384547833,45.827481976532695
1.339313268661499,5.241855621337891,4,0.839209571076759,1715517308.1304607,44.07127568258273,4,0.42690883446009104,44.49818451704282
1.3672399520874023,5.266542196273804,5,1.084534409293964,1715517308.1551473,42.33280483477217,5,0.7002625272011956,43.033067361973366
1.3895504474639893,5.289127826690674,6,1.3194968621675445,1715517308.177733,40.32382437508484,6,1.031747213519742,41.35557158860458
1.4147546291351318,5.310391664505005,7,1.5321404177221296,1715517308.1989968,37.97193740002408,7,1.4006939029819998,39.37263130300608
1.4354329109191895,5.332412958145142,8,1.7131996353800416,1715517308.221018,35.19490835687807,8,1.7780205150817017,36.972928871959766
1.453061580657959,5.352845668792725,9,1.8554657001770973,1715517308.2414508,31.909744291167485,9,2.13192992047568,34.04167421164316
1.4728283882141113,5.372793436050415,10,1.952943595904557,1715517308.2613986,28.057878979946018,10,2.43328821827366,30.491167198219678
1.4927232265472412,5.394215822219849,11,2.0018886922021277,1715517308.282821,23.647839242854,11,2.6603549079240083,26.30819415077801
1.515122652053833,5.41429328918457,12,2.006240504543402,1715517308.3028984,18.855107166202206,12,2.807338043018354,21.66244520922056
1.5346481800079346,5.433985710144043,13,1.9943413975712756,1715517308.3225908,14.33159914316749,13,2.899659337435835,17.231258480603323
1.5540087223052979,5.453654050827026,14,2.0574882810400936,1715517308.3422592,11.859003565278215,14,3.0183149292428526,14.877318494521067
1.5793874263763428,5.47556471824646,15,2.1946192033690837,1715517308.3641698,13.405577885746709,15,3.3293441513466475,16.734922037093355
1.598376989364624,5.4958038330078125,16,2.269679204815871,1715517308.384409,15.191610875628827,16,3.7186972112210035,18.91030808684983
1.618128776550293,5.516119956970215,17,2.2678744861540423,1715517308.404725,13.857239338399777,17,3.854774093948012,17.71201343234779
1.6374237537384033,5.535823106765747,18,2.193175888218168,1715517308.4244282,11.020518488730866,18,3.7536967305658027,14.77421521929667
1.6570744514465332,5.555477619171143,19,2.064397083244967,1715517308.4440827,8.612673637985935,19,3.4751751533137147,12.087848791299649
1.6770548820495605,5.57533073425293,20,1.91806756059601,1715517308.4639359,7.32736897876279,20,3.0946842225343545,10.422053201297144
1.6966240406036377,5.595065593719482,21,1.7945750393666482,1715517308.4836707,6.970819921169181,21,2.707367663444067,9.678187584613248
1.7166800498962402,5.614819049835205,22,1.718523724404161,1715517308.5034242,6.968102413955746,22,2.3957356653682615,9.363838079324008
1.7363393306732178,5.634690046310425,23,1.6917077919175236,1715517308.5232952,6.848786564490257,23,2.19593940755451,9.044725972044766
1.7569308280944824,5.654729127883911,24,1.699342454064787,1715517308.5433342,6.516039205134505,24,2.098551169315668,8.614590374450174
1.7756192684173584,5.674340724945068,25,1.7178842896901607,1715517308.5629458,6.16346820074032,25,2.0689334933113908,8.232401694051712
1.7967298030853271,5.6942291259765625,26,1.7229983825962631,1715517308.5828342,6.016711644372361,26,2.0613783673990715,8.078090011771433
1.8161969184875488,5.714369297027588,27,1.7003036214705187,1715517308.6029744,6.073181760470812,27,2.031243394647141,8.104425155117953
1.8367116451263428,5.7345006465911865,28,1.6510508293393331,1715517308.6231058,6.093005811795934,28,1.955094854945425,8.048100666741359
1.8561327457427979,5.754297971725464,29,1.5881472896676068,1715517308.642903,5.938672156602317,29,1.841502000325783,7.7801741569281
1.8759307861328125,5.774093866348267,30,1.5289461307886576,1715517308.662699,5.707858612254493,30,1.7190880386752612,7.426946650929755
1.8963351249694824,5.793981313705444,31,1.4852156229204494,1715517308.6825864,5.486627864971555,31,1.6173507552160653,7.10397862018762
1.9154937267303467,5.813826560974121,32,1.4565405794918238,1715517308.7024317,5.237349842871405,32,1.5499139353544977,6.787263778225903
1.9359643459320068,5.833831548690796,33,1.4328086867698202,1715517308.7224367,4.97815023568441,33,1.5108528199517643,6.489003055636174
1.9554476737976074,5.853705883026123,34,1.4022054378632993,1715517308.742311,4.799599210309603,34,1.4828189465613963,6.282418156871
1.976534366607666,5.873653888702393,35,1.3608751616290213,1715517308.762259,4.689297827981489,35,1.4479782623303667,6.137276090311856
1.996427297592163,5.893643140792847,36,1.3163519430452941,1715517308.7822483,4.569655532178017,36,1.4004028748439585,5.970058407021976
2.016582489013672,5.913649320602417,37,1.2816889553140336,1715517308.8022544,4.434402604194562,37,1.3499742607301632,5.784376864924726
2.033557653427124,5.933488845825195,38,1.2660956910264922,1715517308.822094,4.296231056253512,38,1.31313073529075,5.609361791544262
2.053331136703491,5.953299522399902,39,1.269127009203406,1715517308.8419046,4.127238719544222,39,1.3005198127470512,5.427758532291273
2.0795180797576904,5.975066661834717,40,1.2812772393373197,1715517308.8636718,3.927366349137096,40,1.310447955319091,5.237814304456187
2.10868239402771,6.008010149002075,42,1.2797351982347145,1715517308.8966153,3.662811429093525,41,1.3383966305426378,5.001208059636163
2.168431043624878,6.066003084182739,46,1.1072714273443953,1715517308.9546082,3.3873997327869336,42,1.1047517187896327,4.492151451576566
