step,loss_boundary,_step,l2_error,_timestamp,loss_interior,loss,time,_runtime
0,0.004055179010242898,0,0.580755049787879,1715520929.0548992,49.66975347057391,49.67380864958415,1.518589973449707,5.473740100860596
1,0.004054560070398593,1,2.02953402413066,1715520929.2584333,49.669705624730085,49.673760184800486,1.9819846153259277,5.677274227142334
2,2.910046979623859,2,2.1770600837834793,1715520929.456725,49.025182148269735,51.93522912789359,2.180485486984253,5.875565767288208
3,3.419084158649649,3,0.8679764009742144,1715520929.6594672,67.26321312298366,70.68229728163331,2.3832790851593018,6.07830810546875
4,0.13319382236807742,4,2.5827740884901043,1715520929.863864,47.2605216483287,47.393715470696776,2.58762264251709,6.282704830169678
5,4.956120787028897,5,1.6784515736583305,1715520930.067508,83.0740311958478,88.03015198287669,2.791084051132202,6.486348867416382
6,1.8569676499735426,6,0.7435127964664808,1715520930.2725859,25.767293692203822,27.624261342177363,2.9963905811309814,6.691426753997803
7,0.5200686810827033,7,0.5781661750448766,1715520930.479949,12.318597853621098,12.838666534703801,3.2020649909973145,6.898789882659912
8,0.3105582724948101,8,0.9422417360253409,1715520930.6873019,10.975264506464308,11.285822778959117,3.411079168319702,7.10614275932312
9,0.4797293254011791,9,0.6397049406053648,1715520930.8965018,8.102566342836438,8.582295668237617,3.617713212966919,7.315342664718628
10,0.2839614690977843,10,0.2574382167955774,1715520931.103138,7.156497645725596,7.440459114823381,3.8269660472869873,7.521978855133057
11,0.06609866156265376,11,0.4625892783393753,1715520931.3161435,5.959905638020006,6.0260042995826595,4.035682678222656,7.734984397888184
12,0.12924285558505572,12,0.18824805410197523,1715520931.5238154,3.4578034759226473,3.587046331507703,4.247552871704102,7.9426562786102295
13,0.05291806869564798,13,0.21262072599901088,1715520931.7329903,2.462567970318952,2.5154860390145997,4.456735372543335,8.151831150054932
14,0.06859023134195974,14,0.19374661754336905,1715520931.9405482,1.7905957560208616,1.8591859873628214,4.6642231941223145,8.359389066696167
15,0.06188890995394833,15,0.23617328464381743,1715520932.1497297,1.0429771479808725,1.1048660579348208,4.8735151290893555,8.568570613861084
16,0.07732253421061601,16,0.2388621591168539,1715520932.3615377,0.7187748330515268,0.7960973672621428,5.085149526596069,8.780378580093384
17,0.08016369160815412,17,0.21449809519821028,1715520932.567839,0.634879516307904,0.715043207916058,5.291691064834595,8.986679792404175
18,0.06604964050779386,18,0.22524611800360184,1715520932.7786844,0.5281123508055464,0.5941619913133402,5.502078533172607,9.197525262832642
19,0.06501441725932758,19,0.2568821845254517,1715520932.9941912,0.47384131377664135,0.538855731035969,5.717714071273804,9.413032054901123
20,0.05600914508426089,20,0.25092644825859584,1715520933.2018387,0.38238269533168995,0.43839184041595086,5.925598621368408,9.6206796169281
21,0.041978857254074256,21,0.21459068753824684,1715520933.4118733,0.32329148569213406,0.3652703429462083,6.13553261756897,9.830714225769043
22,0.030843010452497273,22,0.17155596911975693,1715520933.6232123,0.2596862368477786,0.29052924730027585,6.346260070800781,10.04205322265625
