step,loss_boundary,_step,l2_error,_timestamp,loss_interior,loss,time,_runtime
89,0.0005855776328700717,49,0.02574696362575803,1715520947.372704,0.0006315577348199403,0.001217135367690012,20.09644842147827,23.791544914245605
98,0.00033881473847372575,50,0.017911904784903027,1715520949.201982,0.00039631388504241536,0.0007351286235161411,21.925584316253662,25.62082290649414
107,0.00016297574228797945,51,0.010365543504346274,1715520951.0244248,0.00020655195844026644,0.00036952770072824586,23.747917652130127,27.443265676498413
118,6.919877190242438e-05,52,0.009254773498484121,1715520953.2492044,9.498295507740828e-05,0.00016418172697983268,25.972719192504883,29.66804528236389
130,2.281767680523845e-05,53,0.0050071942908145135,1715520955.696008,4.133220285616679e-05,6.414987966140524e-05,28.419052600860596,32.11484885215759
143,8.082660482898739e-06,54,0.0025624528210965334,1715520958.3209288,1.9699647919862485e-05,2.7782308402761224e-05,31.04479169845581,34.73976969718933
157,4.320009514597185e-06,55,0.0016395016861536966,1715520961.160692,8.116776751519226e-06,1.2436786266116411e-05,33.88384008407593,37.579532861709595
172,2.8589607560183315e-06,56,0.0012496755175060137,1715520964.1936069,3.549185638414631e-06,6.408146394432963e-06,36.917332887649536,40.61244773864746
190,1.451557996488417e-06,57,0.0009035126558391124,1715520967.8472886,2.388881384102999e-06,3.840439380591416e-06,40.57035779953003,44.26612949371338
208,7.380362932847917e-07,58,0.000689445924227374,1715520971.4799774,1.618849031271807e-06,2.356885324556599e-06,44.203831911087036,47.898818254470825
229,2.91029090905241e-07,59,0.0004351820867425456,1715520975.7295926,1.113646761087999e-06,1.40467585199324e-06,48.45291829109192,52.148433446884155
252,1.1626346885376358e-07,60,0.00031516582331537926,1715520980.3792963,7.009499532123938e-07,8.172134220661574e-07,53.1030478477478,56.798137187957764
277,5.452295338198925e-08,61,0.0002064866673295186,1715520985.431652,3.6991645447879487e-07,4.2443940786078413e-07,58.15488600730896,61.85049295425415
305,3.138619718929279e-08,62,0.00017645784780360868,1715520991.089236,1.6932148650613567e-07,2.0070768369542846e-07,63.81296968460083,67.50807690620422
335,1.570364796961928e-08,63,0.00014362270991888509,1715520997.1430316,6.587071492483933e-08,8.157436289445862e-08,69.86646819114685,73.5618724822998
369,9.481146711230561e-09,64,0.00010993359500111715,1715521003.9664764,2.5998420469011084e-08,3.5479567180241645e-08,76.69035410881042,80.38531732559204
406,5.862287385737979e-09,65,8.833522724577886e-05,1715521011.0622725,1.1398425755045573e-08,1.7260713140783552e-08,83.78631949424744,87.48111343383789
446,4.067134784561158e-09,66,7.507264152317643e-05,1715521018.7297177,7.66487945758112e-09,1.1732014242142278e-08,91.45352005958557,95.14855861663818
491,3.88190592552754e-09,67,7.409243792285866e-05,1715521027.326665,7.198634181775639e-09,1.108054010730318e-08,100.05076789855957,103.74550580978394
540,3.872578723371768e-09,68,7.433165550426856e-05,1715521036.6838357,7.171450056692671e-09,1.104402878006444e-08,109.40767288208008,113.10267663002014
594,3.870450700664697e-09,69,7.436966129413427e-05,1715521046.9654098,7.170984917775659e-09,1.1041435618440357e-08,119.68916726112366,123.38425064086914
653,3.869864844335312e-09,70,7.437795341206553e-05,1715521058.1370888,7.1713312708931974e-09,1.1041196115228508e-08,130.86116790771484,134.55592966079712
718,3.869606688492227e-09,71,7.43813454527094e-05,1715521070.4127533,7.171486540548391e-09,1.1041093229040618e-08,143.1365146636963,146.8315942287445
790,3.869329072400345e-09,72,7.438477994034721e-05,1715521083.9618933,7.171644820622838e-09,1.1040973893023184e-08,156.6859529018402,160.38073420524597
869,3.868959289186619e-09,73,7.43889889927945e-05,1715521098.790179,7.17182807811653e-09,1.104078736730315e-08,171.5140872001648,175.2090198993683
956,3.868385970692979e-09,74,7.439484514348533e-05,1715521115.1228397,7.1720178157374705e-09,1.104040378643045e-08,187.8465096950531,191.54168057441711
1052,3.867477761149799e-09,75,7.440449531908834e-05,1715521133.1518977,7.172138622776828e-09,1.1039616383926627e-08,205.87598943710327,209.57073855400085
1157,3.866833947036122e-09,76,7.441548397081042e-05,1715521152.8686607,7.172386273943655e-09,1.1039220220979776e-08,225.59242224693298,229.28750157356262
1272,3.866683684148534e-09,77,7.441922138955162e-05,1715521174.4423547,7.172505726855493e-09,1.1039189411004026e-08,247.16638731956482,250.86119556427002
1400,3.866554090935215e-09,78,7.442299481573448e-05,1715521198.432639,7.1726092119748094e-09,1.1039163302910024e-08,271.15657114982605,274.85147976875305
1539,3.866350386440972e-09,79,7.44298085393974e-05,1715521224.5984192,7.172761193920357e-09,1.1039111580361329e-08,297.32210206985474,301.0172600746155
1693,3.865705136874272e-09,80,7.443491263224906e-05,1715521253.5735874,7.173000074666501e-09,1.1038705211540773e-08,326.28955817222595,329.9924283027649
1863,3.863517513217409e-09,81,7.410799820880481e-05,1715521285.5522714,7.173677857205695e-09,1.1037195370423104e-08,358.2760262489319,361.97111225128174
2049,3.863170196880752e-09,82,7.403000131860149e-05,1715521320.4473321,7.1739312862679604e-09,1.1037101483148712e-08,393.1711037158966,396.8661730289459
2254,3.862815126891544e-09,83,7.394217590088428e-05,1715521358.888699,7.174192058479181e-09,1.1037007185370726e-08,431.6125257015228,435.30753993988037
2479,3.862634557778428e-09,84,7.38925600010452e-05,1715521401.0557544,7.174332280026773e-09,1.1036966837805202e-08,473.7796003818512,477.47459530830383
2727,3.86247694323751e-09,85,7.38452893597779e-05,1715521447.5260036,7.17444680631269e-09,1.1036923749550199e-08,520.2497596740723,523.9448444843292
3000,3.862340898542415e-09,86,7.380043957926847e-05,1715521498.71449,7.174534994977843e-09,1.1036875893520257e-08,571.4383189678192,575.133330821991
3299,3.8622044198897364e-09,87,7.375156092801791e-05,1715521556.7329943,7.174616817378187e-09,1.1036821237267923e-08,629.456814289093,633.1518352031708
3629,3.861986873691515e-09,88,7.366969077446751e-05,1715521618.6661453,7.174760058735304e-09,1.1036746932426819e-08,691.3899557590485,695.0849862098694
3992,3.861394138710425e-09,89,7.341508858735344e-05,1715521686.7447221,7.175228038705407e-09,1.1036622177415832e-08,759.468456029892,763.1635630130768
4391,3.860883162549522e-09,90,7.306134242176779e-05,1715521761.5407658,7.175653649879182e-09,1.1036536812428702e-08,834.2646608352661,837.9596066474915
4831,3.860815846368806e-09,91,7.259927535556548e-05,1715521844.0327983,7.1756368086229485e-09,1.1036452654991754e-08,916.7566833496094,920.451639175415
5276,3.8616171549726125e-09,92,7.20647368213143e-05,1715521927.4560087,7.1747474353954905e-09,1.1036364590368103e-08,1000.1798148155212,1003.8748495578766
