step,time,l2_error,loss,_runtime,_timestamp,loss_interior,_step,loss_boundary
0,1.08646559715271,0.5375202797371456,49.67380864958415,5.4223222732543945,1715435604.5660262,49.66975347057391,0,0.004055179010242898
1,1.3800387382507324,0.46154074948003926,49.37591140033725,5.450181484222412,1715435604.5938854,49.3749458300227,1,0.0009655703145516639
2,1.4045007228851318,0.36941048777391144,48.83219974535158,5.475448131561279,1715435604.619152,48.83036398658927,2,0.0018357587623119842
3,1.4290337562561035,0.29741139601195626,48.087068170718766,5.500316381454468,1715435604.6440203,48.06970613383526,3,0.017362036883507095
4,1.4540460109710693,0.3314514108698778,47.14838700925009,5.52482795715332,1715435604.668532,47.08655173764448,4,0.061835271605606486
5,1.477534294128418,0.5290922917287226,45.96995418987894,5.548882722854614,1715435604.6925867,45.81087184098592,5,0.15908234889302375
6,1.5052905082702637,0.8720900164700791,44.45035401500713,5.5753374099731445,1715435604.7190413,44.09457352536968,6,0.35578048963744857
7,1.5277254581451416,1.3550004226808283,42.444883528354964,5.597024202346802,1715435604.7407281,41.70360411915896,7,0.7412794091960071
8,1.5495250225067139,1.962726501490874,39.76444234450779,5.617815017700195,1715435604.761519,38.303113750454585,8,1.4613285940532075
9,1.5703179836273193,2.611904279415311,36.08136747092784,5.6385884284973145,1715435604.7822924,33.40565130975426,9,2.6757161611735776
10,1.5921218395233154,3.061992486002239,30.688850350003467,5.659593820571899,1715435604.8032978,26.34166292833745,10,4.3471874216660185
11,1.6102514266967773,2.8107296559451873,22.613370667098962,5.680736541748047,1715435604.8244405,16.86102863762573,11,5.752342029473233
12,1.6323130130767822,2.360524051608682,14.721281559591322,5.7006120681762695,1715435604.844316,9.352271868771892,12,5.369009690819429
13,1.6524548530578613,2.6929575374378802,25.96153690578358,5.720680236816406,1715435604.8643842,21.204028132295537,13,4.757508773488042
14,1.6721060276031494,1.6593209736722967,19.714321894492077,5.740663766860962,1715435604.8843677,14.639608377339094,14,5.074713517152984
15,1.6920974254608154,0.9485202304483784,13.228376772511995,5.76094126701355,1715435604.9046452,11.016704570916652,15,2.2116722015953436
16,1.715001106262207,0.7763521889189132,14.222254834299225,5.782232999801636,1715435604.925937,13.333588180679923,16,0.8886666536193006
17,1.7343385219573975,0.8772820556612866,12.441886449314193,5.80280613899231,1715435604.94651,11.812604139468984,17,0.6292823098452093
18,1.7541968822479248,0.8781286377788304,12.182686074512391,5.823165416717529,1715435604.9668694,11.41612480941666,18,0.7665612650957311
19,1.7758872509002686,0.9149711953130818,10.136026698960112,5.843994140625,1715435604.987698,9.403901850220427,19,0.7321248487396855
20,1.7964065074920654,0.9964191508228367,10.118021877953016,5.864792585372925,1715435605.0084965,9.528545115474259,20,0.5894767624787578
21,1.8162312507629395,1.3090006358733681,6.299882840943908,5.884810209274292,1715435605.0285141,5.431256267158824,21,0.8686265737850831
22,1.837017297744751,1.3154642313108573,9.586642650102183,5.90534234046936,1715435605.0490463,8.18565734580438,22,1.4009853042978027
23,1.857314109802246,1.0281040925516147,7.470536938959568,5.925764799118042,1715435605.0694687,6.242777227498896,23,1.2277597114606715
24,1.8775713443756104,0.7831002753556743,5.88508918441954,5.946392774581909,1715435605.0900967,5.1750370804283445,24,0.7100521039911949
25,1.8987464904785156,0.7070056309284573,6.953080839184993,5.967374324798584,1715435605.1110783,6.509044148464638,25,0.4440366907203553
26,1.920400619506836,0.7980244772022422,6.106882332779717,5.989012241363525,1715435605.1327162,5.68291186308249,26,0.4239704696972274
27,1.9416189193725586,0.8566649097360508,4.536419503827405,6.009772777557373,1715435605.1534767,3.9604325973847816,27,0.5759869064426234
28,1.9636270999908447,0.7660499197988836,5.40593967158464,6.0307769775390625,1715435605.174481,4.730707325839021,28,0.6752323457456191
29,1.9845504760742188,0.5686606791343581,3.840543010239504,6.051473379135132,1715435605.1951773,3.3167863960044874,29,0.5237566142350166
30,2.0037310123443604,0.4980889009800077,3.654284488627517,6.071902275085449,1715435605.2156062,3.3408640206664506,30,0.3134204679610665
31,2.029888391494751,0.4976693593183865,3.9732959409799515,6.096536874771118,1715435605.2402408,3.72388888828725,31,0.24940705269270128
32,2.0493218898773193,0.4171085794747508,3.0462429801485733,6.117654323577881,1715435605.2613583,2.806843512390199,32,0.2393994677583743
33,2.06925106048584,0.4755035470260132,2.4327825949352877,6.137747049331665,1715435605.281451,2.2551543083799475,33,0.17762828655534021
34,2.089810371398926,0.2929861489462332,3.148733970545662,6.162405252456665,1715435605.3061092,2.9863884846734785,34,0.16234548587218373
35,2.1172218322753906,0.18283016204636945,2.0272918361489625,6.183800458908081,1715435605.3275044,1.9407773353287632,35,0.0865145008201994
36,2.134197235107422,0.22818992463267904,2.5981845583009537,6.203606367111206,1715435605.3473103,2.553594596874434,36,0.04458996142651992
37,2.153592109680176,0.09583729113423176,2.3201976589181865,6.223507881164551,1715435605.3672118,2.2759743462424162,37,0.04422331267577041
38,2.1745169162750244,0.18004097958076196,1.8106619463222509,6.243643522262573,1715435605.3873475,1.7891305608741637,38,0.021531385448087133
39,2.1942083835601807,0.28580044154309514,1.5372195911020439,6.2636260986328125,1715435605.40733,1.500464232379817,39,0.036755358722227
40,2.2142040729522705,0.28389783409942476,1.9649701285428773,6.283645391464233,1715435605.4273493,1.8688674167994148,40,0.09610271174346255
42,2.2461304664611816,0.2975368066824914,1.1580753576761047,6.31601881980896,1715435605.4597228,1.0733174945729649,41,0.0847578631031398
46,2.3038384914398193,0.24324629022650995,0.8024597953982521,6.373850345611572,1715435605.5175543,0.7117048827375118,42,0.09075491266074034
