_step,_timestamp,step,time,loss_interior,loss_boundary,l2_error,loss,_runtime
23,1715516163.6194305,23,10.559606790542603,8.472711647291663e-06,3.9300639991972225e-06,0.0017532088429969032,1.2402775646488885e-05,14.444099426269531
24,1715516164.0422587,24,10.98242735862732,8.436347162753357e-06,3.5605207063669834e-06,0.0011329534008753125,1.1996867869120341e-05,14.86692762374878
25,1715516164.461247,25,11.401426076889038,7.2301648059032395e-06,1.6088766935747015e-06,0.0011559536270845329,8.839041499477941e-06,15.285915851593018
26,1715516164.8810558,26,11.821230173110962,6.980055151820173e-06,1.6177382992826838e-06,0.0011198621011297035,8.597793451102856e-06,15.705724716186523
27,1715516165.3019102,27,12.242090463638306,6.416621753535795e-06,1.6398647844735942e-06,0.0012712255810760165,8.05648653800939e-06,16.12657904624939
28,1715516165.721893,28,12.662054777145386,4.917199243602239e-06,1.8052846636883947e-06,0.0011455645364355778,6.722483907290634e-06,16.54656195640564
29,1715516166.1430407,29,13.08321499824524,4.635527321862669e-06,1.6379779462725823e-06,0.00105458996237319,6.273505268135252e-06,16.9677095413208
30,1715516166.5601032,30,13.50028920173645,4.3629897393090185e-06,1.570559532091314e-06,0.0011068706191708847,5.933549271400333e-06,17.384772062301636
31,1715516166.9813774,31,13.921534061431885,4.148919882990737e-06,1.6738332956619642e-06,0.0010606317883074948,5.822753178652701e-06,17.8060462474823
32,1715516167.3991084,32,14.339303493499756,2.96405999011217e-06,1.6881220153614399e-06,0.0010103882410913301,4.65218200547361e-06,18.223777294158936
33,1715516167.8190572,33,14.759212255477905,2.7368916766306845e-06,1.4268960417522461e-06,0.0010123632813702032,4.1637877183829304e-06,18.643726110458374
34,1715516168.2457457,34,15.18589162826538,2.7358885281123016e-06,1.3613781078941342e-06,0.00100869127518684,4.097266636006436e-06,19.070414543151855
35,1715516168.6653953,35,15.605574131011963,2.464732039681628e-06,1.3329723460420305e-06,0.001049449434972675,3.7977043857236586e-06,19.49006414413452
36,1715516169.0865145,36,16.026700496673584,2.213168152634726e-06,1.1679821204119746e-06,0.0010690562799830832,3.3811502730467006e-06,19.91118335723877
37,1715516169.5087543,37,16.44888210296631,1.9333365615404783e-06,1.2583991479908465e-06,0.0010232648245061234,3.191735709531325e-06,20.333423137664795
38,1715516169.9325495,38,16.87269353866577,1.8562882677262548e-06,1.1590353601550572e-06,0.0010761882478074016,3.015323627881312e-06,20.75721836090088
39,1715516170.352105,39,17.29229235649109,1.545401050622322e-06,1.1869712813250753e-06,0.0010145188277336941,2.732372331947397e-06,21.1767737865448
40,1715516170.6755655,40,17.615787267684937,1.5160844116729188e-06,1.162106017837326e-06,0.0010304446055987588,2.678190429510245e-06,21.500234365463257
41,1715516170.7385495,42,17.678733825683594,1.5015936457119364e-06,1.1548101615628232e-06,0.0010362009615345546,2.6564038072747593e-06,21.563218355178833
42,1715516170.8659136,46,17.80612277984619,1.4965190974011481e-06,1.15733209821471e-06,0.0010436720185049582,2.6538511956158584e-06,21.690582513809204
43,1715516171.7739556,50,18.714142084121704,1.4928921262344136e-06,1.0961262132731758e-06,0.0008331253573502756,2.5890183395075894e-06,22.59862446784973
44,1715516173.8695743,55,20.80971908569336,1.5045289576900175e-06,3.5681309112836283e-07,0.0005648500478030418,1.8613420488183803e-06,24.69424319267273
45,1715516174.051113,61,20.991286754608154,1.44921267817882e-06,3.7859801086125034e-07,0.0005638108239499811,1.8278106890400704e-06,24.875781774520874
46,1715516174.2311046,67,21.171324968338013,1.4472582829577096e-06,3.7671103983081354e-07,0.0005608723456690955,1.8239693227885232e-06,25.055773496627808
47,1715516176.3531382,73,23.293306827545166,1.1314583877284674e-06,3.8645932782562623e-07,0.0005877244978745378,1.5179177155540937e-06,27.177807092666626
