_step,l2_error,_runtime,loss_boundary,time,loss,_timestamp,step,loss_interior
36,0.000130578578518158,43.796711921691895,3.4211728785569724e-08,40.10957312583923,2.6540097541310265e-07,1715517431.297222,36,2.3118924662753295e-07
37,0.0001243949538895668,44.83814716339111,2.4807463838710766e-08,41.15101170539856,2.2328087585901682e-07,1715517432.3386571,37,1.9847341202030605e-07
38,0.00012884956698587202,45.6117479801178,2.5671101356458792e-08,41.924471616744995,1.9401555217846537e-07,1715517433.112258,38,1.6834445082200657e-07
39,0.00015327406549049002,46.28291940689087,2.8411027627175425e-08,42.595776319503784,1.694585758328566e-07,1715517433.7834294,39,1.4104754820568118e-07
40,0.00015756864501758114,48.10043668746948,3.7550283445213987e-08,44.41308283805847,1.7367521535402632e-07,1715517435.6009467,40,1.3612493190881235e-07
41,0.00014081969760370257,50.36929678916931,3.835989488665565e-08,46.68206477165222,1.4060643985274636e-07,1715517437.8698068,42,1.022465449660907e-07
42,0.0001380294454105663,53.918298959732056,3.4464060778089616e-08,50.23115539550781,1.1052502587125425e-07,1715517441.418809,46,7.606096509316464e-08
43,0.00010073060581759945,60.38158631324768,1.7118263824955278e-08,56.69436311721802,4.311875033219143e-08,1715517447.8820963,50,2.600048650723615e-08
44,6.633849895354898e-05,69.74857974052429,5.129837506685765e-09,66.06109094619751,1.0447997727820367e-08,1715517457.2490897,55,5.318160221134603e-09
45,5.9493316458909365e-05,74.71611261367798,4.375005695887256e-09,71.02893114089966,9.722766149540138e-09,1715517462.2166226,61,5.3477604536528816e-09
46,5.139902473086158e-05,78.51399660110474,3.577754426067105e-09,74.82679438591003,8.923781162766064e-09,1715517466.0145066,67,5.346026736698959e-09
47,4.2121143791054617e-05,82.18199682235718,2.7706777222264765e-09,78.49402260780334,7.989757625856044e-09,1715517469.6825068,73,5.219079903629568e-09
48,3.090719387985494e-05,86.84452795982361,1.7831226123194574e-09,83.15725517272949,6.6607024102665186e-09,1715517474.345038,81,4.877579797947061e-09
49,2.737558954700522e-05,92.33721399307251,1.2802482058275567e-09,88.65003323554993,5.40954853796024e-09,1715517479.837724,89,4.129300332132684e-09
50,3.507595081221952e-05,99.60027265548706,1.4607586583529129e-09,95.91300082206726,4.0997102447157525e-09,1715517487.1007826,98,2.63895158636284e-09
51,3.4498912473281417e-05,108.99348640441895,1.6486778888809723e-09,105.30611228942871,3.086982445732874e-09,1715517496.4939964,107,1.4383045568519017e-09
52,1.975623951713671e-05,123.10965895652771,9.955332618675757e-10,119.42218089103699,1.998719857198012e-09,1715517510.610169,118,1.0031865953304363e-09
53,1.7486362401410454e-05,139.66148805618286,7.549875496753657e-10,135.97423100471497,1.4970560321490091e-09,1715517527.161998,130,7.420684824736435e-10
54,1.4446077471961135e-05,149.45869612693787,3.473879454711791e-10,145.77112007141113,9.42258797936534e-10,1715517536.959206,143,5.948708524653547e-10
55,2.4035071226032907e-05,171.7705934047699,4.5879325036114217e-10,168.08315682411194,7.336225994733951e-10,1715517559.2711034,157,2.74829349112253e-10
56,1.6781209883853794e-05,187.20227098464966,2.006791063057137e-10,183.51503229141235,3.854990291646907e-10,1715517574.702781,172,1.8481992285897703e-10
57,1.3734884400768237e-05,214.59669303894043,1.3353370692997917e-10,210.9092493057251,2.4076027127050027e-10,1715517602.097203,190,1.0722656434052108e-10
58,9.050637515841117e-06,244.2056450843811,6.799632028897023e-11,240.51817774772644,1.3653039694996871e-10,1715517631.706155,208,6.853407666099849e-11
59,5.952186432775272e-06,280.7284598350525,3.833584986110838e-11,277.04095554351807,8.621930331780993e-11,1715517668.2289698,229,4.788345345670155e-11
60,3.3419575746977955e-06,340.06970977783203,1.6360650724006203e-11,336.3822441101074,4.8574197509453256e-11,1715517727.5702198,252,3.221354678544705e-11
61,1.2755958568656693e-06,406.33172082901,2.846007334537292e-12,402.64425468444824,2.2322140195193003e-11,1715517793.8322308,277,1.947613286065571e-11
62,1.032358453569775e-06,469.971727848053,1.806679056728986e-12,466.2842803001404,1.5954434864818737e-11,1715517857.4722378,305,1.4147755808089752e-11
63,1.1659762720954213e-06,528.8926222324371,1.6456093904409948e-12,525.2052154541016,1.2889165624948937e-11,1715517916.3931322,335,1.1243556234507942e-11
64,1.1305773856206234e-06,606.6072118282318,1.7677485612399125e-12,602.919677734375,1.0049440872811718e-11,1715517994.1077218,369,8.281692311571805e-12
65,1.3419278272831395e-06,710.437075138092,2.014939176491861e-12,706.7495791912079,8.414766483503592e-12,1715518097.937585,406,6.399827307011731e-12
66,1.1188550525246209e-06,827.6933445930481,1.7302605704805653e-12,824.0057179927826,6.620954754115822e-12,1715518215.1938546,446,4.890694183635257e-12
67,9.44320424143802e-07,944.8156640529633,1.3200487157113046e-12,941.1280348300934,5.2915647223071576e-12,1715518332.316174,491,3.971516006595853e-12
68,8.7454573921355e-07,1005.0459411144257,1.1359658853664535e-12,1001.3583199977875,4.703466218051856e-12,1715518392.546451,511,3.5675003326854026e-12
