loss_interior,loss_boundary,_timestamp,loss,step,time,_runtime,l2_error,_step
0.0009206967623794066,0.10221430993907545,1715516165.034114,0.10313500670145485,0,1.0073459148406982,4.932417869567871,0.21222433325210868,0
0.0009510077344886301,0.0900639973392208,1715516165.0539496,0.09101500507370942,1,1.232926845550537,4.952253580093384,0.20705475661878447,1
0.0010430700102430838,0.07837273221355151,1715516165.0688648,0.07941580222379459,2,1.2483210563659668,4.967168807983398,0.2645889379563562,2
0.0012506741800096613,0.07983790851066319,1715516165.0813262,0.08108858269067286,3,1.2605819702148438,4.9796302318573,0.33777942805087385,3
0.0016345605336656756,0.09244120807208987,1715516165.093081,0.09407576860575555,4,1.2723917961120605,4.991384983062744,0.366189807852543,4
0.00222767950196267,0.09933776789505266,1715516165.1043591,0.10156544739701534,5,1.2836380004882812,5.0026631355285645,0.3306030154937336,5
0.002966200420457094,0.09084645104072689,1715516165.1160266,0.09381265146118398,6,1.295339822769165,5.014330625534058,0.2578773519375144,6
0.0036541196857819624,0.07769884126525538,1715516165.127387,0.08135296095103733,7,1.3066480159759521,5.025691032409668,0.2015621556508558,7
0.004077643774474191,0.07386727396757271,1715516165.1384425,0.0779449177420469,8,1.3177390098571777,5.036746501922607,0.1964025974357762,8
0.004158342594180393,0.08042632706576522,1715516165.1496484,0.08458466965994561,9,1.3289220333099365,5.04795241355896,0.21565993567995623,9
0.003954747124198549,0.08927212944870397,1715516165.162173,0.09322687657290252,10,1.3402698040008545,5.060477018356323,0.22429223365699208,10
0.0035750366792232625,0.092867576903203,1715516165.173461,0.09644261358242627,11,1.3527274131774902,5.071764945983887,0.21473083225337328,11
0.0031202485447982386,0.08928224082831396,1715516165.1843503,0.0924024893731122,12,1.3636372089385986,5.082654237747192,0.19958362557585946,12
0.0026650748158037244,0.08188689168452022,1715516165.1957345,0.08455196650032394,13,1.3749494552612305,5.094038486480713,0.20187610361716715,13
0.0022519525515183347,0.0761152699555369,1715516165.2068598,0.07836722250705523,14,1.3861706256866455,5.105163812637329,0.23304257298494774,14
0.0018936405898366847,0.07580319293773326,1715516165.2185676,0.07769683352756994,15,1.3978044986724854,5.11687159538269,0.2789208009244293,15
0.0015837852687318127,0.08090952918697282,1715516165.2300544,0.08249331445570464,16,1.4093754291534424,5.128358364105225,0.31805741629753037,16
0.0013095574082508878,0.08769225795197674,1715516165.2460659,0.08900181536022764,17,1.4254863262176514,5.144369840621948,0.33619005631220295,17
0.0010606759045521975,0.0914286464256105,1715516165.2583463,0.09248932233016269,18,1.4377119541168213,5.1566503047943115,0.3289322043849593,18
0.0008336720599401653,0.08989781227174402,1715516165.2694118,0.0907314843316842,19,1.4486970901489258,5.167715787887573,0.3009232395626693,19
0.0006326662236849537,0.08474358379536452,1715516165.2805967,0.08537625001904947,20,1.4598615169525146,5.178900718688965,0.2632159531651722,20
0.0004670043790362709,0.07974997659029646,1715516165.2913513,0.08021698096933273,21,1.4706456661224365,5.189655303955078,0.2294651668735551,21
0.0003461628124603144,0.07798765442046748,1715516165.3024862,0.0783338172329278,22,1.4819355010986328,5.200790166854858,0.210312219089021,22
0.00027530928206786587,0.08012541405171421,1715516165.313221,0.08040072333378208,23,1.4928016662597656,5.211524963378906,0.20665934679547626,23
0.00025632834806768123,0.08450097949006524,1715516165.3241014,0.08475730783813293,24,1.5038526058197021,5.222405433654785,0.21001241559679787,24
0.00029523943357262164,0.08834700395502389,1715516165.334611,0.08864224338859651,25,1.5143518447875977,5.232914924621582,0.211332068963988,25
0.00041070729790756137,0.08936448127594107,1715516165.347848,0.08977518857384863,26,1.5277233123779297,5.246151924133301,0.20745117143116223,26
0.0006360331583487822,0.08690319231383409,1715516165.3601797,0.08753922547218287,27,1.539952039718628,5.258483648300171,0.2020576324527027,27
0.0010109964610311296,0.08219571314556277,1715516165.3712454,0.0832067096065939,28,1.5509965419769287,5.269549369812012,0.20318443540268602,28
0.0015658648635803335,0.07758653382100246,1715516165.3819306,0.07915239868458279,29,1.5616850852966309,5.2802345752716064,0.21698486477397225,29
0.0023025608780972446,0.07524869021151079,1715516165.3930361,0.07755125108960803,30,1.5728178024291992,5.291340112686157,0.24162262924457392,30
0.0031781741418695,0.07605755925384472,1715516165.4035845,0.07923573339571421,31,1.5833282470703125,5.301888465881348,0.26852561500180544,31
0.004097999878582699,0.07912503134848897,1715516165.4144998,0.08322303122707167,32,1.5941967964172363,5.312803745269775,0.28807830548420377,32
0.004927833883797775,0.08225678783063174,1715516165.4270618,0.08718462171442952,33,1.6068508625030518,5.325365781784058,0.29357707870355765,33
0.005529915071375184,0.08323519134647131,1715516165.4382722,0.08876510641784649,34,1.6180803775787354,5.336576223373413,0.2830227156191061,34
0.005810099047633493,0.08123973460887625,1715516165.4493175,0.08704983365650974,35,1.6291453838348389,5.347621440887451,0.25959010827850987,35
0.005749088876898395,0.0773857736355948,1715516165.4600413,0.0831348625124932,36,1.6398627758026123,5.35834527015686,0.23089755058829908,36
0.005397392858960914,0.07394569359276223,1715516165.4708807,0.07934308645172315,37,1.6505882740020752,5.369184732437134,0.20680344968957903,37
0.004840354324006511,0.0728879685294678,1715516165.4815032,0.07772832285347431,38,1.661367416381836,5.379807233810425,0.1948434943989495,38
0.004160298645058257,0.07477741406028544,1715516165.4921656,0.0789377127053437,39,1.6719913482666016,5.390469551086426,0.19491487958726245,39
0.003418857924300549,0.07859997876029216,1715516165.5027885,0.08201883668459271,40,1.6826016902923584,5.401092529296875,0.20010324801259471,40
