_timestamp,loss,_runtime,l2_error,time,_step,step,loss_boundary,loss_interior
1715762254.0610275,0.10313500670145485,6.072622537612915,0.20454451091102518,1.6051111221313477,0,0,0.10221430993907545,0.0009206967623794066
1715762254.2279131,0.07988776900999466,6.239508152008057,0.21462094327897294,2.193312644958496,1,1,0.07870927741723636,0.001178491592758294
1715762254.3937201,0.07825773634096062,6.405315160751343,0.2202512565905929,2.357933282852173,2,2,0.07692565236341609,0.0013320839775445316
1715762254.551309,0.07804857655897404,6.562904119491577,0.22234090001314274,2.5169153213500977,3,3,0.07660457718510297,0.0014439993738710802
1715762254.707216,0.07802360353244624,6.71881103515625,0.22361164719283672,2.6728153228759766,4,4,0.07651065461373673,0.001512948918709511
1715762254.8633106,0.0780090515417141,6.874905586242676,0.22590045440177392,2.8288681507110596,5,5,0.07641641271356034,0.0015926388281537593
1715762255.017932,0.07797100586190506,7.029526948928833,0.22484828352397435,2.983527660369873,6,6,0.07600817386667942,0.001962831995225639
1715762255.1736124,0.07785643251994638,7.185207366943359,0.20636492729428207,3.13924241065979,7,7,0.07512493313576206,0.0027314993841843203
1715762255.3295767,0.07722087385207606,7.341171741485596,0.21255963952328508,3.2952094078063965,8,8,0.07255887421376546,0.0046619996383106
1715762255.4869099,0.07636384242026281,7.498504877090454,0.22519021891880486,3.4525327682495117,9,9,0.07468692550994059,0.0016769169103222259
1715762255.642166,0.07568530932193684,7.65376091003418,0.21795693865380078,3.6077933311462402,10,10,0.07431350156115724,0.001371807760779613
1715762255.7974486,0.07512281967075836,7.809043645858765,0.2153669932976407,3.7630531787872314,11,11,0.07158281232837398,0.003540007342384376
1715762255.9523547,0.0740987828380154,7.963949680328369,0.2077011261544477,3.917961359024048,12,12,0.07289926604881075,0.001199516789204638
1715762256.1085525,0.07244463841863585,8.120147466659546,0.2166457718222393,4.0741119384765625,13,13,0.0684948931311292,0.003949745287506641
1715762256.2629008,0.07097995378953752,8.274495840072632,0.19313826732719908,4.228522300720215,14,14,0.06969739721561984,0.0012825565739176773
1715762256.4191787,0.06645699612677582,8.430773735046387,0.2062225661629404,4.38477349281311,15,15,0.06287863467166206,0.0035783614551137483
1715762256.576823,0.06367007262491814,8.588418006896973,0.18476089874928156,4.54243278503418,16,16,0.06260572478046011,0.0010643478444580178
1715762256.7340212,0.060099275889686145,8.74561619758606,0.16982619213780095,4.6996119022369385,17,17,0.05716872870488831,0.002930547184797837
1715762256.890087,0.05870679985229435,8.901681900024414,0.17465972781355718,4.8556740283966064,18,18,0.05305303301706641,0.0056537668352279365
1715762257.0466192,0.05403933122587851,9.05821418762207,0.16298479783097472,5.012227535247803,19,19,0.05231304173190081,0.0017262894939777077
1715762257.2014868,0.047658411908853685,9.21308183670044,0.13802651071236405,5.167106628417969,20,20,0.04510932954269654,0.0025490823661571504
1715762257.359093,0.04180132866141215,9.37068796157837,0.1221299342742874,5.324675559997559,21,21,0.03970023677499939,0.002101091886412759
1715762257.5178032,0.04068181536733953,9.529398202896118,0.11942548209360852,5.483370780944824,22,22,0.03564422778305193,0.005037587584287602
1715762257.6744776,0.03293577695320091,9.686072587966919,0.0996904278764898,5.640059471130371,23,23,0.03046138214965679,0.0024743948035441197
1715762257.8331501,0.026058446548050694,9.84474515914917,0.09998040427873778,5.798721075057983,24,24,0.020692631319729263,0.0053658152283214315
1715762257.9905102,0.025296393196142745,10.002105236053467,0.09996055876550403,5.95612096786499,25,25,0.019773862672359678,0.005522530523783067
1715762258.1462061,0.02492173307481147,10.157801151275635,0.10770300133913092,6.111785173416138,26,26,0.01891936061781975,0.00600237245699172
1715762258.3045266,0.022477887910832068,10.316121578216553,0.10882533887914383,6.270160436630249,27,27,0.01623751173994497,0.006240376170887099
1715762258.459805,0.020540181643231382,10.471400022506714,0.10050219822448246,6.425404071807861,28,28,0.017501866072855487,0.003038315570375896
1715762258.6180189,0.01763697496365732,10.629613876342773,0.09587813050162261,6.5834715366363525,29,29,0.015961482571467827,0.0016754923921894942
1715762258.771926,0.017067837616214523,10.783520936965942,0.08776782651102193,6.737541437149048,30,30,0.015278572232928543,0.0017892653832859808
1715762258.9321544,0.01626647790674063,10.94374942779541,0.08728188396817993,6.897550344467163,31,31,0.014043079533915951,0.0022233983728246775
1715762259.0894806,0.01491168080346466,11.101075649261475,0.08036389941379778,7.055042743682861,32,32,0.013747884125319229,0.0011637966781454301
1715762259.247734,0.014055782834656052,11.259329080581665,0.07122229872999475,7.213271617889404,33,33,0.012511338140565384,0.0015444446940906683
1715762259.4042268,0.012994458954208416,11.41582179069519,0.0680887012908768,7.369802236557007,34,34,0.01093714562496719,0.002057313329241226
1715762259.5622866,0.011801390156751551,11.57388162612915,0.06989760461857873,7.527697563171387,35,35,0.010325526147982792,0.001475864008768758
1715762259.7181551,0.011356199039711851,11.729750156402588,0.062428891978527176,7.683698654174805,36,36,0.009930369631227709,0.0014258294084841417
1715762259.876022,0.009976562350566891,11.887617111206055,0.058068604648893365,7.841602802276611,37,37,0.008642163663854402,0.00133439868671249
1715762260.0339165,0.008690261572001416,12.045511484146118,0.059131066748498086,7.999327182769775,38,38,0.00693138026823828,0.0017588813037631374
1715762260.1899724,0.007730911767396366,12.20156741142273,0.056980710202677295,8.15551233291626,39,39,0.006795828238130271,0.000935083529266095
1715762260.3479652,0.007411799027845981,12.359560251235962,0.052871792295685435,8.313554048538208,40,40,0.0063512029028552535,0.0010605961249907274
1715762260.66118,0.006147825728624866,12.672775030136108,0.05260950114175539,8.626683950424194,41,42,0.005141012313917339,0.0010068134147075273
