l2_error,loss_boundary,_step,step,_timestamp,time,_runtime,loss_interior,loss
0.2243894711000423,0.10221430993907545,0,0,1715515324.8937407,1.0096232891082764,4.882478713989258,0.0009206967623794066,0.10313500670145485
0.2962033114422841,0.07805861688933921,1,1,1715515324.907003,1.2223312854766846,4.895740985870361,0.00043303032350179886,0.078491647212841
0.27018471328848465,0.08332040718738071,2,2,1715515324.9184556,1.2340877056121826,4.907193660736084,0.0027429648865474917,0.0860633720739282
0.22223974633752785,0.07849498825950484,3,3,1715515324.929753,1.2453842163085938,4.9184911251068115,0.005803674464513256,0.08429866272401809
0.1986110358437669,0.07242604644477375,4,4,1715515324.9409614,1.2565979957580566,4.929699420928955,0.006570352502168476,0.07899639894694223
0.19728278851787018,0.07288129814844449,5,5,1715515324.9524658,1.2681159973144531,4.941203832626343,0.004916080531223426,0.07779737867966792
0.20212768400497347,0.07643121282061571,6,6,1715515324.963922,1.279616117477417,4.952660083770752,0.002629219336769434,0.07906043215738515
0.2085447375441232,0.07873761184179742,7,7,1715515324.975236,1.2908411026000977,4.9639739990234375,0.0010774613597021568,0.07981507320149958
0.21738107090125747,0.07897447909679954,8,8,1715515324.9864838,1.3020875453948975,4.975221872329712,0.0003802811062877531,0.0793547602030873
0.22785553407112508,0.07812594298944588,9,9,1715515324.9976053,1.3131699562072754,4.9863433837890625,0.00017324372863430798,0.07829918671808019
0.2366387911261236,0.07712655791195916,10,10,1715515325.0097828,1.3240959644317627,4.998520851135254,0.00019746627127252046,0.07732402418323168
0.23985373442017002,0.07624229631838061,11,11,1715515325.0208502,1.3364768028259277,5.009588241577148,0.00046639156416014067,0.07670868788254076
0.23567147052936038,0.07520403935299008,12,12,1715515325.0320642,1.3476405143737793,5.02080225944519,0.001200538851830483,0.07640457820482056
0.22601648796173712,0.07373173455380964,13,13,1715515325.0429556,1.3585047721862793,5.031693696975708,0.0025701621801652377,0.07630189673397489
0.21578636602023135,0.07204104093742722,14,14,1715515325.0536547,1.3693153858184814,5.042392730712891,0.004289053754230817,0.07633009469165804
0.2092009737817896,0.07079266690460095,15,15,1715515325.0645049,1.3800792694091797,5.053242921829224,0.005487167931394033,0.07627983483599499
0.2073931128109081,0.0704495230132086,16,16,1715515325.075539,1.3910908699035645,5.064277172088623,0.005455239914375672,0.07590476292758427
0.20944818984058794,0.07091591339931495,17,17,1715515325.0868382,1.402282476425171,5.075576305389404,0.004356782961824104,0.07527269636113906
0.2139352530250489,0.07178878972737437,18,18,1715515325.0975058,1.4134676456451416,5.0862438678741455,0.0028869649752483696,0.07467575470262275
0.2193524024242484,0.07268443210337198,19,19,1715515325.1079488,1.424018144607544,5.096686840057373,0.001636640505495621,0.07432107260886761
0.22408595640870416,0.07335540175038874,20,20,1715515325.118252,1.4343140125274658,5.106990098953247,0.0008400495094063404,0.07419545125979508
0.22661061242849484,0.0736578228904406,21,21,1715515325.128536,1.4446072578430176,5.117274045944214,0.0004534287015407803,0.07411125159198137
0.22597017116068036,0.07350330648432507,22,22,1715515325.1387782,1.4548418521881104,5.127516269683838,0.00033937356003899285,0.07384268004436406
0.2221749423986725,0.0728579529599939,23,23,1715515325.1490865,1.4650838375091553,5.137824535369873,0.0004182647186370609,0.07327621767863095
0.21626955986937124,0.07176619459585484,24,24,1715515325.1592433,1.475294589996338,5.147981405258179,0.0007187761191987628,0.07248497071505361
0.2100651239605061,0.07035546225733724,25,25,1715515325.1695287,1.4855575561523438,5.15826678276062,0.0013160896500844863,0.07167155190742173
0.20560265872864297,0.0688122360893657,26,26,1715515325.1796315,1.4957129955291748,5.16836953163147,0.002187242465606693,0.07099947855497239
0.20439889384116228,0.06735188418107961,27,27,1715515325.1898265,1.5058708190917969,5.178564548492432,0.0030682784881394544,0.07042016266921906
0.20657250276371847,0.06618075929684862,28,28,1715515325.199945,1.515988826751709,5.188683032989502,0.0035151861911579384,0.06969594548800656
0.21016527452012998,0.06540277768569372,29,29,1715515325.2101223,1.5261695384979248,5.19886040687561,0.003270652354122716,0.06867343003981644
0.2116190548409947,0.06488603372866983,30,30,1715515325.220175,1.5362908840179443,5.208913087844849,0.0025377677201008303,0.06742380144877066
0.20819823448052596,0.06426954723482801,31,31,1715515325.2305467,1.5465452671051025,5.219284772872925,0.0017764611335717702,0.06604600836839979
0.2005808170140458,0.06324958249720336,32,32,1715515325.2407942,1.5568382740020752,5.229532241821289,0.0013061285016440132,0.06455571099884737
0.1924318553807787,0.061817312943519505,33,33,1715515325.2510629,1.5670404434204102,5.239800930023193,0.001175650390413028,0.06299296333393253
0.18706308842603875,0.05998819097123339,34,34,1715515325.2617505,1.5777101516723633,5.250488519668579,0.0013081569412819012,0.061296347912515294
0.18514513589924658,0.057542758074950795,35,35,1715515325.2725344,1.588548183441162,5.261272430419922,0.0016494144447664017,0.059192172519717194
0.18356084550323945,0.05449404354325201,36,36,1715515325.2830899,1.599057912826538,5.271827936172485,0.0022417014649047605,0.05673574500815677
0.17644592471499898,0.05117033930883716,37,37,1715515325.293857,1.6098041534423828,5.282595157623291,0.0032681529774174194,0.05443849228625458
0.1641328501035674,0.04760234380421237,38,38,1715515325.3040752,1.6201133728027344,5.292813301086426,0.00500206553246805,0.05260440933668042
0.15411475552169937,0.0439757287123823,39,39,1715515325.3143365,1.6303532123565674,5.303074598312378,0.007317113452677694,0.05129284216505999
0.14813816491937234,0.04096206960672941,40,40,1715515325.3245559,1.6405715942382812,5.313293933868408,0.009684000005073487,0.050646069611802895
