step,_timestamp,loss_interior,_runtime,loss,l2_error,loss_boundary,time,_step
0,1715611589.73442,0.00041831908570821223,8.94883394241333,0.5282498834527768,0.39384382081041885,0.5278315643670686,4.626070022583008,0
1,1715611595.6842358,0.012417114206051773,14.8986496925354,0.09816030810624851,0.21823309382410763,0.08574319390019673,10.914620637893677,1
2,1715611601.7558205,0.0187068424604289,20.970234394073486,0.04595693307216894,0.12900877779342093,0.02725009061174004,16.98620104789734,2
3,1715611610.641575,0.006671398665215643,29.8559889793396,0.017700400082031983,0.13450651340097622,0.011029001416816338,25.87168836593628,3
4,1715611618.4327106,0.0018702689811566735,37.64712452888489,0.013706492454497343,0.13379792965680126,0.01183622347334067,33.66278648376465,4
5,1715611630.7552576,0.001404520303694181,49.96967148780823,0.011365817373733003,0.08012302579556588,0.009961297070038823,45.98478174209595,5
6,1715611639.7009594,0.0030264575359750623,58.9153733253479,0.006617061640430263,0.049199616931622614,0.0035906041044552013,54.9299693107605,6
7,1715611648.9103572,0.0028979837714923668,68.12477111816406,0.004204129119185419,0.039350001356723285,0.0013061453476930528,64.13812065124512,7
8,1715611659.6329381,0.0009763102088787191,78.84735202789307,0.0017767462566182805,0.028022284459257543,0.0008004360477395613,74.8621711730957,8
9,1715611685.8116493,0.00020259986469947077,105.02606320381165,0.0006077235124295038,0.02186821709214373,0.000405123647730033,101.04054737091064,9
10,1715611694.565019,5.942498465728283e-05,113.77943277359009,0.0002964564832305518,0.024801120528179708,0.00023703149857326892,109.79387855529785,10
11,1715611708.3452523,1.2584218118794102e-05,127.5596661567688,0.00032524757201879244,0.017511467627484817,0.00031266335389999836,123.5742392539978,11
12,1715611725.7273073,3.5881025013378286e-06,144.941721200943,0.0001617970431465695,0.011279073519893927,0.00015820894064523167,140.95620799064636,12
13,1715611750.9523647,1.3487587768614118e-06,170.16677856445312,6.569861886517942e-05,0.006012229807891358,6.434986008831801e-05,166.18130087852478,13
14,1715611776.9563313,1.5117692791374014e-06,196.17074513435364,2.0143510341033905e-05,0.0014636425583340067,1.8631741061896504e-05,192.18514156341553,14
15,1715611816.6828985,1.3159581325558153e-06,235.89731240272522,2.788908900083428e-06,0.0009913464755431551,1.4729507675276123e-06,231.91183924674988,15
16,1715611856.4332788,4.813814883192294e-07,275.6476926803589,1.3036208020234437e-06,0.0011994699227859088,8.222393137042144e-07,271.6622908115387,16
17,1715611896.1247807,3.731627364349861e-07,315.3391945362091,1.309826511357128e-06,0.0013621166101893505,9.36663774922142e-07,311.3537836074829,17
18,1715611935.7663534,3.1821319742936533e-07,354.98076725006104,1.4248606060472752e-06,0.001546087214125302,1.1066474086179098e-06,350.9953029155731,18
19,1715611975.6400952,1.4811044462730367e-07,394.8545091152191,1.5389840430528536e-06,0.0016048769186923217,1.39087359842555e-06,390.8690621852875,19
20,1715612015.5150855,1.1713270071566309e-07,434.7294993400574,1.5301344168342447e-06,0.001626960017900406,1.4130017161185816e-06,430.74408650398254,20
21,1715612055.1648583,1.1569106886483533e-07,474.3792722225189,1.5502307884597374e-06,0.0015377151890506643,1.4345397195949021e-06,470.39383721351624,21
22,1715612095.0076673,1.242360792690854e-07,514.2220811843872,1.477773392101052e-06,0.0014296526210890639,1.3535373128319666e-06,510.23657035827637,22
23,1715612134.9216266,1.4145171699939423e-07,554.1360404491425,1.301982522106227e-06,0.001411317519118076,1.1605308051068327e-06,550.1506180763245,23
24,1715612164.4429612,1.366150336404584e-07,583.6573750972748,1.2089749807034817e-06,0.0013902371258669496,1.0723599470630232e-06,579.6719858646393,24
25,1715612204.1527653,1.2148733160378916e-07,623.3671791553497,1.1152293005183765e-06,0.0013547361037443608,9.937419689145873e-07,619.3817110061646,25
26,1715612243.8536565,1.0552960680906933e-07,663.0680704116821,1.060194248205883e-06,0.001390843224164865,9.546646413968137e-07,659.0823652744293,26
27,1715612283.791774,6.271729656831953e-08,703.006187915802,1.0897339816720775e-06,0.0013485283191708843,1.0270166851037579e-06,699.0195705890656,27
28,1715612304.392776,4.708827525564161e-08,723.6071898937225,1.021473114406455e-06,0.0013286001014116715,9.743848391508135e-07,719.6211700439453,28
29,1715612343.9598317,4.3690176328080305e-08,763.174245595932,9.696511893578857e-07,0.0012264287387856584,9.259610130298054e-07,759.1888983249664,29
30,1715612383.7963576,5.044151959464647e-08,803.0107715129852,8.821152472062317e-07,0.0010855347715983043,8.316737276115852e-07,799.0254037380219,30
31,1715612423.3922083,5.6686381967273616e-08,842.6066222190857,7.049822160365923e-07,0.0010542196380532267,6.482958340693188e-07,838.6211235523224,31
32,1715612463.320049,4.975097949631411e-08,882.534462928772,6.133169822711619e-07,0.0010103805715197397,5.635660027748479e-07,878.548986196518,32
33,1715612475.2776382,4.714129956932013e-08,894.4920520782471,6.207434985283964e-07,0.0009544768736141988,5.736021989590763e-07,890.5066528320312,33
34,1715612514.883921,4.183234276797989e-08,934.0983347892761,5.495606303001846e-07,0.0008648801966761665,5.077282875322047e-07,930.112955570221,34
35,1715612554.4780068,4.513986623054957e-08,973.6924207210541,4.224741947556673e-07,0.0008170501499751825,3.773343285251177e-07,969.7070379257202,35
36,1715612594.1196852,4.741080212474828e-08,1013.3340990543365,3.987152976367859e-07,0.000766358008037015,3.5130449551203764e-07,1009.3486387729645,36
37,1715612633.6952689,4.248322474152798e-08,1052.909682750702,3.435299236613746e-07,0.0007700031947056175,3.010466989198466e-07,1048.9241449832916,37
38,1715612673.1972883,4.756641211960137e-08,1092.411702156067,3.5885409338863395e-07,0.0005730110344706695,3.112876812690326e-07,1088.4262948036194,38
39,1715612712.7602432,3.2416707610937575e-08,1131.9746570587158,2.2861550812773998e-07,0.00030057918250680864,1.961988005168024e-07,1127.9892420768738,39
40,1715612752.287974,2.903365878357387e-08,1171.5023880004883,9.027202988580992e-08,0.0003686747491163532,6.123837110223605e-08,1167.5169706344604,40
42,1715612831.3694239,1.829645428626903e-08,1250.5838377475739,6.411362656598818e-08,0.00024111677689946684,4.5817172279719146e-08,1246.598381280899,41
46,1715612989.4893374,1.0589970757572804e-08,1408.7037513256073,4.3853965650616134e-08,0.0002114338307228675,3.326399489304333e-08,1404.718317747116,42
50,1715613147.535205,1.140141369488704e-08,1566.749618768692,3.6824986107699124e-08,0.0001821758194405391,2.5423572412812084e-08,1562.7642180919647,43
55,1715613345.4101744,9.360888016477859e-09,1764.624588251114,2.8270022440517187e-08,0.00019486068105766522,1.890913442403933e-08,1760.639172554016,44
