_runtime,loss_boundary,step,_timestamp,loss_interior,loss,time,_step,l2_error
8.359376907348633,0.5278315643670686,0,1715604390.569557,0.00041831908570821223,0.5282498834527768,2.638901948928833,0,0.33095130800725286
9.54224157333374,0.06664947410116397,1,1715604391.7524216,0.03806687567475493,0.1047163497759189,4.712001085281372,1,0.3217966511785422
10.723122835159302,0.06458551716447769,2,1715604392.9333029,0.032901911599439095,0.09748742876391678,5.894183158874512,2,0.3370838478068224
11.904296398162842,0.07057297112313347,3,1715604394.1144764,0.007349880643559332,0.07792285176669281,7.075375080108643,3,0.3363561158364875
13.086430549621582,0.07031496304833719,4,1715604395.2966106,0.00025912586727589186,0.07057408891561308,8.25765347480774,4,0.32262997726130066
14.27112889289856,0.06508904380489236,5,1715604396.481309,0.0025005303002247526,0.06758957410511711,9.441974401473999,5,0.18569693912013066
15.45705533027649,0.023573239070883354,6,1715604397.6672354,0.015566623759454022,0.03913986283033738,10.627965450286865,6,0.1739397180850178
16.641545057296753,0.020694926405181925,7,1715604398.851725,0.010004031051163646,0.03069895745634557,11.81274938583374,7,0.1631773194209919
17.82603693008423,0.018141517526559136,8,1715604400.036217,0.0036133044707678565,0.021754821997326992,12.997058391571045,8,0.16227022519689369
19.00879144668579,0.017940265942558747,9,1715604401.2189715,0.0022823822457276747,0.02022264818828642,14.180015087127686,9,0.16186257159522222
20.192448616027832,0.017850431847519607,10,1715604402.4026287,0.0019062259948138904,0.0197566578423335,15.36371922492981,10,0.16159961614025425
21.374694108963013,0.017792940601222433,11,1715604403.5848742,0.001829761874216024,0.019622702475438458,16.545933485031128,11,0.1606589144391987
22.5573091506958,0.01759059880326725,12,1715604404.7674892,0.001840123050956079,0.01943072185422333,17.728554010391235,12,0.15974162910468315
23.739022970199585,0.01739579544079399,13,1715604405.949203,0.0018813756811039079,0.019277171121897897,18.910248279571533,13,0.15568394061346377
24.921026706695557,0.01654894799019381,14,1715604407.1312068,0.0017379679058030144,0.018286915895996826,20.092266082763672,14,0.15186637121662955
26.103278636932373,0.01577016385002666,15,1715604408.3134587,0.001897540919529615,0.017667704769556276,21.274523973464966,15,0.1506750978375631
27.291745901107788,0.015530719459668454,16,1715604409.501926,0.002081009657983639,0.017611729117652093,22.46271824836731,16,0.15005310538053424
28.472412109375,0.015406347662000134,17,1715604410.6825922,0.002184958990718602,0.017591306652718738,23.643513917922974,17,0.1487616839890349
29.655250549316406,0.015149462644905149,18,1715604411.8654306,0.0024049108368827277,0.01755437348178788,24.82646918296814,18,0.14740353743820828
30.83720064163208,0.014881295021289265,19,1715604413.0473807,0.0026346066673076872,0.01751590168859695,26.0081844329834,19,0.1459925327870297
32.019142866134644,0.014604844474513866,20,1715604414.229323,0.002814710670230003,0.01741955514474387,27.19012689590454,20,0.14454974901179854
33.20182704925537,0.014324258767779522,21,1715604415.412007,0.002911813639796069,0.01723607240757559,28.37294578552246,21,0.14383045881811027
34.384620904922485,0.014184976682016523,22,1715604416.594801,0.0029492802250759833,0.017134256907092506,29.555837392807007,22,0.1431239983127383
35.56791973114014,0.01404838332033945,23,1715604417.7780998,0.0030246796824197654,0.017073063002759216,30.739160776138306,23,0.1429510488852614
36.747074604034424,0.014014931465958877,24,1715604418.9572546,0.0030539772885094115,0.017068908754468287,31.918371200561523,24,0.14278229204542853
37.926833391189575,0.01398223521629565,25,1715604420.1370134,0.0030802120125133408,0.01706244722880899,33.09808111190796,25,0.14261731555519355
39.107943296432495,0.013950214865020046,26,1715604421.3181233,0.0031043953948979484,0.017054610259917995,34.279168367385864,26,0.14245568875996512
40.28807878494263,0.013918789429031738,27,1715604422.4982588,0.0031272964491261004,0.017046085878157837,35.45932078361511,27,0.1422969694893286
41.470497608184814,0.013887877565439055,28,1715604423.6806777,0.003149442271093489,0.017037319836532543,36.64171528816223,28,0.14214070335516782
42.65092945098877,0.013857397088161395,29,1715604424.8611095,0.003171081900101852,0.01702847898826325,37.82221746444702,29,0.14198642392261962
43.83331084251404,0.013827264731515519,30,1715604426.043491,0.0031921573834746207,0.01701942211499014,39.00421500205994,30,0.14183365448112886
45.01478838920593,0.013797396287683469,31,1715604427.2249684,0.00321229392263431,0.017009690210317778,40.185890436172485,31,0.14168191100977381
46.19599676132202,0.013767707021100662,32,1715604428.4061768,0.0032308128625442595,0.01699851988364492,41.36716341972351,32,0.1415307061972713
47.37828588485718,0.013738112330034653,33,1715604429.588466,0.0032467684166802868,0.01698488074671494,42.54956936836243,33,0.14122679349382344
48.56078863143921,0.013678730199847082,34,1715604430.7709687,0.0032877775725458935,0.016966507772392975,43.73161554336548,34,0.1410731010789951
49.741562604904175,0.013648772606782555,35,1715604431.9517426,0.003311620218380099,0.016960392825162655,44.912598848342896,35,0.14091799254673912
50.92399334907532,0.013618573714146761,36,1715604433.1341734,0.0033287533325735493,0.01694732704672031,46.095229148864746,36,0.14060146071412621
52.10765480995178,0.013557191546577658,37,1715604434.3178349,0.003361953770228434,0.016919145316806092,47.27882623672485,37,0.1404392544379185
53.291588306427,0.013525887485493413,38,1715604435.5017684,0.003376744819042648,0.01690263230453606,48.462796211242676,38,0.1401057682433151
54.4733464717865,0.013461902179233019,39,1715604436.6835265,0.0034009302164036926,0.016862832395636712,49.64455723762512,39,0.13975895591987275
55.65599012374878,0.013396022648481967,40,1715604437.8661702,0.0034386439954338073,0.016834666643915773,50.827226400375366,40,0.13958015511195832
57.993956565856934,0.013293268568395512,42,1715604440.2041366,0.0034862687616400456,0.01677953733003556,53.16522550582886,41,0.13902006913884743
