_runtime,_timestamp,loss_interior,_step,l2_error,loss_boundary,step,loss,time
7.010757207870483,1715610591.2778933,0.00041831908570821223,0,0.9531226491715412,0.5278315643670686,0,0.5282498834527768,1.03183913230896
7.126084566116333,1715610591.3932207,0.002988292905091627,1,0.8794738289503554,0.4747139002169853,1,0.4777021931220769,1.9644579887390137
7.241002321243286,1715610591.5081384,0.008113979122556812,2,0.804055086971894,0.3921428059081591,2,0.4002567850307159,2.076613187789917
7.354242563247681,1715610591.6213787,0.015970814690959043,3,0.7262960619413016,0.33729250918677356,3,0.3532633238777326,2.1913034915924072
7.467587947845459,1715610591.734724,0.026771032479443835,4,0.6461005333430002,0.2900417300210063,4,0.31681276250045015,2.3045268058776855
7.580380916595459,1715610591.847517,0.04100956842579572,5,0.5651883238638088,0.21029406230988967,5,0.2513036307356854,2.417299509048462
7.692951679229736,1715610591.9600878,0.05868471420721632,6,0.48567908454805725,0.17064697715446336,6,0.2293316913616797,2.529879331588745
7.80597710609436,1715610592.0731132,0.07928230662012857,7,0.412990742218443,0.12240600694747386,7,0.20168831356760242,2.6430699825286865
7.918968915939331,1715610592.186105,0.10228879624742031,8,0.3544430848984013,0.08787906073503017,8,0.19016785698245048,2.7558045387268066
8.032581567764282,1715610592.2997177,0.12363765701350533,9,0.31510604325827424,0.07479646240165815,9,0.19843411941516348,2.869560718536377
8.14700698852539,1715610592.414143,0.1414346631812539,10,0.2948605340534391,0.05760641109380599,10,0.19904107427505988,2.9826037883758545
8.260015964508057,1715610592.527152,0.15281495225369346,11,0.28738488125657374,0.05071133576086985,11,0.2035262880145633,3.096662759780884
8.376977920532227,1715610592.644114,0.1562498175683048,12,0.28608564055080854,0.05640390627233508,12,0.21265372384063988,3.21923565864563
8.490163803100586,1715610592.7573,0.1539279831483627,13,0.2881183867850815,0.0500796152861404,13,0.2040075984345031,3.3338611125946045
8.603281736373901,1715610592.8704178,0.1454710520224516,14,0.29322969812337535,0.04636597238347982,14,0.19183702440593142,3.4461417198181152
8.716322422027588,1715610592.9834585,0.1338717811286668,15,0.3020179567981293,0.05606616935057843,15,0.18993795047924522,3.558790683746338
8.82983684539795,1715610593.096973,0.12024105256597416,16,0.3149465760615187,0.057932480126112,16,0.17817353269208616,3.6731534004211426
8.943063020706177,1715610593.210199,0.10657893515363606,17,0.3313590815675493,0.0643077767976588,17,0.17088671195129485,3.78665828704834
9.056170225143433,1715610593.3233063,0.09331968219389083,18,0.34981499582240494,0.06534206078056122,18,0.15866174297445207,3.8992180824279785
9.16952633857727,1715610593.4366624,0.08145725309654946,19,0.3682858093052699,0.07928297346897936,19,0.16074022656552883,4.01041054725647
9.282571792602539,1715610593.549708,0.07136258883955214,20,0.38501081022442846,0.08218991172160856,20,0.1535525005611607,4.126359939575195
9.397138595581055,1715610593.6642747,0.0625634110954845,21,0.3987235931697763,0.08454593375922265,21,0.14710934485470714,4.240691423416138
9.5101158618927,1715610593.777252,0.05583377308726531,22,0.40774645022792544,0.09334771321922643,22,0.14918148630649175,4.352911472320557
9.623265981674194,1715610593.890402,0.050530799980511916,23,0.4125904906860752,0.08590928429642822,23,0.13644008427694013,4.465977191925049
9.73617935180664,1715610594.0033154,0.046629551054188714,24,0.41263780757338847,0.09446710068707498,24,0.14109665174126368,4.5796217918396
9.849223375320435,1715610594.1163595,0.04403898891301128,25,0.4080925661468155,0.09444685181071506,25,0.13848584072372633,4.693013668060303
9.96191692352295,1715610594.229053,0.04249221932927168,26,0.3994010426454241,0.0906624706582634,26,0.13315468998753507,4.805075407028198
10.075020790100098,1715610594.342157,0.041957997370448794,27,0.38757847590077765,0.08975184817385022,27,0.13170984554429901,4.9175779819488525
10.188430786132812,1715610594.455567,0.042205182535385966,28,0.37347216884082945,0.08757893735038916,28,0.12978411988577512,5.0311596393585205
10.301934957504272,1715610594.569071,0.042849228137986604,29,0.3586238164037207,0.08117327906066314,29,0.12402250719864974,5.145580530166626
10.414988994598389,1715610594.682125,0.04425233137372108,30,0.3438687132661682,0.08176135719085205,30,0.12601368856457312,5.256720066070557
10.528071165084839,1715610594.7952073,0.04575929461905976,31,0.33070170858445996,0.0768520810674869,31,0.12261137568654665,5.370631217956543
10.64155650138855,1715610594.9086926,0.04743057296187754,32,0.32116972444075575,0.06201266113859035,32,0.10944323410046788,5.483417510986328
10.756140232086182,1715610595.0232763,0.04837090607890396,33,0.31467845334690064,0.06469926156128904,33,0.113070167640193,5.59949517250061
10.8697988986969,1715610595.136935,0.048879727327860736,34,0.3109476262273983,0.06183565274749773,34,0.11071538007535847,5.7125067710876465
10.982996940612793,1715610595.250133,0.04805430776318225,35,0.30942096215581383,0.05932548525246448,35,0.10737979301564674,5.825459957122803
11.096191644668579,1715610595.3633277,0.04634942093742258,36,0.3094020948430555,0.05893633705374347,36,0.10528575799116605,5.939732789993286
11.210241556167603,1715610595.4773777,0.043579771428169045,37,0.3105744734114924,0.05793785545401779,37,0.10151762688218684,6.053450584411621
11.32386040687561,1715610595.5909965,0.04002762798391882,38,0.3128946509811251,0.06315591502623612,38,0.10318354301015494,6.166154623031616
11.437520742416382,1715610595.7046568,0.035764397834348156,39,0.31653392682002485,0.060823837801599896,39,0.09658823563594805,6.2804296016693115
11.550987958908081,1715610595.818124,0.03126849050194373,40,0.3211831125074449,0.05737191721571483,40,0.08864040771765856,6.394078016281128
11.758423566818237,1715610596.0255597,0.022655417759411895,41,0.3306409322424819,0.06421445668381089,42,0.08686987444322278,6.600784778594971
