loss,_step,_timestamp,loss_interior,time,l2_error,loss_boundary,step,_runtime
0.5282498834527768,0,1715610470.7497158,0.00041831908570821223,1.765188455581665,1.0258429897391992,0.5278315643670686,0,5.889452695846558
0.5282483589369089,1,1715610471.3359056,0.0004183331953202471,2.663463830947876,0.36300398061009437,0.5278300257415887,1,6.475642442703247
0.07983928416438964,2,1715610471.918033,0.0001927345648322022,3.24617075920105,0.34598861844910894,0.07964654959955743,2,7.057769775390625
0.07647674932291863,3,1715610472.498931,0.0030114239678704284,3.8272864818573,0.2593978704402406,0.07346532535504821,3,7.638667821884155
0.056122820717677546,4,1715610473.0799074,0.015261926610696778,4.408179044723511,0.23289703770691272,0.040860894106980766,4,8.21964430809021
0.04748791763729863,5,1715610473.6602566,0.011739243215483886,4.988449811935425,0.24497274838192895,0.035748674421814744,5,8.799993515014648
0.043079398432004604,6,1715610474.2425468,0.004404092515321143,5.569082975387573,0.23167846176451132,0.03867530591668346,6,9.382283687591553
0.04039765407597876,7,1715610474.8224282,0.004944783959160445,6.150800704956055,0.20575967168205994,0.035452870116818316,7,9.962165117263794
0.03744544986160507,8,1715610475.4026318,0.009011708381665713,6.730984210968018,0.18345446780492092,0.028433741479939358,8,10.542368650436401
0.03460072802169126,9,1715610475.9827092,0.011163993165658491,7.31096887588501,0.16869116192875924,0.023436734856032766,9,11.122446060180664
0.03292978384742171,10,1715610476.563898,0.012726638132621074,7.892241477966309,0.16086925115491163,0.020203145714800638,10,11.703634977340698
0.03169862061682624,11,1715610477.1431065,0.012853791288390816,8.471455097198486,0.16783838538062462,0.018844829328435425,11,12.282843351364136
0.02930322907605538,12,1715610477.7250252,0.009245031810402246,9.053086519241333,0.17156954185406012,0.020058197265653135,12,12.8647620677948
0.02697995898869225,13,1715610478.3064322,0.005671909968471732,9.634512424468994,0.1712801916588295,0.02130804902022052,13,13.446169137954712
0.0241777779931168,14,1715610478.8874614,0.0030887044602444973,10.215768575668335,0.16303402265198189,0.021089073532872305,14,14.027198314666748
0.021185125389912265,15,1715610479.4711459,0.0018666218447340565,10.799257755279541,0.16015003331522298,0.01931850354517821,15,14.610882759094238
0.02034065565403067,16,1715610480.051655,0.001762443404276268,11.379960298538208,0.14788711986625305,0.0185782122497544,16,15.191391944885254
0.018564851151601208,17,1715610480.632991,0.0022007916146598075,11.961248636245728,0.14772843870303345,0.0163640595369414,17,15.772727966308594
0.018387362160413725,18,1715610481.2148447,0.002081687655211374,12.543147325515747,0.14722758578495515,0.01630567450520235,18,16.354581594467163
0.018115796667165257,19,1715610481.795912,0.0018788547768156022,13.124176025390625,0.14728396704996363,0.016236941890349656,19,16.935648918151855
0.017703594654001523,20,1715610482.3768249,0.0016383134191347922,13.70511507987976,0.1469110871990314,0.01606528123486673,20,17.51656174659729
0.01738373427138328,21,1715610482.9573898,0.0015308622270259035,14.285658597946167,0.142745787592173,0.015852872044357376,21,18.097126722335815
0.016351206140645624,22,1715610483.5391543,0.0014147238474271683,14.86741304397583,0.14149318524733304,0.014936482293218454,22,18.6788911819458
0.016183249563133224,23,1715610484.1206279,0.0015672741110709994,15.4488525390625,0.13726370467453988,0.014615975452062224,23,19.260364770889282
0.015701021341228277,24,1715610484.7015169,0.0020854833546874664,16.02977991104126,0.13545532858712275,0.013615537986540811,24,19.841253757476807
0.015411088016089966,25,1715610485.283153,0.002252466365433323,16.611359357833862,0.12895062740063284,0.013158621650656642,25,20.422889947891235
0.014042510007500493,26,1715610485.86993,0.002403205687368445,17.192976236343384,0.12487163391041846,0.011639304320132047,26,21.009666919708252
0.013514006366304489,27,1715610486.4530096,0.002646226076179943,17.781193017959595,0.1171970677899919,0.010867780290124546,27,21.59274649620056
0.012662977503068116,28,1715610487.034485,0.003023239176577782,18.362504959106445,0.1145192867398478,0.009639738326490333,28,22.174221992492676
0.012414325983151207,29,1715610487.6158423,0.0031491986078840926,18.9441339969635,0.11140815195929067,0.009265127375267114,29,22.755579233169556
0.012054229706276887,30,1715610488.1966174,0.0031836188441210747,19.52488899230957,0.11004542899477686,0.008870610862155813,30,23.33635425567627
0.011838205214222113,31,1715610488.777888,0.0031554058222011553,20.105939149856567,0.108928108640475,0.008682799392020959,31,23.917624950408936
0.011571422802553665,32,1715610489.3592143,0.00304239390112307,20.687488079071045,0.10774793544938066,0.008529028901430596,32,24.498951196670532
0.011381805209389447,33,1715610489.9398227,0.0030221778548504105,21.26811408996582,0.10695089645089635,0.008359627354539037,33,25.079559564590454
0.011209056303974107,34,1715610490.5202599,0.002962568867551056,21.848553895950317,0.10608522843916642,0.00824648743642305,34,25.65999674797058
0.011021715769704371,35,1715610491.1010218,0.002886982712375706,22.429322004318237,0.10594954656745344,0.008134733057328664,35,26.240758657455444
0.010922979300256227,36,1715610491.6821132,0.0027996775912785023,23.010393857955933,0.10603625911744437,0.008123301708977725,36,26.821850061416626
0.010737722372893267,37,1715610492.2637155,0.0026028591168444568,23.591908931732178,0.10623681719061209,0.00813486325604881,37,27.403452396392822
0.01062601141767442,38,1715610492.845691,0.0024734662498668053,24.1739604473114,0.10562209627311597,0.008152545167807616,38,27.985427856445312
0.010278134747535752,39,1715610493.4268637,0.0022690745568436925,24.75511598587036,0.10506267616447888,0.00800906019069206,39,28.566600561141968
0.010123391045757362,40,1715610494.0076315,0.002223597317562925,25.33589768409729,0.10342635792084226,0.007899793728194437,40,29.14736843109131
0.009622372860478224,41,1715610495.1488614,0.00213134419914517,26.477140426635742,0.10329021886603158,0.0074910286613330546,42,30.28859829902649
