loss_interior,_step,time,_runtime,_timestamp,loss_boundary,step,l2_error,loss
46.920246795591744,0,44.72219753265381,49.168710231781006,1715383030.0541613,0.006210411064169767,0,0.310199528148781,46.92645720665591
42.98055090643381,1,85.98232197761536,89.9581937789917,1715383070.8436449,0.0419095963023004,1,0.5802423255150991,43.02246050273611
38.27362812177279,2,124.6724841594696,128.64847207069397,1715383109.5339231,0.27666356018330013,2,0.5845735049823436,38.55029168195609
37.79029321803417,3,165.86566257476807,169.8413245677948,1715383150.7267756,0.2483961944777305,3,1.0683132826942257,38.0386894125119
21.68838423287849,4,202.60710763931274,206.5841851234436,1715383187.4696362,0.9104966775564832,4,0.8851536510265322,22.598880910434975
15.824536068917691,5,241.5129930973053,245.48891758918762,1715383226.3743687,0.657326924931197,5,0.9972026632897517,16.48186299384889
2.548375490775594,6,278.1464409828186,282.1221990585327,1715383263.0076501,0.4268090155634341,6,0.33990865179431345,2.975184506339028
0.2624524916797296,7,316.2480173110962,320.2235834598541,1715383301.1090345,0.06267189370719936,7,0.2276322055288959,0.325124385386929
0.032504393554283736,8,354.0561320781708,358.0334725379944,1715383338.9189236,0.02714636451282767,8,0.029254357723502256,0.059650758067111405
0.002962565126061051,9,394.32861733436584,398.3042371273041,1715383379.1896882,0.0003673807579268913,9,0.004389337663087974,0.0033299458839879423
2.9509801172052852e-05,10,433.35743021965027,437.3348779678345,1715383418.220329,1.4424530947704017e-05,10,0.004507402448750383,4.393433211975687e-05
4.140396962394047e-06,11,473.4939913749695,477.4699046611786,1715383458.3553557,9.83415085668383e-06,11,0.0011395221933714742,1.3974547819077877e-05
1.8868612139654493e-06,12,517.9787356853485,521.9544911384583,1715383502.8399422,6.965446209581919e-07,12,0.0003012088282759488,2.5834058349236415e-06
3.3025957937385356e-07,13,560.5349073410034,564.5108494758606,1715383545.3963006,8.978902454276286e-08,13,0.00029768363766636185,4.200486039166164e-07
2.594782230794357e-07,14,598.8162376880646,602.7923293113708,1715383583.6777804,7.722881604021563e-08,14,0.0001642231414933769,3.3670703911965135e-07
1.4094052932606293e-07,15,638.9305984973907,642.9063868522644,1715383623.791838,4.999076122722299e-08,15,0.00013723500150922835,1.9093129055328592e-07
1.274884780987991e-07,16,677.7146739959717,681.691752910614,1715383662.577204,4.243880698733806e-08,16,0.0001399934443324083,1.6992728508613717e-07
1.197527955370979e-07,17,716.2951073646545,720.2707011699677,1715383701.1561522,4.150902305248295e-08,17,0.00012207713141261322,1.6126181858958086e-07
1.0925744135605903e-07,18,752.2594554424286,756.2351987361908,1715383737.1206498,3.60769060623659e-08,18,0.00011818840243502148,1.4533434741842494e-07
1.0168394508566003e-07,19,790.2453668117523,794.2209663391113,1715383775.1064174,3.4240443842102236e-08,19,0.00011301657547654764,1.3592438892776228e-07
9.34746386890146e-08,20,826.5526189804077,830.5283703804016,1715383811.4138215,3.113607023635763e-08,20,0.0001081979037551169,1.2461070892537225e-07
8.631600656029379e-08,21,862.5692186355591,866.5447993278503,1715383847.4302504,2.938749471921045e-08,21,0.00010532186937265349,1.1570350127950424e-07
7.972388262238987e-08,22,900.9461812973022,904.9218745231628,1715383885.8073256,2.7137622726389012e-08,22,0.00010193753534507321,1.0686150534877889e-07
7.412704268701488e-08,23,938.0848731994629,942.0604999065399,1715383922.945951,2.5859975063847653e-08,23,9.900397733972552e-05,9.998701775086254e-08
6.792737682789646e-08,24,974.6732397079468,978.6492643356323,1715383959.5347154,2.3933770258275586e-08,24,9.515692094671195e-05,9.186114708617204e-08
6.322616132060015e-08,25,1014.3429493904114,1018.3185937404633,1715383999.2040448,2.2764178272890082e-08,25,9.493902229833528e-05,8.599033959349023e-08
