_runtime,l2_error,loss_interior,loss,_step,loss_boundary,time,_timestamp,step
5.489009141921997,0.4172433777793042,46.920246795591744,46.92645720665591,0,0.006210411064169767,1.4203176498413086,1715518446.795576,0
5.585911512374878,0.9195290141861197,46.9202255147448,46.92643610231072,1,0.006210587565917419,1.7904174327850342,1715518446.8924785,1
5.678267240524292,0.26055696216151636,45.06821104915776,45.20647386600269,2,0.13826281684493089,1.882795810699463,1715518446.9848342,2
5.770745277404785,0.30599149021578537,7.714215578928142,7.788833803335317,3,0.07461822440717496,1.975285530090332,1715518447.0773122,3
5.855716705322266,0.49055478885694354,4.424928003345448,4.509797138486381,4,0.08486913514093333,2.060431480407715,1715518447.1622837,4
5.938066244125366,0.3630312154451865,3.675012051005943,3.8510878005635885,5,0.17607574955764527,2.142807722091675,1715518447.2446332,5
6.018845319747925,0.2825260318900219,0.8139229777647857,0.920588115424355,6,0.10666513765956935,2.223668336868286,1715518447.3254123,6
6.101454496383667,0.11411677290338759,0.4211511073609992,0.488221561302529,7,0.06707045394152976,2.3049137592315674,1715518447.4080215,7
6.195667266845703,0.09257127314785708,0.25398852248518344,0.2736817625587754,8,0.019693240073591946,2.400247097015381,1715518447.5022342,8
6.290175914764404,0.0800913754576739,0.15661051487201777,0.17035947189099082,9,0.013748957018973065,2.494734287261963,1715518447.5967429,9
6.386972665786743,0.06233025675348662,0.11121190282356329,0.12253515859650349,10,0.011323255772940206,2.591541051864624,1715518447.6935396,10
6.483003616333008,0.059311416541661784,0.11414256375985236,0.1211665720397052,11,0.007024008279852839,2.6874983310699463,1715518447.7895706,11
6.578867435455322,0.055923787967733576,0.04900543800872973,0.055174748821420885,12,0.006169310812691155,2.7834889888763428,1715518447.8854344,12
6.673990249633789,0.0534283169726117,0.03118631548450158,0.036878871279005784,13,0.005692555794504204,2.8785674571990967,1715518447.9805572,13
6.767937898635864,0.050353325417564446,0.023238604488435313,0.028561334276033187,14,0.005322729787597875,2.972744941711426,1715518448.0745049,14
6.848194599151611,0.05306827424936014,0.020195878963566644,0.025146817238203438,15,0.0049509382746367936,3.0530099868774414,1715518448.1547616,15
6.9290125370025635,0.05251586235416426,0.01660294335825108,0.021449441163793076,16,0.004846497805541996,3.1338398456573486,1715518448.2355795,16
7.022011041641235,0.053915747603256944,0.011728119564767705,0.01637013015814743,17,0.004642010593379724,3.226607084274292,1715518448.328578,17
7.119986057281494,0.05204632913062559,0.009935757926214569,0.014466822368876064,18,0.004531064442661496,3.324627161026001,1715518448.426553,18
7.213287591934204,0.050757220193227495,0.009008901558075613,0.013253725770359222,19,0.004244824212283608,3.418060779571533,1715518448.5198545,19
7.29436469078064,0.04959051916638723,0.00815274121925838,0.012225967589506538,20,0.004073226370248158,3.4991347789764404,1715518448.6009316,20
7.377684831619263,0.04774261706403148,0.005114735394952566,0.008990551452400701,21,0.0038758160574481355,3.5825045108795166,1715518448.6842518,21
7.460819482803345,0.03989503253040744,0.0043515395988787545,0.008091348442761312,22,0.0037398088438825574,3.665102005004883,1715518448.7673864,22
7.556373834609985,0.042339551956201024,0.015388395363351088,0.018836047837859558,23,0.003447652474508471,3.760880947113037,1715518448.8629408,23
7.650466203689575,0.040641642992756015,0.003895667748386902,0.007445390360391459,24,0.0035497226120045572,3.8551387786865234,1715518448.9570332,24
7.743723630905151,0.041101371256165156,0.004518619108428381,0.0077688608605997415,25,0.0032502417521713613,3.948316812515259,1715518449.0502906,25
7.837918519973755,0.04073364016034371,0.00264522839302957,0.005919042218402758,26,0.0032738138253731877,4.04250955581665,1715518449.1444855,26
7.935389041900635,0.03730332644309632,0.0022600277570784286,0.005406102405447338,27,0.0031460746483689093,4.139894485473633,1715518449.241956,27
8.032155513763428,0.03800676511600662,0.0032586623738849155,0.006035928140732082,28,0.002777265766847166,4.2366485595703125,1715518449.3387225,28
8.126887559890747,0.038185768083700285,0.001785348759841633,0.004583628247663417,29,0.0027982794878217837,4.331658363342285,1715518449.4334545,29
8.207929611206055,0.0394839904969569,0.0016450469275888686,0.00420206503708446,30,0.0025570181094955917,4.412718057632446,1715518449.5144966,30
