l2_error,_step,loss_interior,step,time,loss,loss_boundary,_runtime,_timestamp
0.40465881096046874,0,46.920246795591744,0,1.0467627048492432,46.92645720665591,0.006210411064169767,5.608175039291382,1715375867.845172
0.3824467132693369,1,46.80498297536519,1,1.4112896919250488,46.813166439365254,0.008183464000059733,5.623666763305664,1715375867.8606637
0.3543770560698014,2,46.59366885312898,2,1.4219481945037842,46.606337595544936,0.01266874241595333,5.634318828582764,1715375867.8713157
0.3248067149230918,3,46.30388324899038,3,1.4313056468963623,46.32458481426939,0.020701565279014855,5.643795490264893,1715375867.8807924
0.30003877977250554,4,45.94240237692641,4,1.4406793117523193,45.97624446753712,0.03384209061070944,5.653183460235596,1715375867.8901803
0.29216171715458905,5,45.497650455664356,5,1.450969934463501,45.55237508044634,0.05472462478198333,5.6633851528167725,1715375867.900382
0.3227008822716369,6,44.93332493041718,6,1.460432529449463,45.02160395747099,0.08827902705380952,5.672912120819092,1715375867.909909
0.4162766846015836,7,44.18039624870891,7,1.4700250625610352,44.32433075006891,0.14393450135999883,5.682435750961304,1715375867.9194326
0.5894039577477943,8,43.12323823216379,8,1.4800214767456055,43.36266262817742,0.2394243960136245,5.692512512207031,1715375867.9295094
0.8521761237927576,9,41.57331893670174,9,1.4907712936401367,41.980068135968644,0.4067491992669052,5.703306198120117,1715375867.940303
1.2074145970588515,10,39.21492725740216,10,1.5013134479522705,39.913596875558135,0.6986696181559731,5.713816404342651,1715375867.9508133
1.6282594750550778,11,35.47966159795308,11,1.511033058166504,36.6643904250702,1.1847288271171197,5.724961280822754,1715375867.9619582
1.9856467799556972,12,29.293293155795656,12,1.5226812362670898,31.19104581612057,1.8977526603249164,5.735294342041016,1715375867.9722912
1.9904514110301974,13,18.875703680954505,13,1.533661127090454,21.5236728509437,2.6479691699891963,5.74623966217041,1715375867.9832366
3.0836119764126675,14,19.711272573064935,14,1.5444891452789307,22.938724527920172,3.2274519548552383,5.757214784622192,1715375867.9942117
0.973658711374033,15,28.727833499361296,15,1.5555827617645264,34.29500434056139,5.5671708412000935,5.768144845962524,1715375868.0051417
0.9618264878656549,16,24.584870154072256,16,1.5663142204284668,25.520105985170222,0.9352358310979676,5.778878450393677,1715375868.0158753
0.7682832410001755,17,31.705047831967573,17,1.5777814388275146,32.07994067459817,0.3748928426305999,5.7897632122039795,1715375868.02676
0.4250728270362529,18,30.304539189170182,18,1.587862491607666,30.498892406240863,0.19435321707068245,5.799907445907593,1715375868.0369043
1.0735047523060774,19,24.871835665977013,19,1.5991289615631104,25.056809234158255,0.18497356818124236,5.811239242553711,1715375868.0482361
1.8375352828611742,20,17.716720910482636,20,1.608935832977295,18.63357451132829,0.9168536008456544,5.821128845214844,1715375868.0581257
1.1897558538689597,21,14.019678159703156,21,1.618835210800171,16.154535677267035,2.1348575175638778,5.830925703048706,1715375868.0679226
1.669411647652868,22,6.378970564755956,22,1.6285815238952637,7.82674789358236,1.4477773288264046,5.840656757354736,1715375868.0776536
1.1404079712263109,23,17.537572309840844,23,1.6384634971618652,19.55967093911898,2.022098629278137,5.85054349899292,1715375868.0875404
0.635172288603656,24,11.890833796803902,24,1.6479849815368652,13.109126558984999,1.2182927621810966,5.860058784484863,1715375868.0970557
0.878336884427848,25,9.79448190322652,25,1.6578514575958252,10.258238760442362,0.46375685721584103,5.869800567626953,1715375868.1067975
0.7130039486600094,26,14.04272707584902,26,1.6671602725982666,14.459792106760915,0.4170650309118946,5.879213809967041,1715375868.1162107
0.6374400328174148,27,9.55489425765148,27,1.6766340732574463,9.892827725978364,0.33793346832688415,5.88867974281311,1715375868.1256766
1.0675714308886668,28,8.68966809567852,28,1.6861729621887207,9.082387158072677,0.3927190623941565,5.8981804847717285,1715375868.1351774
1.2762559586866196,29,5.8629145211451945,29,1.6957676410675049,6.700005482081469,0.8370909609362743,5.907804250717163,1715375868.1448011
0.9357230826064172,30,6.924425848263036,30,1.7051160335540771,8.07755505734474,1.153129209081704,5.917147397994995,1715375868.1541443
0.8758861083621245,31,4.921607437208083,31,1.7149982452392578,5.814146139462137,0.8925387022540541,5.9270405769348145,1715375868.1640375
0.7704723979741993,32,6.094616207474271,32,1.724829912185669,6.920203988214228,0.8255877807399564,5.936821222305298,1715375868.173818
0.7957497945870536,33,5.394628965190792,33,1.7340857982635498,6.0369780222903096,0.6423490570995175,5.946091651916504,1715375868.1830885
0.7613028097834327,34,5.82586972618025,34,1.7435188293457031,6.416759410857318,0.5908896846770678,5.955533742904663,1715375868.1925306
0.8040248580490897,35,4.507310485198216,35,1.7529497146606445,5.117162707069342,0.609852221871126,5.965044975280762,1715375868.2020419
0.7331059204199464,36,4.083640734237343,36,1.7624075412750244,4.759501560081998,0.6758608258446548,5.974461555480957,1715375868.2114584
0.6028216604566022,37,3.3256275635650976,37,1.7723181247711182,3.8897170887312247,0.564089525166127,5.984402418136597,1715375868.2213993
0.5440909610925505,38,3.5211791705087885,38,1.7823359966278076,3.914209847866945,0.39303067735815667,5.994360446929932,1715375868.2313573
0.5635399056890108,39,3.9289029313183437,39,1.7918238639831543,4.251638837530512,0.3227359062121682,6.003887176513672,1715375868.240884
0.5906562695375069,40,3.509663933296202,40,1.801208257675171,3.8519525753886255,0.3422886420924236,6.01327657699585,1715375868.2502735
0.5385864781525566,41,2.8802450211119885,42,1.8184218406677246,3.2160176355573293,0.3357726144453406,6.030486345291138,1715375868.2674832
0.40919426512844037,42,1.5472782145620279,46,1.8499398231506348,1.7012480744118899,0.15396985984986197,6.061940908432007,1715375868.2989378
