_timestamp,loss,time,_runtime,l2_error,loss_boundary,loss_interior,step,_step
1715380928.8109624,49.79640557651539,1.1638431549072266,5.206896543502808,1.3808425287255273,0.8276528473694653,48.968752729145926,0,0
1715380929.212555,33.90307406121927,1.8795788288116455,5.608489036560059,1.0379628342667853,0.7470958751699512,33.15597818604932,1,1
1715380929.5581622,26.06873870217954,2.2259316444396973,5.95409631729126,0.37231829682660844,0.6744808739992512,25.39425782818029,2,2
1715380929.910068,21.708312464656814,2.577848196029663,6.306002140045166,0.9715059368139815,0.07707360019317093,21.631238864463644,3,3
1715380930.2483306,21.45165037540665,2.9161171913146973,6.6442646980285645,0.32620687952449784,0.8204510422920975,20.63119933311455,4,4
1715380930.6196184,3.711697663555882,3.287100076675415,7.015552520751953,0.09747195601132883,0.08447742614764249,3.627220237408239,5,5
1715380931.050039,0.2801225122479234,3.716228485107422,7.44597315788269,0.04012118549479294,0.008353763277625218,0.2717687489702982,6,6
1715380931.653906,0.037433322250525224,4.321349382400513,8.049840211868286,0.011972887164287838,0.0013260482577391601,0.036107273992786064,7,7
1715380932.18225,0.001473278611534408,4.849993944168091,8.578184127807617,0.007396365177610167,0.00018776450877909526,0.0012855141027553127,8,8
1715380932.9393883,0.0006087322439691141,5.6070146560668945,9.335322380065918,0.0065864042412096275,9.313622427018897e-05,0.0005155960196989251,9,9
1715380933.36606,0.0005083942180737534,6.033514738082886,9.761994123458862,0.005599154866144414,7.07385046366426e-05,0.0004376557134371108,10,10
1715380933.990826,0.0004081804409903931,6.6585869789123535,10.386759996414185,0.004814972169811567,5.187889497531781e-05,0.0003563015460150753,11,11
1715380934.3302112,0.00031567677558580454,6.997939825057983,10.726145267486572,0.004030541577191129,3.877570470254386e-05,0.00027690107088326066,12,12
1715380935.078827,0.0002797926650247131,7.746485710144043,11.474761009216309,0.0035985094590911828,3.009426712159652e-05,0.00024969839790311656,13,13
1715380935.5029685,0.00022719394289980545,8.170517683029175,11.898902654647827,0.003450233646414102,2.554100823969713e-05,0.00020165293466010832,14,14
1715380936.4899275,0.0001844381412276534,9.157598733901978,12.88586163520813,0.006230022050503419,2.257533052610076e-05,0.00016186281070155263,15,15
1715380936.9232597,0.00017985184331709793,9.590770483016968,13.319193840026855,0.006036141157362281,3.3764523955833545e-05,0.0001460873193612644,16,16
1715380937.5753975,0.0001528928219445593,10.243134498596191,13.971331596374512,0.005357407985103865,3.080790637893565e-05,0.00012208491556562365,17,17
1715380938.2003677,0.00010922919296441308,10.867719173431396,14.596301794052124,0.004697000167720687,2.7969526854097603e-05,8.125966611031547e-05,18,18
1715380939.2415547,8.547661025143634e-05,11.909295558929443,15.637488842010498,0.003651530108163486,2.2928610520743723e-05,6.254799973069262e-05,19,19
1715380939.8917542,6.570789883812033e-05,12.559481382369995,16.28768825531006,0.0029104145746577607,1.5940785285388074e-05,4.976711355273227e-05,20,20
1715380940.2978058,5.268373250888682e-05,12.965537786483765,16.693739891052246,0.0028209494835004434,1.2213670402291997e-05,4.047006210659483e-05,21,21
1715380941.8366477,4.427467962522516e-05,14.50429916381836,18.232581853866577,0.002920945078137101,1.168121172644236e-05,3.25934678987828e-05,22,22
1715380942.2488658,4.0005646437237473e-05,14.916612386703491,18.644799947738647,0.002785365355648559,1.192257841815712e-05,2.808306801908035e-05,23,23
1715380942.7154768,3.539845409009414e-05,15.38318943977356,19.11141085624695,0.0026039120197394517,9.86678405261856e-06,2.5531670037475583e-05,24,24
1715380943.1922503,3.303887651007043e-05,15.8600492477417,19.588184356689453,0.00244844398256781,8.422079573512217e-06,2.461679693655821e-05,25,25
1715380943.8129625,3.159708876982526e-05,16.480720281600952,20.20889663696289,0.0023208933307269776,7.315271002326337e-06,2.428181776749892e-05,26,26
1715380944.2275884,3.0068778332935017e-05,16.89537525177002,20.623522520065308,0.0022067601699070675,6.42148220810019e-06,2.3647296124834827e-05,27,27
1715380944.6478145,2.8626517456081585e-05,17.315617084503174,21.04374861717224,0.002108418596346429,5.814492517442028e-06,2.2812024938639557e-05,28,28
1715380945.0669332,2.699753351614651e-05,17.734736442565918,21.462867259979248,0.0020296907159892265,5.456455094548632e-06,2.154107842159788e-05,29,29
1715380946.3074121,2.5224323657143835e-05,18.97514796257019,22.703346252441406,0.0020304667699030904,5.315564038370001e-06,1.9908759618773834e-05,30,30
1715380946.76531,2.449003744785756e-05,19.4329674243927,23.16124415397644,0.0019795093930348134,4.928831626607725e-06,1.9561205821249836e-05,31,31
1715380947.447916,2.2228995803507176e-05,20.115477561950684,23.843850135803223,0.0019962234521494664,4.588454209480441e-06,1.7640541594026734e-05,32,32
1715380947.9369953,2.1680152055366693e-05,20.604624271392822,24.332929372787476,0.0019394653005940013,4.346517719090382e-06,1.733363433627631e-05,33,33
1715380948.3921878,1.9132850431844177e-05,21.059930562973022,24.788121938705444,0.0018698266879274257,4.091100096033407e-06,1.5041750335810771e-05,34,34
1715380949.641775,1.6332201464468415e-05,22.3095121383667,26.03770899772644,0.0018025115572499995,3.861551061537723e-06,1.2470650402930692e-05,35,35
1715380950.0151663,1.4486485728718714e-05,22.68288516998291,26.411100387573242,0.001492477895459454,3.516612906238488e-06,1.0969872822480227e-05,36,36
1715380950.427287,1.2532849319265365e-05,23.095049142837524,26.82322120666504,0.0013065634581432358,2.770437918332888e-06,9.762411400932476e-06,37,37
1715380950.897474,1.1259584112437026e-05,23.565120697021484,27.293408155441284,0.0011814180628028175,2.396690291992317e-06,8.862893820444709e-06,38,38
