l2_error,time,_step,_timestamp,loss_boundary,loss_interior,step,_runtime,loss
0.4086477780170173,1.0622625350952148,0,1715514207.0733948,0.006210411064169767,46.920246795591744,0,5.119762659072876,46.92645720665591
0.4003337393559426,1.3469548225402832,1,1715514207.0860891,0.0075352937729138945,46.849766834667335,1,5.13245701789856,46.857302128440246
0.3922935528880628,1.359433650970459,2,1715514207.0984213,0.008983232631815566,46.780183485274705,2,5.144789218902588,46.78916671790652
0.384515787744062,1.3725543022155762,3,1715514207.1113322,0.010552110156424054,46.71138973302704,3,5.157700061798096,46.721941843183465
0.37699028161005765,1.3848469257354736,4,1715514207.1236176,0.012241671548804808,46.643248812048945,4,5.16998553276062,46.65549048359775
0.36971093955629747,1.3973884582519531,5,1715514207.1361516,0.014052994097147857,46.57562343526207,5,5.182519435882568,46.589676429359216
0.36267382196385417,1.4086978435516357,6,1715514207.147486,0.015987776606277974,46.50837554702715,6,5.193853855133057,46.52436332363343
0.35587620713343837,1.4192752838134766,7,1715514207.1581094,0.018048690172841525,46.441358074557655,7,5.204477310180664,46.459406764730495
0.34931655658979255,1.429807424545288,8,1715514207.1687112,0.020239760898642094,46.374415493817665,8,5.215079069137573,46.394655254716305
0.3429962069050758,1.4402728080749512,9,1715514207.1791277,0.022566662208306942,46.30738807487329,9,5.2254955768585205,46.32995473708159
0.3369209817901639,1.4508082866668701,10,1715514207.1896524,0.025036402122139676,46.24011520256641,10,5.23602032661438,46.26515160468855
0.3311015210564377,1.4616165161132812,11,1715514207.201814,0.027656784529145426,46.1724368781599,11,5.2481818199157715,46.20009366268904
0.32555312725263985,1.4734597206115723,12,1715514207.2123291,0.030436185300424405,46.10419411840533,12,5.258697032928467,46.134630303705755
0.3202956775658252,1.4847078323364258,13,1715514207.2235875,0.03338351760668723,46.03522883649056,13,5.269955396652222,46.06861235409725
0.3153534574657332,1.4955687522888184,14,1715514207.2344165,0.03650818204047342,45.96538342199918,14,5.280784368515015,46.00189160403965
0.310754921486592,1.5061922073364258,15,1715514207.2450883,0.039820056851695415,45.89450015799549,15,5.29145622253418,45.93432021484718
0.30653245021135134,1.5168569087982178,16,1715514207.255723,0.04332954124314486,45.82242067987528,16,5.302090883255005,45.865750221118425
0.3027221035728022,1.528092622756958,17,1715514207.2668889,0.047047614523995335,45.74898554637562,17,5.313256740570068,45.79603316089962
0.29936333316411856,1.5391027927398682,18,1715514207.2780461,0.050985881226274135,45.674034039296544,18,5.324414014816284,45.72501992052282
0.29649859797248035,1.549767255783081,19,1715514207.2881598,0.055156582984894606,45.59740431125276,19,5.3345277309417725,45.65256089423765
0.2941728197013645,1.5600810050964355,20,1715514207.298419,0.0595725706654367,45.518933801519694,20,5.344786882400513,45.57850637218513
0.29243264548369663,1.5702731609344482,21,1715514207.308709,0.06424725063934669,45.43845974292876,21,5.355076789855957,45.502706993568104
0.2913255051400793,1.5810048580169678,22,1715514207.3195097,0.06919450572018215,45.35581963997774,22,5.365877628326416,45.42501414569792
0.2908984589285971,1.5934600830078125,23,1715514207.331837,0.07442857913590271,45.27085163324589,23,5.378204822540283,45.345280212381795
0.2911968715513335,1.6038682460784912,24,1715514207.3423102,0.07996393399441665,45.18339464808294,24,5.388678073883057,45.26335858207735
0.29226299986715665,1.6143550872802734,25,1715514207.3527324,0.08581511787404629,45.09328825235967,25,5.399100303649902,45.17910337023372
0.29413461891873993,1.6249728202819824,26,1715514207.363412,0.0919966633234731,45.000372246533736,26,5.409779787063599,45.09236890985721
0.29684380890004736,1.6351430416107178,27,1715514207.3735816,0.0985230400197191,44.90448611223111,27,5.419949531555176,45.00300915225083
0.30041598237597733,1.645219326019287,28,1715514207.3836353,0.10540863515991736,44.80546847285262,28,5.4300031661987305,44.910877108012535
0.30486919408834795,1.655442476272583,29,1715514207.3938107,0.11266771507311735,44.70315662932493,29,5.440178632736206,44.815824344398045
0.31021376696557096,1.6657721996307373,30,1715514207.404223,0.12031435108973232,44.59738610782189,30,5.4505908489227295,44.71770045891162
0.31645225008079464,1.6762757301330566,31,1715514207.4146578,0.128362330157581,44.48799013687017,31,5.461025714874268,44.616352467027745
0.32357968322498065,1.6866629123687744,32,1715514207.4250832,0.13682506554608576,44.374799031443295,32,5.471451044082642,44.51162409698938
0.33158411637181273,1.6969399452209473,33,1715514207.4354265,0.14571550006774647,44.257639490087634,33,5.481794357299805,44.40335499015538
0.34044733129725335,1.707505226135254,34,1715514207.4459288,0.1550459998126823,44.13633381380394,34,5.4922966957092285,44.29137981361662
0.3501457035849273,1.7175021171569824,35,1715514207.4558737,0.16482825442868118,44.01069908573675,35,5.502241611480713,44.17552734016544
0.3606511322805937,1.727391004562378,36,1715514207.4657905,0.17507319133706284,43.88054638020516,36,5.512158393859863,44.05561957154222
0.371931982278101,1.7374536991119385,37,1715514207.4758632,0.18579089812574395,43.74568004178155,37,5.522231101989746,43.93147093990729
0.38395400161659765,1.747694492340088,38,1715514207.48612,0.1969905606030528,43.60589700571334,38,5.532487869262695,43.80288756631639
0.3966811751962455,1.757887363433838,39,1715514207.4963398,0.20868042793870523,43.46098609856996,39,5.542707681655884,43.669666526508664
0.41007648352923803,1.767829418182373,40,1715514207.506218,0.2208678010829831,43.31072728091698,40,5.55258584022522,43.53159508199996
0.4387221464616116,1.7865066528320312,41,1715514207.5249372,0.24675955032185734,42.99323649134098,42,5.5713050365448,43.239996041662835
0.5024172507731343,1.8214209079742432,42,1715514207.5598202,0.30473041475293383,42.28321603179282,46,5.606188058853149,42.58794644654575
