loss_interior,loss,time,l2_error,_runtime,loss_boundary,step,_step,_timestamp
46.920246795591744,46.92645720665591,1.5155529975891113,0.2901659010055927,5.55644154548645,0.006210411064169767,0,0,1715516165.2174106
42.49414541460342,42.57723830935946,1.9570825099945068,1.4937265550550975,5.696042776107788,0.08309289475603769,1,1,1715516165.3570118
12.117814763471992,14.097274078654547,2.0882411003112793,0.9642637538923272,5.828235864639282,1.9794593151825541,2,2,1715516165.489205
9.164659255088818,10.11081924451539,2.2270724773406982,0.8759241427931934,5.96581768989563,0.9461599894265716,3,3,1715516165.6267867
5.9341454219481315,6.723249914091041,2.3573222160339355,0.7338702800541941,6.095933198928833,0.7891044921429092,4,4,1715516165.7569022
4.0027261560947345,4.584353523999507,2.494619607925415,0.6060679974741228,6.233748912811279,0.5816273679047727,5,5,1715516165.894718
2.2147224514010135,2.6101540525013296,2.626962900161743,0.4928622063374996,6.36561131477356,0.3954316011003159,6,6,1715516166.0265803
1.3302979576457101,1.6006029478171289,2.7697746753692627,0.3260585156620932,6.5088043212890625,0.2703049901714187,7,7,1715516166.1697733
0.8181018648846593,0.9131834874650195,2.9157874584198,0.2742137137338275,6.655158281326294,0.09508162258036028,8,8,1715516166.3161273
0.37472267280260996,0.4509003771844771,3.0601181983947754,0.19924164602998617,6.798992395401001,0.07617770438186716,9,9,1715516166.4599614
0.1979341917364224,0.24686024863241818,3.2180137634277344,0.18495412847991946,6.9568846225738525,0.04892605689599576,10,10,1715516166.6178536
0.1504152178505395,0.19277728708917835,3.358074426651001,0.1457444043188454,7.096874713897705,0.042362069238638875,11,11,1715516166.7578437
0.09754716503598895,0.12420780279906157,3.5005016326904297,0.13175447892458308,7.239282608032227,0.026660637763072613,12,12,1715516166.9002516
0.0694352657500272,0.09174308103914362,3.6497623920440674,0.08670030204804151,7.388573408126831,0.02230781528911642,13,13,1715516167.0495424
0.04486844242932534,0.05542466617812825,3.7880072593688965,0.0844532606001043,7.526770830154419,0.010556223748802912,14,14,1715516167.1877398
0.028745590937433833,0.03877516832136102,3.9370713233947754,0.08236967579268359,7.676052093505859,0.010029577383927187,15,15,1715516167.337021
0.020188024966145954,0.02949037708573848,4.084273099899292,0.08137247861422679,7.823064565658569,0.009302352119592527,16,16,1715516167.4840336
0.01535098940301964,0.023839515726853215,4.2294511795043945,0.07738080936909014,7.96830677986145,0.008488526323833578,17,17,1715516167.6292758
0.012855184662614627,0.020265276588794942,4.371324300765991,0.07847838854723874,8.110191345214844,0.0074100919261803145,18,18,1715516167.7711604
0.0099514296831322,0.017128906500248557,4.518182992935181,0.07416561247446056,8.256993532180786,0.007177476817116358,19,19,1715516167.9179626
0.007820230113943585,0.014357146836518914,4.66111946105957,0.07191732625509943,8.399903059005737,0.006536916722575329,20,20,1715516168.060872
0.006685397707040189,0.012620639966355809,4.810795307159424,0.06985045507568256,8.549550533294678,0.0059352422593156205,21,21,1715516168.2105196
0.004685214999862821,0.010310133114554972,4.95627760887146,0.06605979402086436,8.696091651916504,0.00562491811469215,22,22,1715516168.3570607
0.0035707959775208757,0.008608289315454501,5.10224175453186,0.06433802546499384,8.840989112854004,0.005037493337933624,23,23,1715516168.5019581
0.0029637492553750634,0.007757573508787766,5.254420518875122,0.05866470879684125,8.993243217468262,0.004793824253412702,24,24,1715516168.6542122
0.002441077391492559,0.0067458651259751125,5.396576642990112,0.05665826261943393,9.135312557220459,0.004304787734482554,25,25,1715516168.7962816
0.002122970426548269,0.006209785831263146,5.53639817237854,0.05589986067721044,9.275120735168457,0.004086815404714877,26,26,1715516168.9360898
0.0018872487042951342,0.005852841679411663,5.68096137046814,0.05441826671968825,9.420315504074097,0.00396559297511653,27,27,1715516169.0812845
0.0015590347260238948,0.005210045317262924,5.8280112743377686,0.05133759390684718,9.566917657852173,0.003651010591239029,28,28,1715516169.2278867
0.0013823257835567128,0.004719529077937224,5.967984676361084,0.05014915490176142,9.706751823425293,0.003337203294380511,29,29,1715516169.3677208
0.001223170340887106,0.0044588039351579015,6.1164467334747314,0.04657398703549478,9.855189561843872,0.0032356335942707957,30,30,1715516169.5161586
0.0011341645409779647,0.0041755842525076185,6.270116806030273,0.04577736050972545,10.009055137634277,0.0030414197115296534,31,31,1715516169.6700242
0.0010153088737764654,0.0039835952439441135,6.413836479187012,0.04419727194981332,10.152639150619507,0.002968286370167648,32,32,1715516169.8136082
0.0009466178558637294,0.0037628852000011906,6.561241626739502,0.0436769769817147,10.300002098083496,0.0028162673441374615,33,33,1715516169.960971
0.0008604394736630967,0.003608820295414239,6.705655574798584,0.042419443376424525,10.4444100856781,0.0027483808217511423,34,34,1715516170.105379
0.0008056819665868116,0.003421750994027497,6.8481504917144775,0.04189338734634683,10.586880207061768,0.0026160690274406855,35,35,1715516170.2478492
0.0007309840613485408,0.0032837122963986607,6.993968486785889,0.0410242511507418,10.732753038406372,0.0025527282350501198,36,36,1715516170.393722
0.0006834285680617502,0.003100669559552923,7.138510465621948,0.040722138524332145,10.877327919006348,0.0024172409914911728,37,37,1715516170.538297
0.0006236929189719505,0.002979027493596275,7.2850916385650635,0.03931532902599032,11.023941993713379,0.0023553345746243244,38,38,1715516170.684911
0.00059301747480304,0.0028275843366182794,7.425102949142456,0.03872952597479747,11.164015769958496,0.0022345668618152393,39,39,1715516170.8249848
0.0005472068998326828,0.0027272142008685166,7.572159290313721,0.038316047864587144,11.310953140258789,0.0021800073010358337,40,40,1715516170.9719222
