l2_error,loss_boundary,loss,step,_step,loss_interior,time,_timestamp,_runtime
0.29834335627452785,0.006210411064169767,46.92645720665591,0,0,46.920246795591744,1.503993272781372,1715380321.5311055,5.77042555809021
1.1112007975091236,0.05098835127744586,44.483480151524155,1,1,44.43249180024671,2.189831495285034,1715380321.844029,6.083348989486694
0.8274888786919431,1.0125830595836118,30.589271262394163,2,2,29.57668820281055,2.4960756301879883,1715380322.150018,6.38933801651001
1.1509036398922166,0.6996267332036539,20.673761268647613,3,3,19.97413453544396,2.795250654220581,1715380322.4490592,6.688379287719727
1.0093960230225578,1.105269874972592,17.187474995062473,4,4,16.08220512008988,3.096750020980835,1715380322.7521439,6.991463899612427
1.2131511212426491,0.9664018550745236,13.791531536707232,5,5,12.825129681632708,3.446866512298584,1715380323.100823,7.3401429653167725
0.9447787400043471,1.2148399792751665,12.378323472619982,6,6,11.163483493344815,3.8044004440307617,1715380323.4583478,7.697667837142944
1.2555156607857016,0.8888751582684812,10.076768547934114,7,7,9.187893389665632,4.173766136169434,1715380323.8277256,8.06704568862915
0.9851771207682789,1.2429885323727277,8.10206623656438,8,8,6.859077704191652,4.524376153945923,1715380324.1781747,8.417494773864746
1.1332018020511845,0.9223979886327709,7.176913200780941,9,9,6.25451521214817,4.84939169883728,1715380324.50366,8.742980003356934
1.0926696277483967,1.0860646882835856,6.2102474335120945,10,10,5.1241827452285085,5.212723016738892,1715380324.8667512,9.10607123374939
1.1389768763026134,1.037808418191557,4.233597956844083,11,11,3.1957895386525252,5.564687013626099,1715380325.2186193,9.457939386367798
1.083968443974236,1.0881164832285435,4.079478230033495,12,12,2.991361746804952,5.909617185592651,1715380325.5637486,9.8030686378479
1.1213719626097847,1.0289843131790226,3.953340002245652,13,13,2.9243556890666293,6.259827136993408,1715380325.9177966,10.157116651535034
1.0738144920665198,1.0615167543120876,3.8263553148379685,14,14,2.764838560525881,6.618024110794067,1715380326.2719493,10.511269330978394
1.077682418063582,1.0102692284696007,3.7148950834635612,15,15,2.7046258549939606,6.960434436798096,1715380326.614571,10.853891134262085
1.118070911487566,1.016781600976532,3.3749245956004716,16,16,2.3581429946239396,7.280891180038452,1715380326.9349916,11.174311637878418
1.0782183385819337,1.0575243771054041,3.2046770082038525,17,17,2.1471526310984483,7.593780517578125,1715380327.2481325,11.487452507019043
1.1247231066803438,1.0169470111592602,3.1080311583974423,18,18,2.091084147238182,7.9375081062316895,1715380327.591407,11.830727100372314
1.049514191201702,1.0578169855462676,3.025348719647419,19,19,1.9675317341011518,8.234674215316772,1715380327.8887475,12.12806749343872
1.0780282719240128,0.9796143524224749,2.9132911724125217,20,20,1.9336768199900467,8.58510947227478,1715380328.2391467,12.478466749191284
1.0290441116347069,1.0028805345350955,2.832028102292934,21,21,1.8291475677578384,8.92449426651001,1715380328.5788195,12.818139553070068
1.0480510137954493,0.9477860401181679,2.7412708879806917,22,22,1.793484847862524,9.22194790840149,1715380328.875858,13.115178108215332
0.9283265957719425,0.9614414493175277,2.6718540395375,23,23,1.7104125902199723,9.522276163101196,1715380329.176239,13.41555905342102
0.9758325382864242,0.8194843079058503,2.468804855857345,24,24,1.6493205479514947,9.81888461112976,1715380329.4729137,13.712233781814575
0.9188938885627288,0.8569184145508104,2.274979926981214,25,25,1.4180615124304037,10.166309595108032,1715380329.8200963,14.0594162940979
