loss,_step,_runtime,step,loss_boundary,loss_interior,time,l2_error,_timestamp
0.47271494452484464,0,5.417162895202637,0,0.47208081561819626,0.0006341289066483825,1.05708909034729,0.7641880322780538,1716483853.4357488
0.30119324637272454,1,5.833448648452759,1,0.2902437611800218,0.010949485192702705,1.7565696239471436,0.4541437252742289,1716483853.8520346
0.15170417652961954,2,6.249736547470093,2,0.10221280503541051,0.04949137149420901,2.177886724472046,0.16613351886308514,1716483854.2683225
0.12484577821842142,3,6.666475772857666,3,0.013539687925546178,0.11130609029287525,2.594332218170166,0.1058349513559378,1716483854.6850617
0.15487777391048768,4,7.082817792892456,4,0.0056407045260226715,0.14923706938446502,3.01013445854187,0.10246522502472455,1716483855.1014037
0.1352665458827552,5,7.4999165534973145,5,0.005277566322321177,0.129988979560434,3.427273750305176,0.13485939340638425,1716483855.5185025
0.09542287567446073,6,7.916200399398804,6,0.008911549825692368,0.08651132584876836,3.843947172164917,0.22465903438160673,1716483855.9347863
0.07837032068905107,7,8.332907915115356,7,0.024809382184992086,0.053560938504058984,4.254934787750244,0.28137059067037296,1716483856.3514938
0.0750078120739677,8,8.75050163269043,8,0.03900048380012893,0.03600732827383876,4.676692247390747,0.29293489420087,1716483856.7690876
0.07077270192689253,9,9.167985439300537,9,0.04228167469696509,0.028491027229927444,5.091674327850342,0.2703216808582995,1716483857.1865714
0.06253210355690111,10,9.584795475006104,10,0.03597032168751344,0.026561781869387673,5.5119524002075195,0.229398776368874,1716483857.6033814
0.0533914148694378,11,10.00125503540039,11,0.02585887559329732,0.027532539276140473,5.9279961585998535,0.18656918149751456,1716483858.019841
0.04647061999398257,12,10.418383359909058,12,0.017078300209800872,0.029392319784181695,6.345720052719116,0.15482082506629796,1716483858.4369693
0.042133756799658764,13,10.834841966629028,13,0.011765046532954779,0.030368710266703982,6.7607667446136475,0.13874869788386066,1716483858.853428
0.03880244641463269,14,11.251211643218994,14,0.009470750107051095,0.02933169630758159,7.17887806892395,0.1350361945107758,1716483859.2697976
0.035265749671215194,15,11.668577909469604,15,0.008983925361935919,0.026281824309279275,7.588608741760254,0.13869307042577717,1716483859.6871638
0.03161512786792689,16,12.085132837295532,16,0.009474129692734864,0.022140998175192026,8.005815505981445,0.14548691249343845,1716483860.1037188
0.0284204115341817,17,12.502766132354736,17,0.010415655305223814,0.018004756228957884,8.423898696899414,0.15152651257145144,1716483860.521352
0.02586616963905372,18,12.920645236968994,18,0.01129203565248638,0.01457413398656734,8.846038818359375,0.154089504983744,1716483860.9392312
0.023738318090890866,19,13.339121103286743,19,0.011676976200523692,0.012061341890367174,9.264915466308594,0.15247245486105915,1716483861.357707
0.021799995995248782,20,13.75692367553711,20,0.011439300357481702,0.010360695637767082,9.682447910308838,0.1477696322688766,1716483861.7755096
0.019991348083680166,21,14.173771142959595,21,0.010757269603363463,0.009234078480316701,10.0947744846344,0.14193195883586732,1716483862.192357
0.018367945172133856,22,14.590542793273926,22,0.009942793763771895,0.008425151408361961,10.516417264938354,0.1367192588078894,1716483862.6091287
0.016968361175666594,23,15.007941007614136,23,0.009247608295705366,0.007720752879961228,10.934741497039795,0.13305942222976536,1716483863.026527
0.015766813269796662,24,15.425766706466675,24,0.008779564645553475,0.0069872486242431855,11.345586776733398,0.1310321969878561,1716483863.4443526
0.014713460478652622,25,15.84328579902649,25,0.008529670233233238,0.006183790245419384,11.763488531112671,0.13022991051073585,1716483863.8618717
0.01378018474801986,26,16.260720014572144,26,0.008435433811428205,0.0053447509365916555,12.186925172805786,0.13009783171967607,1716483864.279306
0.012962917431641297,27,16.677509546279907,27,0.008424208213469137,0.00453870921817216,12.606043100357056,0.13012465276123855,1716483864.6960955
0.012259107123083675,28,17.094712734222412,28,0.00843229274176638,0.0038268143813172954,13.020785570144653,0.12995564438753268,1716483865.1132987
0.011655838294828873,29,17.511258363723755,29,0.008416121222261893,0.0032397170725669794,13.43775725364685,0.1294581592377418,1716483865.5298443
0.011135846100936564,30,17.92868447303772,30,0.00835983942256025,0.002776006678376315,13.855469942092896,0.12870528052466013,1716483865.9472704
0.01068637306401717,31,18.345150232315063,31,0.00827315381165039,0.0024132192523667814,14.272550821304321,0.12787876171766738,1716483866.3637362
0.010300097010732583,32,18.76263976097107,32,0.008178713142588237,0.0021213838681443447,14.689545631408691,0.12715244039176238,1716483866.7812257
0.00997092347548689,33,19.179089069366455,33,0.00809733951177837,0.0018735839637085202,15.105775833129883,0.12662128697916117,1716483867.197675
0.00969153139409714,34,19.595768690109253,34,0.008039691296350009,0.0016518400977471308,15.522516250610352,0.12629393285011997,1716483867.6143546
0.009454344034811008,35,20.0123872756958,35,0.008006041177448584,0.001448302857362424,15.939533233642578,0.12612303475686354,1716483868.0309732
0.00925308999602593,36,20.42909336090088,36,0.007990361267260897,0.0012627287287650315,16.356369733810425,0.1260416392651704,1716483868.4476793
0.00908288758102227,37,20.845787048339844,37,0.007984697708319716,0.0010981898727025533,16.773250818252563,0.12599030223409902,1716483868.864373
0.008939455467573224,38,21.26341700553894,38,0.007982207065644446,0.000957248401928777,17.189522981643677,0.12593223782722218,1716483869.282003
0.008818729918092112,39,21.68222975730896,39,0.007978753362300162,0.0008399765557919498,17.6076922416687,0.12585662659344665,1716483869.7008157
0.008717065560042335,40,22.10004472732544,40,0.007973179091121234,0.0007438864689211001,18.025655031204224,0.12577177626913286,1716483870.1186306
0.008559363662488056,41,22.750580310821533,42,0.00796031032688571,0.0005990533356023462,18.677626848220825,0.12563360803397383,1716483870.7691662
