step,loss_boundary,l2_error,_timestamp,loss,time,_step,_runtime,loss_interior
0,0.47244886710131084,0.8455679809088774,1716323135.8871193,0.47306059923750216,1.1462783813476562,0,5.594298362731934,0.000611732136191331
1,0.3558814411016778,0.7156977644457716,1716323136.325224,0.3635975134820281,1.9253299236297607,1,6.032402992248535,0.007716072380350329
2,0.25483605307618334,0.583595616664007,1716323136.7643495,0.2779488975820119,2.3620898723602295,2,6.47152853012085,0.023112844505828584
3,0.16932049278088768,0.45048848808051556,1716323137.2011638,0.21625396414076392,2.8008687496185303,3,6.9083428382873535,0.04693347135987625
4,0.1007656189250704,0.3220614442662842,1716323137.636678,0.1796126036951491,3.2354166507720947,4,7.343857049942017,0.07884698477007868
5,0.051375941520621214,0.21253731569817944,1716323138.0726259,0.16813551738435203,3.670914888381958,5,7.779804944992065,0.11675957586373081
6,0.02225814336330324,0.14096223693837512,1716323138.509362,0.17677532010490482,4.1084818840026855,6,8.216541051864624,0.1545171767416016
7,0.009703299272432247,0.11122717862531811,1716323138.9456046,0.19238342146694848,4.544499635696411,7,8.652783632278442,0.18268012219451624
8,0.005998646644147119,0.10741702660335765,1716323139.3824186,0.20148040787000854,4.9786882400512695,8,9.089597702026367,0.19548176122586142
9,0.005586021402639797,0.11959104502886535,1716323139.8185365,0.19924761550730122,5.417821407318115,9,9.525715589523315,0.1936615941046614
10,0.0069363317143247335,0.1474922442004776,1716323140.254164,0.1882194458015707,5.8530707359313965,10,9.961343050003052,0.18128311408724598
11,0.010599025066094702,0.18805979608148213,1716323140.6896105,0.17341756508170778,6.288686990737915,11,10.39678955078125,0.16281854001561308
12,0.0173151092521641,0.23501305624356916,1716323141.125128,0.15929023596757286,6.722512722015381,12,10.83230710029602,0.14197512671540877
13,0.027137658708368317,0.2824208799771628,1716323141.5607638,0.14856036876158346,7.161454200744629,13,11.267942905426025,0.12142271005321516
14,0.03928283771613437,0.3258064485911143,1716323141.9964647,0.14213669878379892,7.5950329303741455,14,11.703643798828125,0.10285386106766456
15,0.05235699279904509,0.36204953821707503,1716323142.4323816,0.13952392958573645,8.03016448020935,15,12.13956069946289,0.08716693678669137
16,0.06471208116804639,0.3891256147331846,1716323142.868438,0.13940071489885392,8.467164516448975,16,12.57561707496643,0.07468863373080754
17,0.07479034876052654,0.40591703647175204,1716323143.3044708,0.14017368891885007,8.903143644332886,17,13.01164984703064,0.06538334015832352
18,0.08139941175148312,0.4120831692788074,1716323143.740386,0.14041749947314702,9.338521480560303,18,13.447565078735352,0.0590180877216639
19,0.083884623003321,0.4079336145118784,1716323144.1766844,0.13916347516979438,9.774152994155884,19,13.88386344909668,0.055278852166473366
20,0.08217676980648114,0.39429987083424467,1716323144.6127234,0.13602107929025473,10.211865186691284,20,14.319902420043945,0.05384430948377359
21,0.07673036060275898,0.37244011527772536,1716323145.0487313,0.1311489225803964,10.647498846054077,21,14.755910396575928,0.054418561977637406
22,0.06839763509968351,0.3440016693967936,1716323145.4848387,0.12512250619000656,11.082343339920044,22,15.192017793655396,0.05672487109032305
23,0.058278306237947664,0.3110348858743338,1716323145.9204063,0.11874706606037658,11.519322156906128,23,15.627585411071777,0.060468759822428914
24,0.04756300438363419,0.27601938613833515,1716323146.3562381,0.11284647256066446,11.954318523406982,24,16.063417196273804,0.06528346817703028
25,0.03737379572163115,0.24182382490656226,1716323146.792059,0.1080482775354463,12.389480829238892,25,16.49923801422119,0.07067448181381515
26,0.028607791195689986,0.21148050751359,1716323147.2279963,0.10459500070101582,12.82307767868042,26,16.93517541885376,0.07598720950532584
27,0.021809728573958492,0.1876899502787109,1716323147.6640115,0.10224089156701244,13.262579679489136,27,17.371190547943115,0.08043116299305395
28,0.017124805504755248,0.17220458771828098,1716323148.1002917,0.10031355575786524,13.697277307510376,28,17.80747079849243,0.08318875025311
29,0.014379433040267462,0.16555748796845293,1716323148.536439,0.09797474842993453,14.133656978607178,29,18.24361801147461,0.08359531538966707
30,0.013271574661443245,0.16739966090495698,1716323148.9725223,0.09458912730173141,14.570632457733154,30,18.679701328277588,0.08131755264028817
31,0.013564417286181877,0.17693252373050214,1716323149.4088478,0.09000947387996297,15.007272481918335,31,19.116026878356934,0.07644505659378109
32,0.015163688865928107,0.1928281841250828,1716323149.8455153,0.0846281635937752,15.44224500656128,32,19.55269432067871,0.0694644747278471
33,0.01803568582529605,0.21285199073093497,1716323150.282241,0.07918325589653046,15.880028247833252,33,19.989420175552368,0.061147570071234406
34,0.022012383668928118,0.23373199785951437,1716323150.7189014,0.07441590819972627,16.3156955242157,34,20.426080465316772,0.05240352453079815
35,0.02658233142011576,0.2514589677074727,1716323151.155738,0.07071226822240345,16.75619649887085,35,20.862917184829712,0.04412993680228769
36,0.030797579328596055,0.2619875090933125,1716323151.5931768,0.06787480262218197,17.190386533737183,36,21.300355911254883,0.03707722329358591
37,0.03343926933727652,0.2622425771083288,1716323152.0306017,0.06517889055793497,17.628188610076904,37,21.737780809402466,0.03173962122065845
38,0.033484039749647275,0.2510919486888694,1716323152.4676874,0.06178662309366971,18.065231800079346,38,22.174866437911987,0.028302583344022438
39,0.030647649576505825,0.22988147874882162,1716323152.9051483,0.05731635465366465,18.501037120819092,39,22.612327337265015,0.02666870507715883
40,0.025618807624370438,0.20244263179658917,1716323153.3427575,0.0521387078407191,18.940059661865234,40,23.049936532974243,0.026519900216348657
42,0.014657436352582787,0.1523210699515962,1716323154.032054,0.04303495542493998,19.627391815185547,41,23.739233016967773,0.028377519072357194
