l2_error,_runtime,loss_boundary,time,_step,_timestamp,loss,step,loss_interior
0.12147091648446054,53.475152015686035,0.47457465748533373,49.34087419509888,0,1716291543.7055001,0.47515823206807667,0,0.000583574582742953
0.116740534880096,132.48405170440674,0.007288165346742676,128.59371519088745,1,1716291622.7143998,0.008106686972860573,1,0.0008185216261178973
0.09910031067824528,224.51862478256226,0.006556455804781829,220.62806749343872,2,1716291714.748973,0.00665080537046856,2,9.434956568673162e-05
0.062483701870046,350.9981667995453,0.004615505435074923,347.10761046409607,3,1716291841.228515,0.004811572313405741,3,0.00019606687833081775
0.05484363620063854,486.6183190345764,0.0017950101760197859,482.72751116752625,4,1716291976.8486671,0.0025028555684556888,4,0.0007078453924359027
0.049925502017814476,649.7895612716675,0.0012925197601609878,645.8971943855286,5,1716292140.0199094,0.0017005068667673951,5,0.0004079871066064074
0.049393209883702965,826.7487077713013,0.0010286335837184832,822.8574209213257,6,1716292316.979056,0.0012341327890922564,6,0.00020549920537377313
0.048701814234509165,1004.1849634647369,0.000948357989575032,1000.2938754558563,7,1716292494.4153116,0.0010769475204232988,7,0.0001285895308482668
0.048056738125020586,1184.6126766204834,0.0008261721362438373,1180.7215509414673,8,1716292674.8430247,0.000916257194836055,8,9.008505859221772e-05
0.04836471588967697,1367.3602237701416,0.0007063334890644834,1363.4688527584076,9,1716292857.5905719,0.000792049039401281,9,8.571555033679757e-05
0.04941702726708818,1547.0754265785217,0.0005975099923857483,1543.1836977005005,10,1716293037.3057747,0.0007040519320487299,10,0.00010654193966298156
0.04711472646105188,1723.722927570343,0.0005186917215867947,1719.8307580947876,11,1716293213.9532757,0.0006826010285245936,11,0.00016390930693779886
0.04635356245003676,1899.656679391861,0.0002497425437436033,1895.7641384601593,12,1716293389.8870275,0.000614390483063551,12,0.00036464793931994773
0.046517361887394915,2075.6148960590363,8.175263657873917e-05,2071.722145318985,13,1716293565.8452442,0.00013716333139712108,13,5.54106948183819e-05
0.046806695072664876,2251.557886362076,5.153896724045384e-05,2247.6647832393646,14,1716293741.7882345,7.111937146391092e-05,14,1.9580404223457074e-05
0.04626831135531379,2427.4819729328156,4.022367004346381e-05,2423.5886657238007,15,1716293917.712321,6.56527327778924e-05,15,2.542906273442859e-05
0.04608012504674344,2603.406836748123,2.3245269770089072e-05,2599.513306617737,16,1716294093.6371849,3.644234566881128e-05,16,1.3197075898722204e-05
0.04589485403533244,2779.2913172245026,1.3860426250164554e-05,2775.397515296936,17,1716294269.5216653,2.497740669654172e-05,17,1.1116980446377167e-05
