time,_step,loss,_runtime,l2_error,loss_interior,step,_timestamp,loss_boundary
10.423433303833008,0,0.47448102634693046,14.989418983459473,0.6125489318455811,0.0005786351643436808,0,1716068490.49508,0.47390239118258676
20.506482124328613,1,0.211022464798461,24.623051643371582,0.43078597677013064,0.02351002861669115,1,1716068500.1287127,0.18751243618176985
30.24850821495056,2,0.13043670932803214,34.365275382995605,0.31829923978224794,0.0377230724919848,2,1716068509.8709364,0.09271363683604734
40.1023633480072,3,0.08834990038986834,44.21935963630676,0.2363973752911922,0.037767998784537106,3,1716068519.7250206,0.050581901605331235
50.06542682647705,4,0.05450329205954283,54.18228363990784,0.17768062468948578,0.026631030987187013,4,1716068529.6879447,0.027872261072355818
60.133273124694824,5,0.029950250021380315,64.25055766105652,0.14775393457802427,0.01420652467454013,5,1716068539.7562187,0.015743725346840185
70.22336721420288,6,0.01788062919182335,74.34047412872314,0.1346316190341304,0.00698575021596843,6,1716068549.8461351,0.010894878975854921
80.31838464736938,7,0.012655338548851367,84.43578934669495,0.12847052976655238,0.0036159543470927146,7,1716068559.9414504,0.009039384201758652
90.41001319885254,8,0.010258241769460993,94.5284469127655,0.12524083890534304,0.0020482805962995392,8,1716068570.034108,0.008209961173161454
100.49970006942749,9,0.009032025047503445,104.61705827713013,0.12322429668425083,0.0012569602555680096,9,1716068580.1227193,0.0077750647919354356
110.59311556816101,10,0.00829561597149399,114.71032905578613,0.12141073780613193,0.0008000959638311749,10,1716068590.21599,0.007495520007662816
120.68264579772949,11,0.00774829108601081,124.80003452301025,0.11928971770900197,0.0005077067062577156,11,1716068600.3056955,0.007240584379753094
130.77190279960632,12,0.007256010547830995,134.8893744945526,0.11610161996351306,0.0003087777205825346,12,1716068610.3950355,0.006947232827248461
140.86248469352722,13,0.006697042271906761,144.97955346107483,0.109796111958686,0.00017107594810737613,13,1716068620.4852145,0.006525966323799385
150.9538290500641,14,0.0058665765848208455,155.07079434394836,0.0934399669179899,0.00011159532608780515,14,1716068630.5764554,0.00575498125873304
161.04194736480713,15,0.004334173122128877,165.15929055213928,0.081842957919002,0.0002990259089879007,15,1716068640.6649516,0.004035147213140976
171.13145470619202,16,0.003542914099622647,175.24836325645447,0.07447494157958273,0.0004980248120979197,16,1716068650.7540243,0.003044889287524727
181.21551060676575,17,0.003132105256761075,185.33243060112,0.06838084664645105,0.0006225093647036155,17,1716068660.8380916,0.0025095958920574595
191.30000686645508,18,0.0028064887236235294,195.41701245307922,0.06272001542960529,0.0006924412659481252,18,1716068670.9226735,0.002114047457675404
201.38700127601624,19,0.0024626640011546474,205.50445866584778,0.058077359261096265,0.000681561094427916,19,1716068681.0101197,0.0017811029067267316
211.4720287322998,20,0.0021096010122776876,215.58914375305176,0.05508154862841502,0.0005777498153612915,20,1716068691.0948048,0.001531851196916396
221.5570249557495,21,0.0018289668306532296,225.6741166114807,0.05328009937767736,0.00044742105449310635,21,1716068701.1797776,0.0013815457761601232
231.6433563232422,22,0.0016345557526546125,235.7604899406433,0.05213600142101673,0.00033981958743421807,22,1716068711.266151,0.0012947361652203943
241.73030138015747,23,0.0014988192042995673,245.84753322601318,0.05141064087518334,0.0002576370015623136,23,1716068721.3531942,0.0012411822027372536
251.81657075881958,24,0.001406592690344753,255.93413472175598,0.050909706353794444,0.00019859639291399257,24,1716068731.4397957,0.0012079962974307604
261.90168929100037,25,0.001340208907260566,266.01885533332825,0.05053698737214099,0.00015489392215998365,25,1716068741.5245163,0.0011853149851005823
271.9863257408142,26,0.0012892721595549027,276.10362553596497,0.050269964865014394,0.00012094378130763801,26,1716068751.6092865,0.0011683283782472646
282.0683043003082,27,0.0012507328413874292,286.1855354309082,0.05007829340365404,9.508080097808336e-05,27,1716068761.6911964,0.0011556520404093459
292.1557068824768,28,0.001221697410636684,296.27320551872253,0.04993597965054405,7.565572685392378e-05,28,1716068771.7788665,0.0011460416837827602
302.2410247325897,29,0.0011994469811474515,306.35829997062683,0.049827396500072875,6.108421598102266e-05,29,1716068781.863961,0.0011383627651664289
312.3240396976471,30,0.0011819172187976289,316.44124484062195,0.049743245420814056,5.001064284677806e-05,30,1716068791.9469059,0.0011319065759508508
322.4090733528137,31,0.0011676885437747735,326.52624917030334,0.04967337931031484,4.148431879952576e-05,31,1716068802.0319102,0.0011262042249752479
332.4952063560486,32,0.001155391451802922,336.6124141216278,0.049606459379832255,3.470052161031652e-05,32,1716068812.1180751,0.0011206909301926056
342.57988357543945,33,0.001143615742488505,346.69741129875183,0.049539855564787495,2.8913934199100746e-05,33,1716068822.2030723,0.0011147018082894044
352.66543674468994,34,0.0011317982333095352,356.78264117240906,0.04946517357023474,2.3941112056477446e-05,34,1716068832.2883022,0.0011078571212530578
362.7502439022064,35,0.0011185116315498929,366.8674736022949,0.049357442739328856,1.9501439052842665e-05,35,1716068842.3731346,0.0010990101924970503
372.8367521762848,36,0.0010998276177844647,376.9539432525635,0.04921998646343227,1.5155551629537577e-05,36,1716068852.4596043,0.001084672066154927
382.92871594429016,37,0.0010773301722034325,387.04622292518616,0.04907934182710556,1.2119023211908533e-05,37,1716068862.551884,0.001065211148991524
393.0143942832947,38,0.0010557367916676364,397.13169622421265,0.04894680335584572,1.1405231374162873e-05,38,1716068872.6373572,0.0010443315602934736
403.1009576320648,39,0.0010365432987013328,407.21824860572815,0.048823772636426226,1.276237979483942e-05,39,1716068882.7239096,0.0010237809189064934
413.1881330013275,40,0.0010195181375919848,417.3055717945099,0.048687828712442996,1.5787369685478576e-05,40,1716068892.8112328,0.0010037307679065062
