_step,loss_boundary,loss_interior,time,_timestamp,step,_runtime,loss,l2_error
0,0.4742360957920694,0.0005961543120415758,5.387455224990845,1716373644.3548522,0,9.745769262313843,0.47483225010411095,0.9742280299816453
1,0.4742331500276796,0.0005961926197815846,12.303660154342651,1716373650.9568932,1,16.3478102684021,0.4748293426474612,0.11968290352183644
2,0.007064910500264343,0.00011436934631890117,18.90598702430725,1716373657.5591755,2,22.950092554092407,0.007179279846583244,0.11271475112555114
3,0.006281040372260135,7.621087723327264e-05,25.509161472320557,1716373664.1623697,3,29.55328679084778,0.006357251249493407,0.11253248461640938
4,0.006255401102198451,6.920257384592957e-05,32.11764645576477,1716373670.7721705,4,36.163087606430054,0.006324603676044381,0.11111284930670269
5,0.006045057904345039,3.9402993827963935e-05,38.72555899620056,1716373677.3789058,5,42.76982283592224,0.006084460898173003,0.10701499998296526
6,0.005526119052165442,0.0004086422706136839,45.33094930648804,1716373683.9841547,6,49.37507176399231,0.005934761322779126,0.10096273410615372
7,0.004767389441509965,0.0007056660486465366,51.93824291229248,1716373690.591698,7,55.98261499404907,0.005473055490156501,0.09937916384240997
8,0.004570235688897135,0.0006360401950890741,58.546085596084595,1716373697.1996262,8,62.590543270111084,0.0052062758839862095,0.09768438366625445
9,0.0043260934566722396,0.00035832616337784116,65.15223836898804,1716373703.805543,9,69.19646000862122,0.004684419620050081,0.09738578564695234
10,0.004249642811081351,6.199931325197154e-05,71.75979733467102,1716373710.4132006,10,75.80411767959595,0.004311642124333322,0.09724015398981593
11,0.004218553827811895,4.767860741410746e-05,78.36694550514221,1716373717.0203397,11,82.41125679016113,0.004266232435226003,0.09693385743529923
12,0.004123998988896251,3.4436524804852035e-05,84.97530007362366,1716373723.628805,12,89.01972198486328,0.004158435513701103,0.09644900611505529
13,0.003953038781581528,6.007289474611462e-05,91.5846483707428,1716373730.2383184,13,95.62923550605774,0.004013111676327642,0.09571024521501953
14,0.0037458242152563844,0.00015749623871322478,98.16510438919067,1716373736.8188026,14,102.20971965789795,0.0039033204539696094,0.09324507611598346
15,0.0030939542771195776,0.0019339729721453678,104.74027490615845,1716373743.3934925,15,108.78440952301025,0.005027927249264945,0.09416850773968971
16,0.003292161458258111,0.00033233544904959846,111.31294560432434,1716373749.9661362,16,115.35705327987671,0.0036244969073077095,0.09405839183929034
17,0.0032449024586837277,7.44500397136899e-05,117.8882348537445,1716373756.54152,17,121.93243718147278,0.0033193524983974178,0.09408561142903085
18,0.0032388323362251286,3.016694090825496e-05,124.4646315574646,1716373763.1178818,18,128.50879883766174,0.0032689992771333834,0.0937946862924399
19,0.0031264851987468758,3.827332661069164e-05,131.04155254364014,1716373769.6949432,19,135.08586025238037,0.0031647585253575675,0.0933103144354369
20,0.0028986747199276942,0.00010747692203520902,137.61935210227966,1716373776.2731378,20,141.66405487060547,0.0030061516419629033,0.09273831798644769
21,0.002676245454401278,0.00023717023322527924,144.19619345664978,1716373782.8500984,21,148.24101543426514,0.002913415687626557,0.09030343692109839
22,0.0019097537956502277,0.0015309178736272937,150.77256178855896,1716373789.426351,22,154.81726813316345,0.0034406716692775216,0.09059209810800785
23,0.0019329778279789061,0.00037604533186436046,157.34821772575378,1716373796.0018852,23,161.39280223846436,0.0023090231598432666,0.09046808967140271
24,0.001861967729278774,7.611321188739826e-05,163.9260036945343,1716373802.5797327,24,167.97064971923828,0.0019380809411661724,0.09041712517422419
25,0.0018003126711635602,2.7903376030891744e-05,170.50177359580994,1716373809.1554427,25,174.54635977745056,0.0018282160471944518,0.09032540011074926
26,0.001768919270138328,2.442164312777212e-05,177.07811403274536,1716373815.732068,26,181.122985124588,0.0017933409132661002,0.09011160575814255
27,0.0016774214213832468,4.212404823920309e-05,183.6554455757141,1716373822.309458,27,187.70037508010864,0.00171954546962245,0.08950823708710393
28,0.0014589303664750933,0.000114935423751347,190.23329854011536,1716373828.8873637,28,194.27828073501587,0.0015738657902264403,0.08881775777831577
29,0.0012120308395733514,0.00015498591002011098,196.81034445762634,1716373835.4643552,29,200.85527229309082,0.0013670167495934624,0.08751290407359474
30,0.004003157249976086,0.018544486750190166,203.43727445602417,1716373842.091361,30,207.4822781085968,0.02254764400016625,0.08791874684784784
31,0.004029569642844602,0.0027149108720094448,210.01485443115234,1716373848.6689453,31,214.0598623752594,0.006744480514854047,0.08776863321538506
32,0.003998236631613396,0.00026063325680515675,216.5922248363495,1716373855.2463717,32,220.63728880882263,0.0042588698884185525,0.0876955895034221
33,0.003974113746240907,5.448868938616602e-05,223.17046356201172,1716373861.8246286,33,227.21554565429688,0.0040286024356270735,0.08758614385701129
34,0.003953278574951664,3.201212161151466e-05,229.74838399887085,1716373868.4029057,34,233.79382276535034,0.0039852906965631785,0.08745963293465096
35,0.003912430403361483,1.6816017190149985e-05,236.3254029750824,1716373874.9796877,35,240.37060475349426,0.0039292464205516325,0.08685267928477595
36,0.0037452789586369935,7.779397135977788e-05,242.9031240940094,1716373881.557319,36,246.94823598861694,0.0038230729299967713,0.0861106883302058
37,0.003532525554415318,0.00015979130534970863,249.4814100265503,1716373888.135628,37,253.52654504776,0.0036923168597650263,0.0824265613957878
38,0.002667340378337805,0.0007839150280018705,256.0595784187317,1716373894.7140076,38,260.1049246788025,0.0034512554063396753,0.07754230624549571
39,0.0017408444832397757,0.0013331570296256355,262.63798356056213,1716373901.2926111,39,266.68352818489075,0.0030740015128654114,0.0746777552749087
40,0.0013478408835120902,0.0009909423029168017,269.2174263000488,1716373907.8723075,40,273.2632246017456,0.002338783186428892,0.07416998557964961
41,0.0012622135037530552,9.559920461944382e-05,282.18924355506897,1716373920.8443172,42,286.2352342605591,0.001357812708372499,0.07362919237639591
42,0.001204387932485373,1.2290549391803829e-05,307.9463493824005,1716373946.6011271,46,311.99204421043396,0.0012166784818771767,0.07323178054375291
43,0.00046710875580414257,0.00029020224185285126,333.69854521751404,1716373972.3537476,50,337.74466466903687,0.0007573109976569939,0.06869715542993518
44,0.0003184855163277242,2.8191079603168694e-06,365.8425393104553,1716374004.4978678,55,369.8887848854065,0.0003213046242880411,0.06774051154712776
45,0.002378458508183889,0.005425932729314849,404.4868381023407,1716374043.1420183,61,408.53293538093567,0.007804391237498738,0.0681053106013971
46,0.00204082459987302,0.00011678753886484639,443.0286693572998,1716374081.6838744,67,447.074791431427,0.0021576121387378664,0.06402887598960709
47,0.00047429425977994907,1.4412784385193767e-05,481.56765937805176,1716374120.2230356,73,485.61395263671875,0.0004887070441651428,0.05800174109563161
48,0.00013371020423646663,8.081553474830193e-05,532.9079189300537,1716374171.563628,81,536.9545450210571,0.00021452573898476856,0.05504854112985378
49,9.112954938247089e-05,2.4667045085357838e-06,584.2521092891693,1716374222.907848,89,588.2987649440765,9.359625389100666e-05,0.05467379901543597
50,0.0013492999049104465,6.673824422172478e-05,642.0360786914825,1716374280.6918437,98,646.082760810852,0.0014160381491321713,0.05119272926551013
51,0.00019679058296288222,1.3333652973154188e-06,699.7703142166138,1716374338.4261882,107,703.8171052932739,0.00019812394826019763,0.046870280862246316
52,4.0439523872876364e-05,3.3786618160634447e-07,770.3057811260223,1716374408.9616907,118,774.3526077270508,4.077739005448271e-05,0.04637622964737083
