loss_boundary,loss,_step,_timestamp,time,l2_error,_runtime,loss_interior,step
0.4780981265321207,18.5259696158332,0,1715784342.5662272,98.53382611274719,1.6632642546191132,103.5374550819397,18.04787148930108,0
1.369821907813042,13.242352727950626,1,1715784418.5227685,175.0267617702484,2.232244751018467,179.49399638175964,11.872530820137584,1
2.4944969139342756,6.395784732320445,2,1715784486.2231922,242.7273232936859,1.2495481502992323,247.19442009925842,3.90128781838617,2
0.776588914260776,2.387046640501908,3,1715784566.6694398,323.1734969615936,0.93803393571958,327.64066767692566,1.6104577262411321,3
0.43589420892382424,0.47692710550719253,4,1715784769.6267893,526.1300072669983,0.14128629025128364,530.5980172157288,0.04103289658336826,4
0.009804925031606817,0.10713694833617687,5,1715786652.9500186,2409.4540736675262,0.23286216717562605,2413.9212465286255,0.09733202330457005,5
0.02610366472833954,0.07714885692983375,6,1715786736.5894592,2493.0935356616974,0.24991266965862838,2497.5606870651245,0.05104519220149421,6
0.03019987109215274,0.06629091926863614,7,1715786861.6143644,2618.1184282302856,0.264496945785382,2622.5855922698975,0.0360910481764834,7
0.03399771996861554,0.05751181942290328,8,1715786943.9753191,2700.4794409275055,0.27775655343278416,2704.9465470314026,0.023514099454287743,8
0.037687181716084026,0.051836374864476537,9,1715787029.5186126,2786.0226991176605,0.27992353247894397,2790.4898405075073,0.014149193148392511,9
0.03844354021396411,0.04640118771564493,10,1715787216.9389417,2973.4430270195007,0.26782813503371417,2977.9101696014404,0.00795764750168082,10
0.03523383772412979,0.03767249447039236,11,1715787318.3907735,3074.8949620723724,0.2657037093141758,3079.3620014190674,0.0024386567462625682,11
0.03478395644374553,0.036144214044027186,12,1715787489.2402005,3245.7443594932556,0.16187627156870596,3250.2114284038544,0.0013602576002816557,12
0.012805774397039114,0.013977354019260691,13,1715788164.3517826,3920.8559675216675,0.03736215963953973,3925.323010444641,0.001171579622221578,13
0.00044526981767328974,0.002248398262096031,14,1715788997.356103,4753.8603365421295,0.04432271903072966,4758.327330827713,0.0018031284444227414,14
0.000713743446687099,0.0016132785867020993,15,1715789142.7387073,4899.242789268494,0.04655951403772411,4903.7099351882935,0.0008995351400150003,15
0.0008055282680520501,0.001150056015473171,16,1715789479.7355394,5236.2398335933685,0.04573592285197683,5240.706767320633,0.0003445277474211208,16
0.0007658154292019311,0.0009031149126642066,17,1715789614.2949615,5370.799090385437,0.04554358878147068,5375.266189336777,0.0001372994834622754,17
0.0007552527266345219,0.0007987479418361477,18,1715789916.2871344,5672.79149055481,0.044094929101606346,5677.258362293243,4.349521520162593e-05,18
0.000692923470484528,0.0007134815582020842,19,1715790080.122327,5836.626616001129,0.043723055579865916,5841.093554973602,2.055808771755627e-05,19
0.0006788853488685331,0.0006956161817915946,20,1715790178.3816187,5934.885965824127,0.04194798691523865,5939.352846622467,1.6730832923061517e-05,20
0.0006067546519991435,0.0006365013082712936,21,1715790956.647427,6713.150910139084,0.03959093777701193,6717.618654966354,2.9746656272150145e-05,21
0.0005143357906700713,0.0005507540464588773,22,1715791068.8146904,6825.318254709244,0.037289536705591673,6829.785918235779,3.641825578880602e-05,22
0.0004292176188033381,0.0004460075281503301,23,1715791356.2259536,7112.729356765747,0.034320840883519874,7117.197181463242,1.6789909346991985e-05,23
0.0003279456872149898,0.00034808940108572187,24,1715791819.4787366,7575.982193231583,0.03334846356625554,7580.449964523315,2.0143713870732062e-05,24
0.00029721009411254383,0.00031359976528408086,25,1715791959.78787,7716.29132771492,0.03004166113936903,7720.75909781456,1.638967117153702e-05,25
0.00019929395427970955,0.00023672358213761607,26,1715792979.43138,8735.9358522892,0.02948562597853281,8740.402607917786,3.742962785790651e-05,26
0.00018341468167573454,0.00023152622166876282,27,1715793328.587545,9085.091784477234,0.027887027303292976,9089.558772802353,4.811153999302828e-05,27
0.00013920959730393377,0.00017222803786967757,28,1715794229.1240923,9985.62839102745,0.0266202134084426,9990.095320224762,3.30184405657438e-05,28
0.00010565867003911052,0.00018741261030205312,29,1715794575.0687065,10331.573213100433,0.02522038916082756,10336.039934396744,8.175394026294258e-05,29
