step,time,_runtime,loss,_step,l2_error,loss_boundary,loss_interior,_timestamp
0,5.806874752044678,11.870455026626587,18.527327376798556,0,1.07460950883682,0.4768656633850139,18.050461713413544,1716301254.99028
1,11.191427230834961,16.417548894882202,1.7330479943245447,1,1.046636658373477,0.5756307253832698,1.157417268941275,1716301259.5373738
2,15.739097118377686,20.96505618095398,0.6471460509211875,2,1.041077178649099,0.5466053586545193,0.10054069226666819,1716301264.084881
3,20.284107446670532,25.50991415977478,0.6102388004351601,3,1.0393835413072778,0.5409294966581571,0.06930930377700296,1716301268.629739
4,24.829492330551147,30.055477619171143,0.6075836757734889,4,1.038404405605737,0.5392022522568055,0.06838142351668343,1716301273.1753025
5,29.38281536102295,34.609140396118164,0.6072989065720824,5,1.038130627823749,0.5382012348399211,0.06909767173216136,1716301277.7289653
6,33.93036079406738,39.15617561340332,0.6072246166303077,6,1.0369121780226394,0.5379198651282265,0.06930475150208117,1716301282.2760005
7,38.47707676887512,43.70291757583618,0.6063092158265629,7,1.0321174550177448,0.5366567760851795,0.06965243974138344,1716301286.8227425
8,43.024274587631226,48.25059223175049,0.5992238897994537,8,1.0304084032919478,0.5316024740835895,0.06762141571586423,1716301291.370417
9,47.57241368293762,52.79839897155762,0.5415825341948625,9,0.9915920885977189,0.529183387732407,0.012399146462455447,1716301295.9182239
10,52.1199414730072,57.345752000808716,0.49966574676816067,10,0.8327231768575434,0.489228361233682,0.010437385534478634,1716301300.465577
11,56.669118881225586,61.895018100738525,0.4091295954319203,11,0.7996523989287713,0.3432787096550667,0.06585088577685362,1716301305.014843
12,61.21826219558716,66.44424486160278,0.3481872442812163,12,0.7798205104215276,0.3160721921053623,0.03211505217585396,1716301309.5640697
13,65.75243711471558,70.97871375083923,0.3386969634455086,13,0.7632284292076529,0.30022633343570815,0.03847063000980044,1716301314.0985386
14,70.28544330596924,75.5113296508789,0.3022127473648929,14,0.7012326826946609,0.287166666108618,0.015046081256274888,1716301318.6311545
15,74.81739687919617,80.04317045211792,0.26819204105384103,15,0.6955455208526707,0.2412421338272294,0.02694990722661162,1716301323.1629953
16,79.34878873825073,84.57460045814514,0.24040696765483663,16,0.6927094153083211,0.23723450219390552,0.0031724654609311216,1716301327.6944253
17,83.88028192520142,89.10633850097656,0.23797455674304469,17,0.5183710051860759,0.2352428579432429,0.002731698799801771,1716301332.2261634
18,88.41405701637268,93.64037990570068,0.19864409358303142,18,0.4963109236537466,0.12948819118637378,0.06915590239665764,1716301336.7602048
19,92.94936442375183,98.17531490325928,0.12911764179887736,19,0.4963109236537466,0.11810874123391292,0.011008900564964428,1716301341.2951398
20,97.48236846923828,102.70827579498291,0.12911764179887736,20,0.4485471513883172,0.11810874123391292,0.011008900564964428,1716301345.8281007
21,102.01616978645325,107.24207496643066,0.10313219585600063,21,0.44616565468700653,0.09529794935196888,0.00783424650403175,1716301350.3618999
22,106.54965353012085,111.77563190460205,0.09742463805022238,22,0.4430958112850278,0.09424826779671064,0.0031763702535117437,1716301354.8954568
23,111.08351850509644,116.30967140197754,0.09603309603325721,23,0.4244612598249669,0.092881897459923,0.003151198573334222,1716301359.4294963
24,115.61725735664368,120.84360671043396,0.08915743089323701,24,0.422021648580217,0.08472104261410861,0.004436388279128395,1716301363.9634316
25,120.15109252929688,125.37703585624695,0.08463960455432731,25,0.4071516561648574,0.0836946868773662,0.0009449176769611099,1716301368.4968607
26,124.68430876731873,129.9102339744568,0.07864342418473105,26,0.3976457524757628,0.07746131615010773,0.0011821080346233238,1716301373.0300589
27,129.2191288471222,134.4451036453247,0.07472118444880811,27,0.3890222083483186,0.07361447586385717,0.0011067085849509532,1716301377.5649285
28,133.75272130966187,138.97867798805237,0.07152628670964077,28,0.3675292809873926,0.07018663329099588,0.001339653418644894,1716301382.0985029
29,138.28715419769287,143.51321458816528,0.0644495994441707,29,0.3619353580429608,0.06206759097100716,0.002382008473163536,1716301386.6330395
30,142.82102632522583,148.04717421531677,0.06012279974383734,30,0.3598195089703374,0.06001887098914371,0.00010392875469362088,1716301391.166999
31,147.3553545475006,152.5817186832428,0.05978239650582917,31,0.20901958061363454,0.05925308585540277,0.0005293106504264012,1716301395.7015436
32,151.8928816318512,157.11918783187866,0.02587026084074777,32,0.20620058396587515,0.017997579718163424,0.007872681122584343,1716301400.2390127
33,156.42696380615234,161.65310168266296,0.02029832357141729,33,0.2030192740335167,0.017503146789291383,0.002795176782125905,1716301404.7729266
