_timestamp,loss_boundary,loss,_step,_runtime,loss_interior,step,time,l2_error
1716274249.9240386,0.47664447723508735,18.52396178573351,0,86.76919364929199,18.04731730849842,0,80.23246049880981,0.7265097052898858
1716274329.3138046,0.26855499671009614,0.42084510045395673,1,166.1589596271515,0.15229010374386062,1,160.66664481163025,0.46488137333230767
1716274408.8131247,0.10464254785206581,0.1373506595929681,2,245.6582796573639,0.03270811174090228,2,240.16569662094116,0.41356393629011096
1716274488.4273078,0.08179744336552874,0.10006744792655865,3,325.27246284484863,0.01827000456102991,3,319.77892303466797,0.32963890362158144
1716274568.1351843,0.051003743688948326,0.06241631443375621,4,404.98033928871155,0.011412570744807884,4,399.4860534667969,0.14290381014108494
1716274647.948972,0.008988749691142873,0.02154706922831195,5,484.7941269874573,0.012558319537169078,5,479.3000400066376,0.07282069204555629
1716274727.7964625,0.0022868225125315038,0.009998337822199515,6,564.6416175365448,0.00771151530966801,6,559.1476638317108,0.05059553023324555
1716274807.6395402,0.001039740449219317,0.0069355355872045095,7,644.4846951961517,0.005895795137985192,7,638.9902291297913,0.04311228640394984
1716274887.489766,0.0007722477884721435,0.004917408955372777,8,724.3349208831787,0.004145161166900634,8,718.8378460407257,0.041051279735281894
1716274967.3468406,0.0006808918915544272,0.003671134062959958,9,804.1919956207275,0.0029902421714055306,9,798.6964991092682,0.0377770954467484
1716275047.2038705,0.0005386989081272537,0.0024560165082617054,10,884.0490255355835,0.0019173176001344517,10,878.5522568225861,0.03622910972320041
1716275127.0643413,0.0004711733148609339,0.0017115782532560624,11,963.909496307373,0.0012404049383951286,11,958.412561416626,0.035713095864425726
1716275206.9262028,0.00044488758395918535,0.001350264211981145,12,1043.7713577747345,0.0009053766280219597,12,1038.274050951004,0.03509838309792907
1716275286.7852492,0.0004366744103001174,0.001202986618257785,13,1123.6304042339325,0.0007663122079576677,13,1118.1324203014374,0.03554370200314165
1716275366.6432507,0.00043201621850927027,0.001071334445382982,14,1203.4884057044983,0.0006393182268737117,14,1197.990656375885,0.03515873890061408
1716275446.506221,0.0004118505871608314,0.0009112984184965958,15,1283.3513760566711,0.0004994478313357644,15,1277.8534700870514,0.03414397759450513
1716275526.380814,0.00038074227815745236,0.0007349456250137384,16,1363.2259690761566,0.0003542033468562861,16,1357.7279334068298,0.03315454685585572
1716275606.2637699,0.0003301884899819395,0.0006188509802267206,17,1443.1089248657227,0.00028866249024478115,17,1437.610934495926,0.032486553274414
1716275686.139439,0.0002982367627213237,0.0005404459942485581,18,1522.9845941066742,0.00024220923152723438,18,1517.4865820407867,0.031147325950495176
1716275766.0126863,0.00026869207418856524,0.0004804143629805026,19,1602.8578412532806,0.00021172228879193735,19,1597.3597779273987,0.030643353376736744
1716275845.8879478,0.00023917671170725123,0.00043288750271162164,20,1682.733102798462,0.00019371079100437044,20,1677.235013961792,0.029933363008692607
1716275925.7623656,0.00021958237925067924,0.00040169961376112644,21,1762.6075205802917,0.0001821172345104472,21,1757.1094493865967,0.02928818588459643
1716276005.6236634,0.00019613914121258003,0.0003646415144835587,22,1842.4688184261322,0.0001685023732709787,22,1836.9707474708557,0.029066063152572978
1716276085.544554,0.00043029283123315444,0.0007428092229809326,23,1922.389708995819,0.00031251639174777814,23,1916.8915610313416,0.028837364030007955
1716276165.4112215,0.0003896651308388405,0.0006184057260050555,24,2002.256376504898,0.00022874059516621496,24,1996.7581493854523,0.02888703286686157
1716276245.2717957,0.000382996679579899,0.0005906564723599894,25,2082.116950750351,0.00020765979278009042,25,2076.6187727451324,0.02880694361047069
1716276325.1420128,0.0003583958395631423,0.0005437250802583653,26,2161.9871678352356,0.000185329240695223,26,2156.488959312439,0.028323884052767773
1716276404.9983642,0.0003298254709300881,0.0004853447991254768,27,2241.8435192108154,0.00015551932819538868,27,2236.345283985138,0.02842322405037278
1716276484.8510141,0.0003097978176878459,0.00044984605818417,28,2321.6961691379547,0.0001400482404963241,28,2316.197958469391,0.02731035716094103
1716276564.702464,0.00026536934723594177,0.0003938944917944053,29,2401.5476191043854,0.00012852514455846358,29,2396.049454689026,0.026295276065392614
1716276644.5676153,0.00022523190770729328,0.0003293224675781493,30,2481.4127702713013,0.00010409055987085607,30,2475.9145233631134,0.02517035435684964
1716276724.4247868,0.00018512749398282065,0.00028399873414969594,31,2561.269941806793,9.887124016687532e-05,31,2555.771722793579,0.024758573572333197
1716276804.2853007,0.00016747269822808621,0.00025703197387138204,32,2641.1304557323456,8.955927564329583e-05,32,2635.632314682007,0.023558547846752903
1716276884.1484919,0.00014538050266012746,0.00022752740143035932,33,2720.9936468601227,8.214689877023185e-05,33,2715.4953756332397,0.023023707440719975
1716276964.0097294,0.00013061052121284458,0.00020689815868935653,34,2800.8548843860626,7.628763747651196e-05,34,2795.356678009033,0.022459448250269447
1716277043.8785818,0.00011947136781655987,0.00018970580169615616,35,2880.7237367630005,7.023443387959628e-05,35,2875.225287914276,0.022122722405360215
1716277123.7418485,0.00011112324839054389,0.00017811451514203664,36,2960.587003469467,6.699126675149274e-05,36,2955.088860988617,0.022126576826548342
1716277203.607303,0.0001068133486263458,0.00017192870195852284,37,3040.4524579048157,6.511535333217704e-05,37,3034.954202890396,0.022053978040103134
1716277283.4788108,0.00010127173661672356,0.00016359773586266868,38,3120.3239657878876,6.232599924594511e-05,38,3114.825852870941,0.021842861862885584
1716277363.3398793,9.432665447020301e-05,0.0001531240996063131,39,3200.185034275055,5.8797445136110094e-05,39,3194.6868958473206,0.021780219786170042
