time,step,_runtime,_step,_timestamp,l2_error,loss,loss_boundary,loss_interior
1.093207597732544,0,7.453417062759399,0,1716206103.104085,1.6403176573631961,18.526659014094257,0.4787011531940398,18.047957860900215
3.5138370990753174,1,9.547251224517822,1,1716206105.1979191,2.4380532136107607,16.5828025453812,1.353015204146581,15.22978734123462
5.60859489440918,2,11.641358375549316,2,1716206107.2920263,3.3000750797165446,15.436550112084156,2.9807473135437177,12.455802798540438
7.7023115158081055,3,13.734756231307983,3,1716206109.3854241,3.4514114863621463,15.420470263956535,5.4524829066430085,9.967987357313525
9.795714855194092,4,15.827904224395752,4,1716206111.4785721,3.059073734795565,15.110466118456747,5.960180721169049,9.150285397287698
11.888595581054688,5,17.924272537231445,5,1716206113.5749404,2.564589636594183,14.298298202253578,4.6805683264428275,9.61772987581075
13.984448909759521,6,20.01741099357605,6,1716206115.668079,2.3741412965709943,13.849505870545142,3.2877618496895544,10.561744020855588
16.078023195266724,7,22.110264539718628,7,1716206117.7609324,2.574231989843895,13.453223219987237,2.813376156098291,10.639847063888945
18.170089721679688,8,24.202921152114868,8,1716206119.853589,3.0430203645072407,12.663666608732377,3.3005908731903326,9.363075735542045
20.26300597190857,9,26.297067403793335,9,1716206121.9477353,3.4306232580356455,11.865341344106785,4.60253061015306,7.262810733953725
22.357481956481934,10,28.389060497283936,10,1716206124.0397284,3.3073377570993285,11.34114243422475,5.83564892909826,5.505493505126491
24.44888734817505,11,30.48120427131653,11,1716206126.1318722,2.7575685894466955,10.447649880248672,5.402246583407295,5.045403296841377
26.540691375732422,12,32.57239890098572,12,1716206128.2230668,2.298101520786363,9.443612509292603,3.7271953994508875,5.716417109841714
28.63207221031189,13,34.664347887039185,13,1716206130.3150158,2.516388528347561,8.73140068381381,2.557602990195645,6.173797693618165
30.724562406539917,14,36.75623345375061,14,1716206132.4069014,3.069222745377135,7.445063908872076,3.0441322439903167,4.4009316648817585
32.81594920158386,15,38.847657918930054,15,1716206134.4983258,2.6438852467884635,6.533485658703058,4.511133634130174,2.022352024572884
34.90785264968872,16,40.9398078918457,16,1716206136.5904758,1.655773433065823,5.259942763794463,3.2842276834301494,1.9757150803643135
36.999993085861206,17,43.0318877696991,17,1716206138.6825557,2.3465122747416114,4.796113306020919,1.2396768068624853,3.5564364991584334
39.09150457382202,18,45.12327790260315,18,1716206140.7739458,2.1085134029346957,3.64709210777013,2.4993488253179073,1.1477432824522227
41.1836998462677,19,47.215083599090576,19,1716206142.8657515,1.1295178475538017,3.054386855487702,1.9828656722921243,1.0715211831955775
43.27540373802185,20,49.30772113800049,20,1716206144.958389,2.0158198385605393,3.4822688729656175,0.6405557075156246,2.8417131654499928
45.36760902404785,21,51.400832176208496,21,1716206147.0515,1.168863463300529,2.970338227367728,1.7751776481457795,1.1951605792219488
47.46066761016846,22,53.493767738342285,22,1716206149.1444356,1.0866429928175898,1.5865069861739527,0.615264211596366,0.9712427745775867
49.55269432067871,23,55.58712339401245,23,1716206151.2377913,1.159749969808738,2.1851016807090256,0.676041257073471,1.5090604236355545
51.64716839790344,24,57.68127918243408,24,1716206153.331947,0.7952353510637008,1.4898348550921323,0.5641540724078181,0.9256807826843143
53.74100184440613,25,59.77499318122864,25,1716206155.425661,1.101957156154177,0.8539035292064485,0.27248918980417575,0.5814143394022728
55.835684299468994,26,61.8686945438385,26,1716206157.5193624,0.5589094043630939,1.4486217706786553,0.672601132704284,0.7760206379743714
57.928194999694824,27,63.96205401420593,27,1716206159.612722,0.772623965768782,0.5212934405654347,0.1435168652232539,0.3777765753421808
60.021172523498535,28,66.05550026893616,28,1716206161.7061682,0.6856034379552105,0.9999363874330005,0.26246011212141973,0.7374762753115808
62.11404490470886,29,68.1491641998291,29,1716206163.799832,0.7013264399930242,0.5905282445619299,0.2416876148230244,0.3488406297389055
64.20896673202515,30,70.24285960197449,30,1716206165.8935275,0.6756307354484957,0.651613751353656,0.24769067521522808,0.40392307613842793
66.30337476730347,31,72.33689284324646,31,1716206167.9875607,0.6225650145974396,0.6197900403930066,0.23002514879726102,0.3897648915957455
68.39721703529358,32,74.43079996109009,32,1716206170.0814679,0.5621956662530152,0.4901263832011152,0.2020582148093943,0.2880681683917209
70.49087929725647,33,76.52382159233093,33,1716206172.1744895,0.4685617086676166,0.603733113968736,0.15338288037324635,0.4503502335954896
72.5834436416626,34,78.61678123474121,34,1716206174.2674491,0.7594171813241679,0.45182244661690146,0.11076422843756666,0.3410582181793348
74.6764805316925,35,80.70980596542358,35,1716206176.3604739,0.6688861840677763,0.5480287602884851,0.3119518997581395,0.23607686053034566
76.76967811584473,36,82.80396819114685,36,1716206178.454636,0.4377253468666249,0.4417093054027986,0.2445382132525592,0.19717109215023945
78.86346387863159,37,84.89969158172607,37,1716206180.5503595,0.4209007233010788,0.475207252125799,0.09606837548941738,0.3791388766363816
80.9591736793518,38,86.9956066608429,38,1716206182.6462746,0.6318828819182466,0.4249509147543946,0.09002500684666727,0.33492590790772736
83.05551028251648,39,89.09121584892273,39,1716206184.7418838,0.6368531803341516,0.38807291556073054,0.21699941962650873,0.1710734959342218
85.15022587776184,40,91.18717193603516,40,1716206186.8378398,0.3870655546374328,0.3904340060483308,0.2188577384790586,0.17157626756927216
89.15873861312866,42,95.19381356239319,41,1716206190.8444815,0.42505773245901635,0.34719568103305526,0.08009896164073797,0.26709671939231727
96.98739719390869,46,103.0247004032135,42,1716206198.6753683,0.3379885491783855,0.28224729741762894,0.09569424626606567,0.18655305115156326
