loss,_timestamp,step,_step,_runtime,l2_error,loss_interior,time,loss_boundary
18.52444184803098,1715849857.7145417,0,0,5.659440755844116,1.000642331631406,18.04710883885308,1.105773687362671,0.4773330091778972
18.42023700962827,1715849858.2805088,1,1,6.225407838821411,1.0543900264215758,17.91557030106877,1.9686229228973389,0.5046667085594998
18.220261397134866,1715849858.8463476,2,2,6.791246652603149,1.132532077750458,17.660221374608703,2.5339784622192383,0.5600400225261647
17.936565524698935,1715849859.4123719,3,3,7.357270956039429,1.2339317104067549,17.2908798213198,3.099949598312378,0.6456857033791348
17.58201020398937,1715849859.9782057,4,4,7.923104763031006,1.3589579149559112,16.81610826377665,3.6657216548919678,0.7659019402127215
17.168183225236575,1715849860.544152,5,5,8.489051103591919,1.510207015634768,16.23993600728478,4.232280969619751,0.9282472179517943
16.705379010466423,1715849861.1103685,6,6,9.055267572402954,1.6927600952721278,15.559897703603378,4.797886610031128,1.1454813068630443
16.2056800077886,1715849861.6762874,7,7,9.62118649482727,1.9135979874029292,14.767615505797362,5.363565683364868,1.4380645019912404
15.689525875712274,1715849862.2436464,8,8,10.18854546546936,2.17959284965924,13.853092805699822,5.929896831512451,1.8364330700124532
15.194340195654858,1715849862.80971,9,9,10.754609107971191,2.4933372610225217,12.813501145616941,6.49690580368042,2.3808390500379173
14.779364126889597,1715849863.3758595,10,10,11.320758581161499,2.8464492942232362,11.6656817904356,7.063751459121704,3.113682336453995
14.513967255152682,1715849863.9420276,11,11,11.886926651000977,3.2117074944502555,10.458058697223093,7.629199504852295,4.055908557929588
14.43506032493612,1715849864.5082488,12,12,12.453147888183594,3.538593991079181,9.273689126453549,8.195290088653564,5.161371198482571
14.480986877772178,1715849865.074975,13,13,13.019874095916748,3.759165166361238,8.217555292625702,8.76929259300232,6.263431585146475
14.459341454787618,1715849865.640901,14,14,13.585800170898438,3.807845660691635,7.392315050603032,9.327881574630737,7.067026404184586
14.12827167288181,1715849866.207109,15,15,14.152008056640625,3.6485996968835606,6.8779138547059295,9.895335912704468,7.250357818175881
13.380378214139093,1715849866.7729418,16,16,14.717840909957886,3.2939746458255676,6.723884230174187,10.460174560546875,6.656493983964904
12.368955125016711,1715849867.338637,17,17,15.283536195755005,2.8031838423068,6.942957440957874,11.02653455734253,5.425997684058839
11.41977841966048,1715849867.9042897,18,18,15.849188804626465,2.2609941231386097,7.4891828652204335,11.592097759246826,3.930595554440046
10.785297257986283,1715849868.4696572,19,19,16.41455626487732,1.7534591966997015,8.226917928580038,12.157646417617798,2.5583793294062454
10.461308368869595,1715849869.035228,20,20,16.980127096176147,1.3562471840527728,8.921415419173542,12.723512411117554,1.5398929496960536
10.189934947591727,1715849869.6003947,21,21,17.5452938079834,1.1367199651269064,9.26774504380879,13.28831696510315,0.9221899037829384
9.594104117302358,1715849870.1654894,22,22,18.11038851737976,1.1581577423817293,8.945810024744455,13.853453159332275,0.6482940925579027
8.38084887788447,1715849870.7305417,23,23,18.675440788269043,1.4720477212004366,7.708457044983714,14.418782711029053,0.6723918329007553
6.6442333921522865,1715849871.2955303,24,24,19.240429401397705,2.0648752572588065,5.560699111954265,14.98398756980896,1.0835342801980217
5.151526980623126,1715849871.8606284,25,25,19.805527448654175,2.7237895194333284,3.024364970090655,15.549741506576538,2.1271620105324707
4.779469933686195,1715849872.4255633,26,26,20.37046241760254,2.9456549566375747,1.08328235346533,16.113996505737305,3.696187580220865
4.61275410062465,1715849872.9902515,27,27,20.935150623321533,2.215835712701917,0.2941907701645349,16.679056644439697,4.3185633304601145
2.714440946530946,1715849873.5563762,28,28,21.501275300979614,0.7855069294821964,0.272526291141958,17.244428873062134,2.4419146553889877
1.265734549637271,1715849874.121389,29,29,22.066287994384766,1.2510068763753635,0.9498288821935091,17.810251235961914,0.3159056674437617
2.810476694569159,1715849874.6859512,30,30,22.630850315093994,1.4794528688361672,2.000259284500402,18.37488579750061,0.8102174100687567
2.1665342305187556,1715849875.250734,31,31,23.19563317298889,0.9108429445846979,1.0341091352164848,18.939555406570435,1.132425095302271
1.1891093706241938,1715849875.8156137,32,32,23.760512828826904,1.4371527503663168,0.7541076812209061,19.504098653793335,0.43500168940328765
4.700715239208601,1715849876.3802981,33,33,24.325197219848633,1.6111988052311472,3.6671485660726977,20.068446397781372,1.0335666731359034
2.340396050754342,1715849876.944995,34,34,24.889894008636475,3.4252686136636985,0.9836675573343996,20.633689880371094,1.3567284934199424
6.389864402085047,1715849877.5095434,35,35,25.454442501068115,2.065984166549258,0.427206567311012,21.198310136795044,5.962657834774035
3.3497640838121843,1715849878.0742896,36,36,26.01918864250183,0.9679290385624243,1.1478701436808214,21.76329731941223,2.201893940131363
5.943431205394907,1715849878.6385837,37,37,26.58348274230957,1.151692032503032,5.465132926286747,22.327466249465942,0.47829827910815914
2.698901155392962,1715849879.2030015,38,38,27.147900581359863,2.4811509314736515,2.0059471058117873,22.89205551147461,0.6929540495811745
3.2480806645400353,1715849879.7673144,39,39,27.71221351623535,2.2846512340503917,0.12244590828548536,23.4561665058136,3.12563475625455
2.8389904602937226,1715849880.331779,40,40,28.27667808532715,0.9606168910649526,0.19335447445858636,24.020461797714233,2.645635985835136
0.8599170220415933,1715849881.277512,42,41,29.222411155700684,1.130825201097934,0.5501389153505309,24.966410636901855,0.30977810669106237
1.6860863955716163,1715849882.98542,46,42,30.93031907081604,0.5670888642993859,1.5146014120551816,26.6742684841156,0.17148498351643482
1.5284485983546439,1715849884.6954317,50,43,32.64033079147339,2.0318649290726847,0.3542205208297351,28.38289523124695,1.1742280775249088
