l2_error,loss_boundary,loss_interior,_step,_runtime,step,time,loss,_timestamp
2.1177512258042004,0.4738258218440894,18.04912052040323,0,16.139777421951294,0,11.9570152759552,18.522946342247316,1716469698.6322205
0.2949262498046266,2.237994109691672,14.091728576962788,1,27.0832839012146,1,23.284095764160156,16.32972268665446,1716469709.575727
2.323118855221705,0.04346961273563043,12.197195551093536,2,38.00319218635559,2,34.20529246330261,12.240665163829167,1716469720.4956353
1.0925081452510639,2.659626528659914,3.4186685777349406,3,49.00816869735718,3,45.20529055595398,6.0782951063948545,1716469731.5006118
0.9385900546124865,0.5808827228612977,2.8793715152251105,4,59.90801954269409,4,56.10482215881348,3.4602542380864083,1716469742.4004626
0.6045881778543161,0.4279436692155357,0.2469402681928599,5,70.80843257904053,5,67.0108528137207,0.6748839374083957,1716469753.3008757
0.7424140875603552,0.1933535824791988,0.3003473736287597,6,81.72875809669495,6,77.92774534225464,0.4937009561079585,1716469764.2212012
0.6502076550295164,0.2729313478150269,0.09721818422223735,7,92.64965081214905,7,88.85209894180298,0.3701495320372643,1716469775.142094
0.640520651085223,0.21513523633226198,0.12111268530117672,8,103.49935293197632,8,99.69894051551819,0.3362479216334387,1716469785.991796
0.6109626462052706,0.20906577793696934,0.06448996532820636,9,114.46609807014465,9,110.66475558280945,0.27355574326517573,1716469796.9585412
0.6186521643500681,0.1938476983472284,0.061043450082679654,10,125.32849597930908,10,121.53104615211487,0.25489114842990807,1716469807.820939
0.5886638748353562,0.19200070430668476,0.045144203769584564,11,136.2244472503662,11,132.42618608474731,0.2371449080762693,1716469818.7168903
0.5923684218115202,0.17722716069835842,0.04685983635897878,12,147.14691805839539,12,143.34864974021912,0.2240869970573372,1716469829.6393611
0.5742101578821839,0.1793570394844854,0.035102595783221044,13,158.08465957641602,13,154.28652930259705,0.21445963526770645,1716469840.5771027
0.575974154844905,0.17107041642371712,0.03855009355908592,14,168.9843771457672,14,165.18619394302368,0.20962050998280304,1716469851.4768202
0.5814040719366815,0.17096103425782855,0.033927145107062476,15,179.84436082839966,15,176.0460286140442,0.204888179364891,1716469862.336804
0.5681440029314688,0.172130868251267,0.02944011274073319,16,190.80886101722717,16,187.0102937221527,0.2015709809920002,1716469873.301304
0.5720928265053221,0.1665430161177154,0.032228597646008335,17,201.70697283744812,17,197.9088203907013,0.19877161376372374,1716469884.199416
0.5481644089326262,0.16725398998710275,0.028806134497253333,18,212.64014291763306,18,208.83694529533386,0.19606012448435609,1716469895.132586
0.5504016196624932,0.15580367670503142,0.028670626986624443,19,223.57684326171875,19,219.7785768508911,0.18447430369165588,1716469906.0692863
0.5445096262116969,0.15311477467326928,0.02147493164172912,20,234.5172381401062,20,230.7186644077301,0.1745897063149984,1716469917.0096812
0.5480374562535837,0.15078987924733758,0.022070162055730976,21,245.40022826194763,21,241.60208439826965,0.17286004130306856,1716469927.8926713
0.5399886733429285,0.15117092485159409,0.020096403581990663,22,256.29639434814453,22,252.4981427192688,0.17126732843358475,1716469938.7888374
0.5421758027202919,0.14829921847106478,0.021541747067017558,23,267.26978182792664,23,263.47142148017883,0.16984096553808234,1716469949.762225
0.5391828652634311,0.14829440776340697,0.020000720112351936,24,278.1845872402191,24,274.38616490364075,0.1682951278757589,1716469960.6770303
0.5410505709064293,0.1467739956879806,0.019592424766962654,25,289.1230003833771,25,285.32468581199646,0.16636642045494326,1716469971.6154435
0.5313982215193773,0.14533889030472416,0.016456293689416684,26,300.05200934410095,26,296.25094962120056,0.16179518399414083,1716469982.5444524
0.5345233571012383,0.14174491474508666,0.017551302923679096,27,311.02428698539734,27,307.2257707118988,0.15929621766876575,1716469993.51673
0.5240474692777227,0.14081811555595447,0.015084600438088763,28,321.96851325035095,28,318.1700851917267,0.15590271599404323,1716470004.4609563
0.5288501940924462,0.1369953278521399,0.01617160024027522,29,332.94498777389526,29,329.14639830589294,0.1531669280924151,1716470015.4374309
0.5175614614035319,0.1369067324354082,0.013786006318110706,30,343.8956778049469,30,340.0973970890045,0.1506927387535189,1716470026.388121
0.5192589122322548,0.1328350045892655,0.014779835575789884,31,354.86547017097473,31,351.06702184677124,0.14761484016505538,1716470037.3579133
0.5143529883907368,0.13225220861397582,0.013612490469112554,32,365.80404686927795,32,362.00630044937134,0.14586469908308838,1716470048.29649
0.5166036087311991,0.13057633581267186,0.01414547367808282,33,376.6728734970093,33,372.87521624565125,0.1447218094907547,1716470059.1653166
0.5032000929385315,0.12837632280941533,0.011421719002213877,34,387.65872716903687,34,383.8610541820526,0.1397980418116292,1716470070.1511703
0.5063305760059349,0.12364433628313236,0.012222594717505178,35,398.55012679100037,35,394.7526454925537,0.13586693100063754,1716470081.0425699
0.5003846715772544,0.12357706541564116,0.01128896744957984,36,409.5201132297516,36,405.7220826148987,0.134866032865221,1716470092.0125563
0.5026943877685981,0.12164311910329907,0.011874567482944812,37,420.40714144706726,37,416.60941886901855,0.13351768658624388,1716470102.8995845
0.4955827812672965,0.12093426627127604,0.010387224435838538,38,431.26311111450195,38,427.46542620658875,0.13132149070711457,1716470113.7555542
0.4997806295674751,0.11861684991190895,0.010999598795961381,39,442.12619161605835,39,438.32858514785767,0.12961644870787034,1716470124.6186347
0.4904851969758256,0.11846557048255123,0.009842434666984513,40,452.9740025997162,40,449.17639231681824,0.12830800514953575,1716470135.4664457
0.4886417336994827,0.11544847004683044,0.009580594798826792,41,474.46895027160645,42,470.6710910797119,0.12502906484565723,1716470156.9613934
