_runtime,_step,_timestamp,loss_interior,loss,step,time,l2_error,loss_boundary
9.496414422988892,0,1715839817.8458164,18.047992919827074,18.525712720411253,0,4.460149765014648,0.9732093246326954,0.47771980058417735
15.596288442611694,1,1715839823.9456904,18.04795826932223,18.52568216074328,1,11.15330719947815,0.48994016236417515,0.47772389142104965
21.697720289230347,2,1715839830.0471222,2.00414278690866,2.129171412584997,2,17.255099296569824,0.6118385220047072,0.1250286256763375
27.797330141067505,3,1715839836.146732,0.20509419481921923,0.40343503847767986,3,23.354734897613525,0.5765414694109243,0.19834084365846064
33.89460325241089,4,1715839842.2440052,0.08978006039307655,0.26566361482650347,4,29.451547622680664,0.46532152478695504,0.17588355443342693
39.9926438331604,5,1715839848.3420458,0.050539712020656956,0.16443674789547563,5,35.54869818687439,0.44200301710123074,0.11389703587481868
46.08860421180725,6,1715839854.4380062,0.026091539487548842,0.1282944672484547,6,41.64574837684631,0.4114917718905222,0.10220292776090587
52.18559122085571,7,1715839860.5349932,0.012571051885380387,0.09982747943419798,7,47.74270844459534,0.392150967855784,0.08725642754881759
58.281882524490356,8,1715839866.6312845,0.007622233440798655,0.08609417299043944,8,53.839327812194824,0.38978453438078614,0.07847193954964078
64.37927627563477,9,1715839872.7286782,0.007403925773071441,0.0848419187798907,9,59.93598651885986,0.36168290324968266,0.07743799300681925
70.47601294517517,10,1715839878.825415,0.00449503387080076,0.06979829112393278,10,66.03295469284058,0.35182769520754986,0.06530325725313202
76.57452344894409,11,1715839884.9239254,0.006854673235791108,0.06821246961146361,11,72.12962985038757,0.30722515621450247,0.0613577963756725
82.72095227241516,12,1715839891.0703542,0.014267554104312328,0.06282834979564635,12,78.2781674861908,0.1908817677137943,0.048560795691334015
88.81848859786987,13,1715839897.1678905,0.04263238789631325,0.061127198210916375,13,84.37529110908508,0.17319390170026028,0.018494810314603132
94.90088891983032,14,1715839903.2502909,0.01206493449281231,0.027205048422741372,14,90.45795583724976,0.17201410235287987,0.015140113929929061
100.9844479560852,15,1715839909.33385,0.010999350585204884,0.025930853074541106,15,96.54168605804443,0.16840886870839292,0.014931502489336224
107.0707893371582,16,1715839915.4201913,0.004594377753274735,0.018794857522222604,16,102.62792372703552,0.1671171885229874,0.01420047976894787
113.1573269367218,17,1715839921.506729,0.0040618841144899765,0.01801702048217737,17,108.7143166065216,0.1637891377059712,0.013955136367687394
119.24443769454956,18,1715839927.5938396,0.0017427216486089658,0.015016599195772045,18,114.80118989944458,0.16193404082179533,0.013273877547163079
125.33143520355225,19,1715839933.6808372,0.0014999557177318818,0.014419820921288972,19,120.88863468170166,0.16019203641880883,0.01291986520355709
131.4189784526825,20,1715839939.7683804,0.0013133038746206958,0.013885622600585746,20,126.97626256942749,0.15751760333300507,0.012572318725965051
137.50706791877747,21,1715839945.8564699,0.0012011961733936673,0.013273194148729147,21,133.0643434524536,0.15392957495656096,0.01207199797533548
143.59950804710388,22,1715839951.94891,0.0010489395798105577,0.012446818299351552,22,139.15671944618225,0.14963753371357102,0.011397878719540995
149.6878786087036,23,1715839958.0372806,0.0010274634901271083,0.011674542030128214,23,145.24476981163025,0.14479557463891884,0.010647078540001105
155.8252716064453,24,1715839964.1746736,0.012263972077901874,0.022821474425466722,24,151.38243126869202,0.12518892505607146,0.010557502347564848
161.9153299331665,25,1715839970.264732,0.008647078979931234,0.01651747618570132,25,157.47263860702515,0.11302428866280274,0.007870397205770084
168.00501918792725,26,1715839976.3544211,0.007770860841406139,0.0141652345613683,26,163.5623161792755,0.08576422596092302,0.00639437371996216
174.09582424163818,27,1715839982.4452262,0.005120689661994807,0.00877482768336543,27,169.6531445980072,0.06892486828760913,0.0036541380213706213
180.18705010414124,28,1715839988.536452,0.0016583942194433091,0.003996828368911381,28,175.74431896209717,0.06605240296810666,0.0023384341494680715
186.2789661884308,29,1715839994.6283681,0.0011405627593547472,0.0032742602432458195,29,181.83606147766113,0.0616388533619319,0.0021336974838910725
192.37020111083984,30,1715840000.719603,0.00040837403665686247,0.0022501819301431352,30,187.92711758613586,0.06079108165649366,0.0018418078934862726
198.46112036705017,31,1715840006.8105223,0.000310187688940056,0.002094315479032207,31,194.01839065551758,0.06012272425470698,0.001784127790092151
204.5520884990692,32,1715840012.9014904,0.00016499182199612088,0.0018992875745739574,32,200.10926699638367,0.05846976762672897,0.0017342957525778365
210.642560005188,33,1715840018.991962,5.7030052377976076e-05,0.0016742151747581252,33,206.1998999118805,0.05785631641638338,0.0016171851223801491
216.74583268165588,34,1715840025.0952346,6.012850941301188e-05,0.0016328146594443934,34,212.3028371334076,0.05700220554697316,0.0015726861500313816
222.8520770072937,35,1715840031.201479,7.445653823406823e-05,0.001588698603065074,35,218.4090495109558,0.05583374348174866,0.0015142420648310056
229.00851249694824,36,1715840037.3579144,0.009546703868248782,0.011140501380479884,36,224.56525254249573,0.04682494541292951,0.001593797512231102
235.1149251461029,37,1715840043.464327,0.006816935314558932,0.00793660834208713,37,230.6715486049652,0.038279222475898496,0.001119673027528199
241.22328662872314,38,1715840049.5726886,0.004593786061737446,0.005342089995771309,38,236.78016138076782,0.03398345656819174,0.0007483039340338631
247.33320116996765,39,1715840055.6826031,0.003273181112882875,0.0038640665508845734,39,242.89009475708008,0.03286045824600714,0.0005908854380016987
253.4413616657257,40,1715840061.7907636,0.0011451890876324885,0.0016925414169423358,40,248.99833393096924,0.03269688535431381,0.0005473523293098474
265.4704532623291,41,1715840073.8198552,0.00029268414212228695,0.0008239519565661597,42,261.0275127887726,0.032544557259200656,0.0005312678144438728
