_step,_timestamp,_runtime,l2_error,loss_boundary,loss,time,loss_interior,step
0,1715589257.8157485,7.656158447265625,1.5674665023349617,1.6761577093521625,121.7103350429466,1.1182122230529785,120.03417733359443,0
1,1715589257.8552158,7.6956257820129395,1.5634252620407532,1.3262905335929362,121.56114296891602,2.3136208057403564,120.23485243532308,1
2,1715589257.8783865,7.718796491622925,1.5596174291641898,1.4841589355408815,121.93909425099787,2.336852788925171,120.45493531545699,2
3,1715589257.902935,7.743345022201538,1.5556192368115616,1.3874938822162683,124.36889113450486,2.3610472679138184,122.9813972522886,3
4,1715589257.9227889,7.7631988525390625,1.551197209570645,1.3340657058275287,120.3111714714675,2.3809971809387207,118.97710576563998,4
5,1715589257.9409058,7.781315803527832,1.5470807851561401,1.5309391977504925,121.5905616458335,2.399015426635742,120.059622448083,5
6,1715589257.9587197,7.7991297245025635,1.5431485903016169,1.4363806555372776,120.85950171725894,2.4169044494628906,119.42312106172166,6
7,1715589257.97643,7.816839933395386,1.5392917929234007,1.3028086775679621,119.54717871320295,2.4346671104431152,118.24437003563499,7
8,1715589257.9946375,7.835047483444214,1.5353826208665673,1.5194871770248723,119.08109591470581,2.4527649879455566,117.56160873768094,8
9,1715589258.0126526,7.853062629699707,1.531349297040427,1.5111117625122097,118.47626404736482,2.4708645343780518,116.9651522848526,9
10,1715589258.0304322,7.870842218399048,1.5273781014808716,1.3709444832077144,126.59560098945013,2.488614082336426,125.22465650624243,10
11,1715589258.0482283,7.888638257980347,1.5231084392585374,1.4654808065425649,120.39822748377581,2.506375312805176,118.93274667723325,11
12,1715589258.0674844,7.9078943729400635,1.5187347758397536,1.3553610249562444,119.54200569853312,2.5244040489196777,118.18664467357688,12
13,1715589258.085251,7.925661087036133,1.5144284480669743,1.4791597632257263,123.39230356664845,2.5434787273406982,121.91314380342273,13
14,1715589258.1035078,7.943917751312256,1.510414553333523,1.4186609483317087,125.9148136258301,2.5616817474365234,124.4961526774984,14
15,1715589258.1215274,7.961937427520752,1.5064653075765422,1.242243039894532,122.85161649106996,2.579669237136841,121.60937345117543,15
16,1715589258.1394563,7.97986626625061,1.502386633096661,1.3726307506098985,124.77074947340313,2.5976803302764893,123.39811872279323,16
