loss,loss_interior,l2_error,step,time,_step,_runtime,_timestamp,loss_boundary
121.7103350429466,120.03417733359443,1.5994745098261682,0,1.4659843444824219,0,5.776606798171997,1715397497.3546598,1.6761577093521625
119.98687260819902,118.70865761781855,1.2656260407504518,1,2.070542097091675,1,6.005614995956421,1715397497.583668,1.2782149903804818
113.87502718710685,112.93104824358252,1.219329960413581,2,2.3373658657073975,2,6.272401571273804,1715397497.8504546,0.9439789435243338
105.46828563169474,104.69881370189874,1.245335886536565,3,2.5802273750305176,3,6.515246868133545,1715397498.0932999,0.7694719297959989
86.96641081328653,86.1483421613792,0.7896933509223003,4,2.852095603942871,4,6.787128210067749,1715397498.3651812,0.8180686519073177
73.76024083522317,73.4063485794564,0.7452998647939504,5,3.1523654460906982,5,7.0887274742126465,1715397498.6667805,0.35389225576675926
54.72413749038681,54.38671366433669,0.4445718886166804,6,3.4128103256225586,6,7.3478171825408936,1715397498.9258702,0.33742382605011983
47.567642241140376,47.456126616806046,0.9615648603466778,7,3.6530537605285645,7,7.588036060333252,1715397499.166089,0.11151562433432988
33.61913344671885,33.14093759293963,0.4531613039947198,8,3.85477352142334,8,7.790126085281372,1715397499.368179,0.47819585377921714
28.287492682411735,28.127424498311445,0.8195388233614279,9,4.0596301555633545,9,7.994776725769043,1715397499.5728297,0.16006818410029097
24.418942252897466,24.081116422836594,0.5592135829621074,10,4.293107748031616,10,8.228241443634033,1715397499.8062944,0.3378258300608708
20.403361054482897,20.13733755112646,1.0784872183401533,11,4.487185955047607,11,8.422268867492676,1715397500.0003219,0.2660235033564366
14.713165317123913,14.074061479886435,0.8295170775872515,12,4.684231519699097,12,8.619815826416016,1715397500.1978688,0.6391038372374773
13.042015796973907,12.528271402144078,1.0143518439149386,13,4.865201473236084,13,8.800604104995728,1715397500.378657,0.5137443948298284
12.363487987320957,11.712336977404503,0.9869784013700373,14,5.055886745452881,14,8.991252660751343,1715397500.5693057,0.6511510099164546
11.282617455481553,10.641014681956669,1.0862482253740553,15,5.245113134384155,15,9.180118799209595,1715397500.7581718,0.6416027735248832
11.035381166883008,10.221701663484662,1.085250935184248,16,5.430940389633179,16,9.36629056930542,1715397500.9443436,0.8136795033983452
11.216964451999551,10.463353961659273,1.2771948276644183,17,5.612659215927124,17,9.548010349273682,1715397501.1260633,0.7536104903402786
9.660509445934128,8.560566125283714,1.3491107283301746,18,5.787854194641113,18,9.723122358322144,1715397501.3011754,1.0999433206504137
9.005063208067345,7.746013807777125,1.3534878496264287,19,5.989222288131714,19,9.924350500106812,1715397501.5024035,1.2590494002902206
8.844063961651848,7.595314346913177,1.3540183988882168,20,6.180686950683594,20,10.116324186325073,1715397501.6943772,1.24874961473867
9.013411175324698,7.872212476107228,1.378286005984573,21,6.377230882644653,21,10.312690496444702,1715397501.8907435,1.1411986992174705
8.616342372395428,7.324203289985531,1.3751781874227558,22,6.563838481903076,22,10.499172687530518,1715397502.0772257,1.292139082409897
8.392653768534815,7.148090612373312,1.4137715849887227,23,6.750585317611694,23,10.685914516448975,1715397502.2639675,1.2445631561615043
8.197631431767652,6.9243588269161735,1.3952554107902542,24,6.932445287704468,24,10.867806434631348,1715397502.4458594,1.2732726048514789
8.260257763547198,7.000021543825499,1.4557169344432104,25,7.122795581817627,25,11.058222770690918,1715397502.6362758,1.2602362197216985
8.02268757419124,6.476275999819459,1.4650110069363689,26,7.316826820373535,26,11.25213623046875,1715397502.8301892,1.5464115743717808
7.924682612998792,6.390710767563563,1.5204733118016673,27,7.514341831207275,27,11.44983458518982,1715397503.0278876,1.5339718454352291
6.881564711279118,5.4024256229553735,1.501744772695407,28,7.698068857192993,28,11.633796453475952,1715397503.2118495,1.4791390883237452
7.547014854009028,5.8814875986383015,1.513891764037389,29,7.88176703453064,29,11.817065477371216,1715397503.3951185,1.6655272553707263
7.092584873069982,5.640345884549857,1.5135576423943864,30,8.090528011322021,30,12.025683641433716,1715397503.6037366,1.4522389885201246
7.213281499148057,5.50695073408993,1.573280022843133,31,8.329320430755615,31,12.264297008514404,1715397503.84235,1.7063307650581272
6.600586872656948,4.912276023119851,1.5500928682511044,32,8.554352283477783,32,12.489384651184082,1715397504.0674376,1.688310849537097
6.750914993041409,5.121514635630329,1.5478135822544263,33,8.769522428512573,33,12.704681634902954,1715397504.2827346,1.6294003574110796
6.43151797898982,4.73790662865305,1.5639645413278502,34,8.962221622467041,34,12.898817300796509,1715397504.4768703,1.6936113503367705
6.27676579440895,4.671556512313046,1.5560396327625379,35,9.168569803237915,35,13.104336261749268,1715397504.6823893,1.6052092820959047
6.617480578184598,4.876266786898598,1.5687507218050551,36,9.37651014328003,36,13.31164836883545,1715397504.8897014,1.741213791286
6.322872438071121,4.682331827163068,1.5580416441768759,37,9.574870586395264,37,13.510770082473755,1715397505.088823,1.6405406109080523
6.279867389102033,4.710923194460259,1.5717249367994495,38,9.762888193130493,38,13.698282480239868,1715397505.2763355,1.5689441946417737
6.35754700353507,4.828374278839004,1.659633230534158,39,9.950345754623413,39,13.885724544525146,1715397505.4637775,1.529172724696067
6.256400926418229,4.311947995477146,1.6021465276648064,40,10.150474786758423,40,14.086023330688477,1715397505.6640763,1.9444529309410836
5.866588477655358,3.9508582273869783,1.6097087799010774,42,10.565944194793701,41,14.501651763916016,1715397506.0797048,1.91573025026838
5.564676965473924,3.656219484950915,1.5972505590522135,46,11.389695882797241,42,15.325021028518677,1715397506.903074,1.908457480523009
