step,loss,_step,_runtime,_timestamp,time,loss_boundary,loss_interior,l2_error
0,121.7103350429466,0,7.0653159618377686,1715592303.569243,1.642737865447998,1.6761577093521625,120.03417733359443,1.62714189594161
1,84.32052893279499,1,7.129448175430298,1715592303.6333752,2.439126491546631,1.4838320381617045,82.83669689463328,1.3048810024056716
2,38.5201813373415,2,7.184901714324951,1715592303.6888287,2.494621515274048,1.2220985829427269,37.29808275439877,1.1622265934917786
3,16.606324756731098,3,7.241955518722534,1715592303.7458825,2.549741506576538,1.0856331831873733,15.520691573543724,1.1324618632621062
4,10.25546266462599,4,7.297478199005127,1715592303.8014052,2.6072022914886475,1.050478448528072,9.204984216097918,1.1485553896460816
5,9.928008166971752,5,7.353846311569214,1715592303.8577733,2.6635780334472656,1.0610852772166304,8.866922889755122,1.1287423958097142
6,8.001797715585262,6,7.406307220458984,1715592303.9102342,2.716216802597046,0.9985144502582664,7.0032832653269965,1.0403339049340494
7,6.576538030317848,7,7.457429885864258,1715592303.9613569,2.767345905303955,0.7832141206590914,5.793323909658756,0.9584332510174465
8,5.786439928282288,8,7.509516000747681,1715592304.013443,2.819425582885742,0.6273117037034538,5.159128224578835,0.8424776673567789
9,4.638972927018245,9,7.56030797958374,1715592304.064235,2.8702354431152344,0.4985487654540333,4.140424161564212,0.7695904099784756
10,4.234454570484862,10,7.611329555511475,1715592304.1152565,2.9212541580200195,0.4360789786383938,3.7983755918464683,0.7131757967596678
11,3.4607412805846858,11,7.665581941604614,1715592304.169509,2.975480318069458,0.38165511091335486,3.079086169671331,0.7132424385591145
12,2.8793345665841676,12,7.719886541366577,1715592304.2238135,3.0297739505767822,0.3532195983334357,2.526114968250732,0.6454614388520847
13,2.527336125846336,13,7.772954940795898,1715592304.276882,3.0828425884246826,0.2871761774641111,2.240159948382225,0.5180428173035794
14,2.0287561387653756,14,7.82707405090332,1715592304.331001,3.136971950531006,0.19468693108350482,1.834069207681871,0.5167213958005308
15,1.5943904654448453,15,7.882497787475586,1715592304.3864248,3.192422389984131,0.18931335030190172,1.4050771151429435,0.5185100499971403
16,1.432543971257944,16,7.936377286911011,1715592304.4403043,3.2462403774261475,0.1806241210691991,1.251919850188745,0.5119364954374673
17,1.321938402301202,17,7.989126205444336,1715592304.4930532,3.2990264892578125,0.16842177144486806,1.1535166308563338,0.469857221869309
18,1.1716952336095006,18,8.041977643966675,1715592304.5459046,3.351901054382324,0.1391878179848705,1.03250741562463,0.3721425436975102
19,1.0151765544284392,19,8.09490442276001,1715592304.5988314,3.404796600341797,0.09334951106170071,0.9218270433667385,0.3441996788675385
20,0.8369958410707783,20,8.148815155029297,1715592304.6527421,3.458723306655884,0.08403089422541055,0.7529649468453677,0.33663994854199064
21,0.765312399875324,21,8.199646711349487,1715592304.7035737,3.509566068649292,0.08169459708466732,0.6836178027906566,0.3230401361485978
22,0.6549701824082252,22,8.249975204467773,1715592304.7539022,3.559906244277954,0.07603614875034807,0.5789340336578772,0.31541698381792055
23,0.5967771240885942,23,8.303330659866333,1715592304.8072577,3.613248825073242,0.0724770457861042,0.52430007830249,0.29699466887676307
24,0.5227897307746523,24,8.357616901397705,1715592304.861544,3.6675400733947754,0.06564526599239302,0.45714446478225923,0.2632724007245792
25,0.4160493240734465,25,8.408185482025146,1715592304.9121125,3.7180776596069336,0.05497634064958255,0.36107298342386396,0.259003680740298
26,0.38808281351199364,26,8.460901498794556,1715592304.9648285,3.770768404006958,0.05346079959573702,0.3346220139162566,0.2515456436428423
27,0.3509320135071606,27,8.514146327972412,1715592305.0180733,3.824018955230713,0.05089910358394806,0.3000329099232125,0.2412040384890256
28,0.29840720496664247,28,8.566128492355347,1715592305.0700555,3.8760244846343994,0.04645493401716918,0.2519522709494733,0.24078183740988746
29,0.273339573083984,29,8.616852045059204,1715592305.120779,3.926795721054077,0.045815971192560465,0.2275236018914235,0.23923151608870102
30,0.2570475045494395,30,8.669797897338867,1715592305.173725,3.979717969894409,0.04527484701856927,0.21177265753087018,0.2300147922875751
31,0.23523281197666274,31,8.723633050918579,1715592305.22756,4.03354811668396,0.042683232413844266,0.19254957956281846,0.22839886422786873
32,0.21627047962269835,32,8.77742624282837,1715592305.2813532,4.0873448848724365,0.04216653005828867,0.1741039495644097,0.22656014096297072
33,0.20734466570314533,33,8.830454111099243,1715592305.334381,4.140368700027466,0.04164605417447373,0.1656986115286716,0.22541509275907426
34,0.2025632340120328,34,8.883898496627808,1715592305.3878255,4.193831205368042,0.04130795583957818,0.16125527817245464,0.2241277398207384
35,0.2000078455297622,35,8.935111999511719,1715592305.439039,4.245062351226807,0.04090824591478881,0.15909959961497339,0.2185331864533621
36,0.18673945763783728,36,8.988618612289429,1715592305.4925456,4.298522472381592,0.03902764502593808,0.1477118126118992,0.21108983127435285
37,0.16888871770774858,37,9.042340755462646,1715592305.5462677,4.352276563644409,0.036663816801944304,0.13222490090580427,0.2075194204317389
38,0.1618501073649601,38,9.095925331115723,1715592305.5998523,4.4058637619018555,0.03552380938602966,0.12632629797893044,0.2055013897387058
39,0.15262582242530237,39,9.150180339813232,1715592305.6541073,4.460122108459473,0.03499576139824697,0.1176300610270554,0.20224906003446635
40,0.14911788018106426,40,9.204310178756714,1715592305.7082372,4.514224290847778,0.03416804220559902,0.11494983797546524,0.20042778150523266
42,0.13079352645037332,41,9.308608293533325,1715592305.8125353,4.618529319763184,0.03254004742515749,0.09825347902521582,0.19204009634621796
46,0.1123961514800598,42,9.509481191635132,1715592306.0134082,4.819406986236572,0.029056855840139714,0.08333929563992008,0.18116900372092692
50,0.09906572666162158,43,9.723320960998535,1715592306.227248,5.033195734024048,0.026245736182589414,0.07281999047903216,0.17138271338104857
55,0.08541388834884688,44,9.985203266143799,1715592306.4891303,5.295116186141968,0.02375566225657658,0.06165822609227029,0.1611379345087856
61,0.07300158578775526,45,10.297256231307983,1715592306.8011832,5.607155084609985,0.021049515811424866,0.05195206997633039,0.1512952973470684
