loss_interior,time,loss_boundary,step,_step,loss,_runtime,l2_error,_timestamp
120.03417733359443,1.1378734111785889,1.6761577093521625,0,0,121.7103350429466,5.266338348388672,2.0038492986158185,1715388442.9945424
59.2104124519166,1.6839485168457031,2.8713279601881285,1,1,62.08174041210473,5.504078388214111,4.288288893850667,1715388443.2322824
16.608814378974472,1.8630375862121582,10.982470790995448,2,2,27.59128516996992,5.683108806610107,3.522192068178967,1715388443.4113128
6.069641143814963,2.0812058448791504,8.223175105931686,3,3,14.29281624974665,5.901264190673828,2.6651468939018224,1715388443.6294682
4.90208079144088,2.3567755222320557,4.668905300062441,4,4,9.570986091503322,6.177088022232056,1.0219786577012024,1715388443.905292
3.4158239716609278,2.7332088947296143,0.7245816571949136,5,5,4.1404056288558415,6.553508281707764,0.41475377414538867,1715388444.2817123
1.481254912482496,3.1022448539733887,0.1441415009580201,6,6,1.625396413440516,6.922297954559326,0.37740687088763,1715388444.650502
0.6256507083846218,3.4959402084350586,0.10560983955697195,7,7,0.7312605479415937,7.316028356552124,0.36136745375489354,1715388445.0442324
0.3617510301917326,3.9026191234588623,0.1255333924841607,8,8,0.48728442267589334,7.723132371902466,0.3340819960183885,1715388445.4513364
0.20115206106045294,4.263435363769531,0.0979458679924885,9,9,0.2990979290529414,8.083441495895386,0.29583024660348767,1715388445.8116455
0.15483335991957878,4.615269422531128,0.07089611075751,10,10,0.22572947067708876,8.43518328666687,0.24392622809494025,1715388446.1633873
0.24014966817581482,5.001518487930298,0.05987740392838519,11,11,0.3000270721042,8.821450233459473,0.2299974618930991,1715388446.5496542
0.11701993075779539,5.413628816604614,0.04699884740131474,12,12,0.16401877815911015,9.234874963760376,0.22823586464579,1715388446.963079
0.09852531794207296,5.789418697357178,0.0475331160607567,13,13,0.14605843400282967,9.60942554473877,0.2128600845507259,1715388447.3376296
0.09001737622851275,6.144208908081055,0.04563739238989547,14,14,0.13565476861840822,9.964394569396973,0.1444545410257039,1715388447.6925986
0.15848827903158663,6.4954235553741455,0.018843672654199374,15,15,0.177331951685786,10.315433263778687,0.14759586539257558,1715388448.0436373
0.097996538217418,6.88104248046875,0.023141918917225678,16,16,0.12113845713464368,10.701108932495117,0.15454632341477278,1715388448.429313
0.0821931152673415,7.278859615325928,0.019049831861689088,17,17,0.10124294712903058,11.098961591720581,0.15164197571928398,1715388448.8271656
0.07046200603847147,7.68832802772522,0.023149178529490506,18,18,0.09361118456796197,11.508439779281616,0.12599654506681202,1715388449.2366438
0.05689510264707124,8.067353010177612,0.015545158640219428,19,19,0.07244026128729067,11.887601137161255,0.11521077359295587,1715388449.6158051
0.05110417253039747,8.510224103927612,0.011929654299556584,20,20,0.06303382682995405,12.330193758010864,0.106094708650202,1715388450.0583978
0.0418650975912198,8.897806882858276,0.009877545518475672,21,21,0.05174264310969547,12.717887878417969,0.10767891303652306,1715388450.446092
0.031291827384220566,9.284357786178589,0.011709408901769013,22,22,0.04300123628598958,13.105270147323608,0.10087667903791207,1715388450.8334742
0.02565803320429857,9.660047054290771,0.00916154194871164,23,23,0.03481957515301021,13.48030948638916,0.09540204379123132,1715388451.2085135
0.020867132196495327,10.032328367233276,0.007836042753162492,24,24,0.02870317494965782,13.852436542510986,0.08764517474220486,1715388451.5806406
0.01992288187213721,10.401598930358887,0.007833554531507619,25,25,0.02775643640364483,14.221621751785278,0.07301432162335915,1715388451.9498258
0.01538073406000475,10.779916286468506,0.0047107968530510054,26,26,0.020091530913055756,14.600016832351685,0.06806019470304919,1715388452.3282208
0.013465993781030102,11.146219730377197,0.004833950206209508,27,27,0.01829994398723961,14.966241836547852,0.061930250311412374,1715388452.6944458
0.011057189850893396,11.540133476257324,0.0038350012940448603,28,28,0.014892191144938257,15.360516548156738,0.05763358756572174,1715388453.0887206
0.009916972004425552,11.902427673339844,0.0033195808698552863,29,29,0.013236552874280837,15.722374439239502,0.05407067775312139,1715388453.4505785
0.008479068903013318,12.267269134521484,0.002991802964864188,30,30,0.011470871867877507,16.087304830551147,0.04951780201019247,1715388453.8155088
0.007595775742842276,12.621603727340698,0.002333288049224797,31,31,0.009929063792067074,16.4415340423584,0.04373422725698506,1715388454.169738
0.006973458494236015,12.992252111434937,0.001629265863504743,32,32,0.008602724357740758,16.812218189239502,0.040019696836132074,1715388454.5404222
0.00664682962802802,13.346238613128662,0.0016720969314618017,33,33,0.008318926559489822,17.16623330116272,0.03788329061673857,1715388454.8944373
0.00635249873242701,13.706261396408081,0.0013401257090047277,34,34,0.007692624441431738,17.52622151374817,0.03698182669550126,1715388455.2544255
0.00601703942318593,14.072597742080688,0.0013694559777194483,35,35,0.007386495400905378,17.892590761184692,0.035875149883424655,1715388455.6207948
0.006408929431169879,14.450648784637451,0.0013991437023032564,36,36,0.007808073133473136,18.27120566368103,0.034382021760058425,1715388455.9994097
0.005725262825548465,14.80752968788147,0.0011411561904536547,37,37,0.006866419016002119,18.62747025489807,0.03346502139641257,1715388456.3556743
0.005612644766967402,15.162359714508057,0.0010214355753605765,38,38,0.006634080342327978,18.982402801513672,0.0323134597402623,1715388456.7106068
0.005455850094198232,15.515595436096191,0.0009428421233873662,39,39,0.006398692217585598,19.335558891296387,0.031073239323371575,1715388457.063763
0.005475845105158771,15.864681720733643,0.0009903824590154129,40,40,0.006466227564174184,19.684591054916382,0.02975478692695202,1715388457.412795
0.005304675911765331,16.56082010269165,0.0007794525689822098,42,41,0.00608412848074754,20.3807635307312,0.026980506336548887,1715388458.1089675
