l2_error,_timestamp,_step,step,time,_runtime,loss_boundary,loss_interior,loss
1.5716456404288888,1715589306.6509137,0,0,1.6562473773956299,5.706064701080322,1.6761577093521625,120.03417733359443,121.7103350429466
8.008761408533422,1715589306.7014897,1,1,1.970367193222046,5.756640672683716,1.6761555589198394,120.03416774020924,121.71032329912909
3.1692558923403995,1715589306.73876,2,2,2.0077993869781494,5.793910980224609,43.33637708792613,2157.5304514619725,2200.8668285498984
2.5223055455271943,1715589306.7779675,3,3,2.0470259189605713,5.833118438720703,7.9299734990743795,136.47710091279015,144.40707441186453
2.090565297676971,1715589306.8165147,4,4,2.0855677127838135,5.871665716171265,4.580197929329554,50.94400670830165,55.5242046376312
2.087731568331021,1715589306.8539758,5,5,2.1230547428131104,5.9091267585754395,3.4291912229262524,24.26310425078535,27.692295473711603
2.0657857027678257,1715589306.8942792,6,6,2.1633310317993164,5.949430227279663,3.343277992151926,12.7330684924961,16.076346484648028
1.8873604072990016,1715589306.9252543,7,7,2.1945385932922363,5.980405330657959,3.247381513739638,8.490840915316872,11.73822242905651
1.5949391367248313,1715589306.9629493,8,8,2.2310192584991455,6.018100261688232,2.693122633642214,6.65913799080986,9.352260624452075
1.3144038614768527,1715589306.9992547,9,9,2.2685086727142334,6.054405689239502,1.954010232299118,5.395342023453011,7.349352255752129
0.9450892986369885,1715589307.0326385,10,10,2.301877021789551,6.087789535522461,1.318406751306035,4.651314527129274,5.969721278435308
0.6865196111763611,1715589307.063192,11,11,2.332491874694824,6.118342876434326,0.6800351068580406,4.185523867895983,4.865558974754024
0.38388064172675135,1715589307.0943985,12,12,2.363661050796509,6.14954948425293,0.375389655690252,3.5335375254286796,3.9089271811189317
0.33797187226753944,1715589307.1269898,13,13,2.3961398601531982,6.182140827178955,0.1337987246877616,2.945906349731717,3.0797050744194783
0.3475008148590508,1715589307.1570797,14,14,2.426356077194214,6.212230682373047,0.11066901919689738,2.2452847738305284,2.355953793027426
0.3707633318791824,1715589307.1949608,15,15,2.4641482830047607,6.250111818313599,0.1128634180743149,1.839301798822883,1.952165216897198
0.37455192984130936,1715589307.2265515,16,16,2.495811700820923,6.281702518463135,0.12314807669078123,1.5669999275007067,1.690148004191488
0.37407625853497045,1715589307.260395,17,17,2.5296554565429688,6.315546035766602,0.12205666758152117,1.329706856031734,1.4517635236132551
0.36119933143732036,1715589307.2944503,18,18,2.5635998249053955,6.3496012687683105,0.12135379244625151,0.9938086134050027,1.1151624058512541
0.34888592057627904,1715589307.3278458,19,19,2.5970520973205566,6.3829967975616455,0.11547620208159717,0.8185378792509302,0.9340140813325274
0.33211647061819133,1715589307.360331,20,20,2.629585027694702,6.415482044219971,0.11135241214958606,0.695111603106681,0.806464015256267
0.3278709670465898,1715589307.3927345,21,21,2.662022590637207,6.447885513305664,0.10302537072217126,0.6002691671633662,0.7032945378855374
0.3223403218788412,1715589307.4216743,22,22,2.6909332275390625,6.47682523727417,0.10282934427068716,0.5091272200259296,0.6119565642966167
0.3108830155350705,1715589307.4504573,23,23,2.7197179794311523,6.505608320236206,0.09821184100647377,0.47529451592324334,0.5735063569297171
0.2697719386603867,1715589307.4792323,24,24,2.7485077381134033,6.534383296966553,0.09151702927666844,0.41191116851220644,0.5034281977888748
0.2709978972711881,1715589307.515199,25,25,2.7844557762145996,6.570349931716919,0.06717311116954014,0.42301929771141966,0.49019240888095983
0.27650932862897587,1715589307.5470483,26,26,2.816328287124634,6.60219931602478,0.062352708903464914,0.342809993612434,0.4051627025158989
0.26596184162741215,1715589307.5783632,27,27,2.847658157348633,6.633514165878296,0.059664882934863016,0.4468198075322622,0.5064846904671252
0.2532452156456096,1715589307.6098928,28,28,2.87919545173645,6.665043830871582,0.05595587699681731,0.2918094061338109,0.3477652831306282
0.21563422520310863,1715589307.6452227,29,29,2.9144465923309326,6.700373649597168,0.0521071273541738,0.27826079340946913,0.3303679207636429
0.2026606578904067,1715589307.6792307,30,30,2.9485256671905518,6.734381675720215,0.0427702609831867,0.25809575683864555,0.30086601782183225
0.21006693298015258,1715589307.7080414,31,31,2.977349042892456,6.763192415237427,0.03949492844703872,0.24545362720667335,0.2849485556537121
0.2128000400413653,1715589307.7369108,32,32,3.006223678588867,6.792061805725098,0.041105982749959455,0.22060881237886565,0.2617147951288251
0.20526718528704968,1715589307.7660244,33,33,3.035299301147461,6.8211753368377686,0.04030108157901384,0.20152687444207612,0.24182795602108997
0.20405162094871254,1715589307.7949183,34,34,3.0642213821411133,6.850069284439087,0.035729451071345675,0.18717294046381763,0.2229023915351633
0.19746835116047604,1715589307.823845,35,35,3.093153715133667,6.878995895385742,0.03358726412325983,0.16692654987828207,0.2005138140015419
0.18349193851914009,1715589307.85972,36,36,3.128999710083008,6.914870977401733,0.03065529360586801,0.15248192792272156,0.18313722152858958
0.1839536823786629,1715589307.890021,37,37,3.159271001815796,6.945172071456909,0.025979983392226843,0.13658845163776095,0.1625684350299878
0.1720672533818759,1715589307.9227855,38,38,3.192047595977783,6.977936506271362,0.026098128617025474,0.12725143601763686,0.15334956463466234
0.15929761371935133,1715589307.9545794,39,39,3.223841667175293,7.009730339050293,0.024400722984380833,0.11681208799444577,0.1412128109788266
0.1430774655110978,1715589307.9834335,40,40,3.2527027130126953,7.038584470748901,0.022653893595621994,0.1124541117936717,0.13510800538929368
0.15888101957832418,1715589308.0514355,41,42,3.3206937313079834,7.106586456298828,0.021496201054784794,0.09703556407655062,0.11853176513133541
