step,loss_interior,_timestamp,loss,_runtime,loss_boundary,time,_step,l2_error
0,120.03417733359443,1715386650.246345,121.7103350429466,5.147179126739502,1.6761577093521625,1.0538387298583984,0,1.5655393203118764
1,120.21928718265693,1715386650.2845705,121.54241536709443,5.185404539108276,1.3231281844375107,1.4024450778961182,1,1.5546916601196805
2,120.35584667688411,1715386650.315418,121.82121928024213,5.216252088546753,1.4653726033580174,1.433314323425293,2,1.5402263185990808
3,122.74067855678891,1715386650.33361,124.09070808668514,5.2344441413879395,1.3500295298962308,1.451385736465454,3,1.522766742519907
4,118.55777218216964,1715386650.350244,119.82902947852719,5.251078128814697,1.2712572963575517,1.4681425094604492,4,1.5017126636589577
5,119.33503157757967,1715386650.3663754,120.7437620326702,5.267209529876709,1.408730455090533,1.4842753410339355,5,1.4798877465355866
6,118.39106636122884,1715386650.383149,119.6581785959765,5.283982992172241,1.267112234747658,1.5009534358978271,6,1.4580239799945485
7,116.83286581925373,1715386650.4002106,117.95676454748622,5.301044702529907,1.1238987282324848,1.5180881023406982,7,1.436258831520057
8,115.78200773338003,1715386650.4191046,117.03377561488524,5.319938659667969,1.251767881505213,1.5370335578918457,8,1.4136992460546947
9,114.62417073357983,1715386650.4351687,115.84173214336037,5.336002826690674,1.2175614097805376,1.5531058311462402,9,1.3891353230448704
10,121.96141859263383,1715386650.4558094,122.99215126263336,5.356643438339233,1.0307326699995285,1.5737600326538086,10,1.364057352605337
11,115.09682989655454,1715386650.4718075,116.21898322988625,5.372641563415527,1.1221533333317124,1.5897603034973145,11,1.3318802763092037
12,113.42539861720394,1715386650.4894392,114.34864956738933,5.390273332595825,0.9232509501853949,1.6060664653778076,12,1.2908335898048342
13,115.33523662088291,1715386650.5069373,116.3045922225481,5.407771348953247,0.9693556016651838,1.6244077682495117,13,1.2446223001938428
14,116.02619017389544,1715386650.5243454,116.84658724577132,5.425179481506348,0.8203970718758694,1.6418027877807617,14,1.1946261975688248
15,111.26223573047201,1715386650.5413966,111.90908752011862,5.442230701446533,0.6468517896466063,1.658947229385376,15,1.1248974240573821
16,109.84738137210283,1715386650.5584524,110.52860862734826,5.459286451339722,0.6812272552454343,1.6759862899780273,16,1.027396661033761
17,108.418092795102,1715386650.5758665,108.96225125140822,5.4767005443573,0.5441584563062161,1.693310022354126,17,0.9179763149081069
18,98.10062641556358,1715386650.5930269,98.49910335205865,5.493860960006714,0.39847693649507565,1.710580587387085,18,0.792164793004595
19,86.54863143700494,1715386650.610026,86.88346625619481,5.510859966278076,0.33483481918986013,1.7276010513305664,19,0.7158211380444919
