_step,loss_boundary,loss,step,time,l2_error,loss_interior,_runtime,_timestamp
0,1.6761577093521625,121.7103350429466,0,1.493638277053833,1.7418041344666133,120.03417733359443,5.72190523147583,1715395739.1382732
1,1.7750912763086513,103.8773665181769,1,2.113610029220581,1.3004828712068957,102.10227524186824,6.0398688316345215,1715395739.4562368
2,1.2286764719754502,64.98430782917546,2,2.365527868270874,1.0843029999475349,63.755631357200016,6.289052724838257,1715395739.7054207
3,0.8638968137039744,35.39942730883512,3,2.627819299697876,1.1256576721937817,34.53553049513115,6.55150580406189,1715395739.9678738
4,0.8722027107056974,13.83336633579165,4,2.8678953647613525,0.94131248619662,12.961163625085954,6.791778564453125,1715395740.2081466
5,0.6192393427393725,5.914216239195224,5,3.097702980041504,0.6945857493218612,5.294976896455852,7.023435115814209,1715395740.4398031
6,0.3095560793372554,3.6832993926395545,6,3.328028440475464,0.4514386008390898,3.3737433133022994,7.252232313156128,1715395740.6686003
7,0.12580199171589765,1.5190555145569322,7,3.5566582679748535,0.3336700855950897,1.3932535228410345,7.482043504714966,1715395740.8984115
8,0.07520947133000096,0.8425014471317849,8,3.7869036197662354,0.25305475788954723,0.7672919758017839,7.711174011230469,1715395741.127542
9,0.044583206294292736,0.4812074153181757,9,4.017042636871338,0.222834156985229,0.43662420902388294,7.941173076629639,1715395741.357541
10,0.034584765645310794,0.421170995588247,10,4.257168769836426,0.20002967616545458,0.38658622994293623,8.181732177734375,1715395741.5981002
11,0.029891519822276124,0.3360276446833392,11,4.4916181564331055,0.19056631541734848,0.30613612486106306,8.415898323059082,1715395741.8322663
12,0.02784502752609926,0.27294188211123627,12,4.734493255615234,0.18607948974363314,0.24509685458513703,8.658674240112305,1715395742.0750422
13,0.02834221758676582,0.286246904316128,13,4.972293853759766,0.17342869367359776,0.2579046867293622,8.896522283554077,1715395742.3128903
14,0.023380112969972205,0.2641015844352652,14,5.198693752288818,0.16968525440293247,0.240721471465293,9.122872114181519,1715395742.5392401
15,0.02153690009041781,0.24866219747868826,15,5.418785333633423,0.16480277017171527,0.22712529738827045,9.342810153961182,1715395742.7591782
16,0.020823431090321184,0.24245774195201591,16,5.641402244567871,0.1605233681743398,0.22163431086169474,9.565969705581665,1715395742.9823377
17,0.01752251350642406,0.2440414513702558,17,5.89157247543335,0.15918596664328363,0.22651893786383173,9.81571626663208,1715395743.2320843
18,0.020972683851911655,0.20973690632547032,18,6.124521970748901,0.15861274112884483,0.18876422247355867,10.04862666130066,1715395743.4649947
19,0.02076688164077866,0.2112841851142896,19,6.350364685058594,0.1579346159244733,0.19051730347351092,10.273626327514648,1715395743.6899943
20,0.019832441281123415,0.2061056014045576,20,6.5679566860198975,0.15728902037199474,0.1862731601234342,10.492046594619751,1715395743.9084146
21,0.02044605449094405,0.22171893058476896,21,6.795711278915405,0.1566464838658562,0.2012728760938249,10.720023393630981,1715395744.1363914
22,0.020955427311431598,0.20146550785700934,22,7.020460844039917,0.15646618073563956,0.18051008054557774,10.944869041442871,1715395744.361237
23,0.02013083742227076,0.20365761048253953,23,7.36893105506897,0.15628258525141434,0.18352677306026877,11.29227590560913,1715395744.708644
24,0.018488526330674215,0.19189065438082437,24,7.690200090408325,0.15620877243913978,0.17340212805015015,11.613490104675293,1715395745.029858
25,0.020401796839102794,0.22211153183908905,25,7.939014673233032,0.15614298277952285,0.20170973499998626,11.862268686294556,1715395745.2786367
26,0.01969121346297541,0.20022635707335332,26,8.172584533691406,0.15605119480786972,0.1805351436103779,12.096138000488281,1715395745.512506
27,0.019410968465155817,0.2093912893658395,27,8.441691637039185,0.1559251588902668,0.18998032090068367,12.365202903747559,1715395745.781571
28,0.020028122025169057,0.20145578330334657,28,8.73628544807434,0.15584344395323027,0.18142766127817753,12.663025379180908,1715395746.0793934
29,0.0188075703012693,0.21821481425904374,29,9.074607133865356,0.15607122007230004,0.19940724395777443,12.998120307922363,1715395746.4144883
30,0.019170162858975003,0.19969355621403392,30,9.307081937789917,0.1557366798212315,0.18052339335505893,13.230715036392212,1715395746.647083
31,0.020190088775671067,0.1999290228110788,31,9.537744998931885,0.15569113139785937,0.17973893403540772,13.46124792098999,1715395746.877616
32,0.018267074090366018,0.18429964944793154,32,9.900291919708252,0.15565843998660375,0.16603257535756552,13.823517560958862,1715395747.2398856
33,0.018971996095417547,0.21208692578028654,33,10.1628737449646,0.15567342324885994,0.19311492968486899,14.086384534835815,1715395747.5027525
34,0.019002141776079506,0.18600386104580957,34,10.476956367492676,0.15570747007733213,0.16700171926973006,14.400346994400024,1715395747.816715
35,0.01935915924438563,0.1977641594705686,35,10.708516597747803,0.15566477684511199,0.17840500022618297,14.63242793083191,1715395748.048796
36,0.019431641831123225,0.2045197760616191,36,10.976382970809937,0.1555910760836386,0.1850881342304959,14.899929761886597,1715395748.3162978
37,0.01854734497718729,0.19755799812472238,37,11.239034175872803,0.15557176590700567,0.1790106531475351,15.162513494491577,1715395748.5788815
38,0.017969351699241708,0.189432797835587,38,11.471193075180054,0.15554708978382117,0.1714634461363453,15.394681215286255,1715395748.8110492
39,0.018316398288069746,0.20624516130558232,39,11.692145824432373,0.15549024112975318,0.18792876301751257,15.615616083145142,1715395749.031984
40,0.019140806806678363,0.20599563253352868,40,11.918740510940552,0.15613270025651893,0.1868548257268503,15.842313051223755,1715395749.258681
41,0.016872332097413463,0.18762084007849433,42,12.427481412887573,0.1560673051719432,0.17074850798108088,16.35108256340027,1715395749.7674506
