_timestamp,loss,_step,l2_error,step,loss_boundary,time,_runtime,loss_interior
1715418865.9425316,124.79941088089237,0,1.5951724436789767,0,1.5480622822617889,1.1360712051391602,6.582859516143799,123.25134859863059
1715418865.9740474,124.60748835400452,1,1.5944792007225472,1,1.5975814506018082,1.7730286121368408,6.614375352859497,123.00990690340271
1715418866.0040755,119.23712570041222,2,1.5935216327672608,2,1.6701808104459588,1.8019342422485352,6.644403457641602,117.56694488996627
1715418866.0316396,121.5513220562519,3,1.5922912552898156,3,1.5487239126881454,1.82814621925354,6.671967506408691,120.00259814356376
1715418866.0570796,123.89019830454181,4,1.5908536461872935,4,1.521253348684767,1.8536248207092285,6.697407484054565,122.36894495585705
1715418866.0910609,122.49003913569832,5,1.5892333006815667,5,1.4998325967009738,1.890122413635254,6.731388807296753,120.99020653899736
1715418866.1221986,126.94870104921894,6,1.587494541224176,6,1.5350206840105696,1.918517827987671,6.762526512145996,125.41368036520836
1715418866.1512501,123.35037146176349,7,1.5855879280038216,7,1.5811167310720415,1.9484751224517822,6.791578054428101,121.76925473069144
1715418866.1817167,121.40250308354943,8,1.5835977357810282,8,1.532112551199663,1.9789092540740967,6.822044610977173,119.87039053234977
1715418866.2094324,117.14624065321114,9,1.5815279848076258,9,1.51642000053327,2.0081944465637207,6.849760293960571,115.62982065267786
1715418866.23837,124.67624854174886,10,1.5793607684884188,10,1.478281736721393,2.036013603210449,6.878697872161865,123.19796680502746
1715418866.2663662,122.66950711155081,11,1.577135979989743,11,1.422430444761637,2.065276861190796,6.906694173812866,121.24707666678918
1715418866.293904,120.65091111015926,12,1.5748690281389537,12,1.4554662070479754,2.0930087566375732,6.934231996536255,119.19544490311128
1715418866.3220289,123.58023095768944,13,1.5725735609714524,13,1.4425906809761877,2.1212587356567383,6.962356805801392,122.13764027671326
1715418866.3494759,127.3590906800573,14,1.5702055959365926,14,1.5579259625564934,2.1488819122314453,6.989803791046143,125.80116471750081
1715418866.3806593,126.19004415742431,15,1.5677647948619116,15,1.5037368391265236,2.179090738296509,7.020987272262573,124.68630731829779
1715418866.4092088,124.78629302144651,16,1.565215705236131,16,1.4414241610028284,2.2078158855438232,7.04953670501709,123.34486886044368
1715418866.437992,124.57532198829749,17,1.5625687244423763,17,1.352223503109397,2.2367324829101562,7.078320026397705,123.22309848518809
1715418866.466393,122.91916650035961,18,1.559771319516948,18,1.3413092954468095,2.265699625015259,7.106720924377441,121.5778572049128
1715418866.4945889,124.07484542564936,19,1.5568575955735804,19,1.2891800478110127,2.2934370040893555,7.13491678237915,122.78566537783834
1715418866.5226424,120.81412562387676,20,1.5537958148485407,20,1.422617607755072,2.321260690689087,7.162970304489136,119.39150801612169
1715418866.5511048,118.77357000956675,21,1.55054775177496,21,1.4446748185188734,2.3498454093933105,7.19143271446228,117.32889519104788
1715418866.579594,122.59341499451823,22,1.547050890360091,22,1.4355953590040436,2.3781957626342773,7.219921827316284,121.15781963551419
1715418866.6074932,122.41642330401481,23,1.5432646253414852,23,1.4989213201984786,2.406095504760742,7.247821092605591,120.91750198381634
1715418866.6361833,122.40044927442331,24,1.5391559772087258,24,1.4270781210847268,2.4350950717926025,7.276511192321777,120.97337115333858
1715418866.6654017,122.79121050383462,25,1.5346452051996797,25,1.3858443533748803,2.464325189590454,7.305729627609253,121.40536615045974
1715418866.6945965,126.39138127347258,26,1.5296807430351738,26,1.3776439032507486,2.492818832397461,7.3349244594573975,125.01373737022183
1715418866.723486,125.80630084661432,27,1.5242430701247962,27,1.3030776216207618,2.5224177837371826,7.363813877105713,124.50322322499356
1715418866.7521226,122.60743504915571,28,1.5182562796663308,28,1.34799544538891,2.550872325897217,7.392450571060181,121.25943960376681
1715418866.781053,122.18986065730533,29,1.5115510615896395,29,1.3852137546399823,2.57999849319458,7.421380996704102,120.80464690266535
1715418866.8098269,121.46717845123761,30,1.5039889935486992,30,1.4922141374920854,2.608781576156616,7.450154781341553,119.97496431374553
1715418866.838636,118.60671574678662,31,1.4955079139174132,31,1.2815027703297708,2.6376190185546875,7.478963851928711,117.32521297645685
1715418866.866281,117.80434647310253,32,1.485966501543709,32,1.2090127722950799,2.6658427715301514,7.506608963012695,116.59533370080744
1715418866.8930316,126.87850912868376,33,1.4749645742830124,33,1.363249859539713,2.6928107738494873,7.533359527587891,125.51525926914405
1715418866.9207654,116.6486639077175,34,1.462375303597365,34,1.2714066983295516,2.72005033493042,7.561093330383301,115.37725720938795
1715418866.9471047,123.20127824994162,35,1.4475814616959064,35,1.317957406484581,2.746518135070801,7.587432622909546,121.88332084345704
1715418866.9744482,119.91444737483522,36,1.4300649971999595,36,1.2822478663675556,2.774008274078369,7.614776134490967,118.63219950846766
1715418867.0017016,120.31671702393072,37,1.409019976314898,37,1.2401386580073452,2.801164150238037,7.642029523849487,119.07657836592338
1715418867.0287418,119.75823892839747,38,1.3833991445926839,38,1.129138821577508,2.828115940093994,7.669069766998291,118.62910010681996
1715418867.0560267,116.82034567145843,39,1.3523165030830426,39,1.1202659960095436,2.8553857803344727,7.696354627609253,115.70007967544888
1715418867.0835323,120.16952154449503,40,1.3130926136741328,40,0.9704633927829112,2.88315749168396,7.723860263824463,119.19905815171211
1715418867.1329875,113.01825867782179,41,1.1980972598509145,42,0.8638301659426064,2.9325597286224365,7.7733154296875,112.15442851187919
1715418867.2257018,90.23563383750326,42,0.899664954478149,46,0.4473052690036134,3.02506422996521,7.866029739379883,89.78832856849965
1715418867.3188603,40.890555668798505,43,1.2319425208456947,50,0.9633542503753766,3.1180975437164307,7.959188222885132,39.92720141842313
1715418867.4452038,48.84849692246107,44,1.7572142294902098,55,1.537731268297793,3.2444705963134766,8.08553171157837,47.310765654163276
1715418867.5867321,24.918295036276955,45,1.6862580383704096,61,1.7475389180312038,3.385972261428833,8.227060079574585,23.17075611824575
1715418867.7201302,21.271036468824402,46,1.7862460395821187,67,1.938249664531265,3.5194199085235596,8.360458135604858,19.332786804293136
1715418867.8583612,13.939358154560129,47,1.8381219896064096,73,1.9750572048968373,3.657069683074951,8.4986891746521,11.964300949663292
1715418868.051621,11.719958319603593,48,1.8300933844515694,81,2.2415792694405225,3.850377082824707,8.691948890686035,9.47837905016307
1715418868.2309198,9.312657411979586,49,1.7407459243381533,89,2.1103227110830174,4.029260158538818,8.8712477684021,7.20233470089657
1715418868.4279473,7.494341587145941,50,1.7962578786522334,98,2.1450054717746463,4.226485967636108,9.068275213241577,5.349336115371295
1715418868.6241608,6.48384125976057,51,1.6913728211755972,107,2.093572923662503,4.422727823257446,9.264488697052002,4.390268336098067
1715418868.8654974,5.445274526685233,52,1.685536460387595,118,1.8956042261830899,4.663937568664551,9.505825281143188,3.549670300502143
1715418869.1282148,4.7531308525401545,53,1.5763098032465424,130,1.7688714202380589,4.926985263824463,9.768542766571045,2.9842594323020952
1715418869.4226232,4.065711378481704,54,1.4720287389442228,143,1.3161653767134027,5.2213099002838135,10.06295108795166,2.749546001768301
1715418869.7328675,8.261327222633117,55,1.3918992423191299,157,1.522239496468336,5.531801462173462,10.37319540977478,6.739087726164781
1715418870.0753944,3.830441192399375,56,1.0646530544819208,172,1.141778145223013,5.873874664306641,10.71572232246399,2.688663047176362
1715418870.4573104,2.4154498326207565,57,0.9339997445446826,190,0.4797125151293052,6.2552759647369385,11.097638368606567,1.9357373174914512
1715418870.8425832,1.959615121999335,58,0.8016367172148808,208,0.3749911407471276,6.6411097049713135,11.482911109924316,1.5846239812522074
1715418871.291342,7.821565705331684,59,1.0955129104331387,229,0.39385054755845256,7.089494228363037,11.93166995048523,7.427715157773232
1715418871.7762449,1.1453203254747706,60,0.4140005665632835,252,0.1508500526545414,7.574836730957031,12.41657280921936,0.9944702728202292
1715418872.3291214,0.794480440648031,61,0.24980444260406073,277,0.04929887385415808,8.127706289291382,12.969449281692505,0.7451815667938729
1715418872.9536242,0.6072134909185337,62,0.228482521519487,305,0.03662518859940913,8.752020359039307,13.593952178955078,0.5705883023191246
1715418873.6090133,0.39901830093937796,63,0.15491707526054643,335,0.026761042386566226,9.407773733139038,14.249341249465942,0.3722572585528117
1715418874.3663104,0.3943897500545871,64,0.1649225542912284,369,0.03894672498538829,10.1647789478302,15.006638288497925,0.3554430250691988
1715418875.1704645,0.1473851203798365,65,0.10700169492013907,406,0.010976492646230376,10.968780994415283,15.810792446136475,0.13640862773360612
1715418876.055759,0.11260190927686968,66,0.10636476134063881,446,0.01167957231227291,11.854655504226685,16.696086883544922,0.10092233696459676
1715418877.0411549,0.09435235528276886,67,0.09969378784948342,491,0.009725906011640351,12.839766025543213,17.681482791900635,0.08462644927112851
1715418878.1096194,0.07621105427086705,68,0.09635528787732243,540,0.009400097833844049,13.908058166503906,18.74994730949402,0.066810956437023
1715418879.3006327,0.07633615320745957,69,0.11943556316156813,594,0.010639451245106343,15.099621057510376,19.94096064567566,0.06569670196235322
