l2_error,loss_boundary,step,_step,loss,loss_interior,time,_runtime,_timestamp
3.599103477495325,1.5480622822617889,0,0,124.79941088089237,123.25134859863059,1.341599702835083,5.626465797424316,1715427324.7194717
1.6114886777605104,6.556271216610503,1,1,121.51888601185753,114.96261479524703,2.3442955017089844,6.338505983352661,1715427325.4315119
1.278802726852559,1.5071872329957454,2,2,100.61314613554839,99.10595890255264,2.9757604598999023,6.97012996673584,1715427326.0631359
3.07000333386551,0.9327066539778941,3,3,92.71823651173983,91.78552985776194,3.604794502258301,7.598988771438599,1715427326.6919947
2.9728475754180335,5.366900696038909,4,4,34.360959014680276,28.994058318641365,4.374366521835327,8.369810819625854,1715427327.4628167
1.1320617077970099,4.5255285817839415,5,5,26.034965790282705,21.509437208498763,5.181689977645874,9.175710439682007,1715427328.2687163
0.9156325581205276,1.0046841084882736,6,6,5.717967210736169,4.713283102247895,6.040672063827515,10.034741878509521,1715427329.1277478
0.7734680388851186,0.8557820768704437,7,7,3.3208681015918726,2.465086024721429,7.104822397232056,11.098850965499878,1715427330.1918569
0.4917364948764551,0.5241510936665152,8,8,1.6138821683323683,1.089731074665853,7.930171012878418,11.924247741699219,1715427331.0172536
0.305651031705873,0.21260957397492353,9,9,0.7358221443714553,0.5232125703965318,8.862199068069458,12.85633397102356,1715427331.9493399
0.160552079769134,0.10173231830156024,10,10,0.30574624257644833,0.2040139242748881,10.058865070343018,14.052894353866577,1715427333.1459002
0.12587341042929096,0.021357164862149638,11,11,0.07558105841015632,0.054223893548006684,11.595203876495361,15.589626789093018,1715427334.6826327
0.08212047493405943,0.011962446180652559,12,12,0.03833444795787366,0.026372001777221106,13.049698114395142,17.04374384880066,1715427336.1367497
0.06796979185974013,0.006551603960320915,13,13,0.020051219818657005,0.01349961585833609,14.647714614868164,18.641746282577515,1715427337.7347522
0.05374078423983577,0.0039578143204795245,14,14,0.016270586373700012,0.012312772053220488,15.742675065994263,19.736756801605225,1715427338.8297627
0.051402650588774926,0.001967220948224273,15,15,0.014927402114699832,0.012960181166475558,17.25502610206604,21.2490553855896,1715427340.3420613
0.04163105527200498,0.001863191558549664,16,16,0.013303887268230473,0.01144069570968081,18.793213367462158,22.787230730056763,1715427341.8802366
0.03831318281772445,0.00131325877984346,17,17,0.011480722460750442,0.010167463680906982,20.574571132659912,24.568586587905884,1715427343.6615925
0.035858552103095326,0.0010668501710569794,18,18,0.011036625250793786,0.009969775079736808,22.34645104408264,26.340715169906616,1715427345.433721
0.03483874148467496,0.0010469564865922387,19,19,0.010878251017200278,0.00983129453060804,23.659483194351196,27.65356969833374,1715427346.7465756
0.03755715189206023,0.0010109232669900737,20,20,0.008783015549328936,0.007772092282338863,25.49177050590515,29.485750436782837,1715427348.5787563
0.03722298744761419,0.0012205435698001016,21,21,0.008032290000974029,0.006811746431173927,27.29995846748352,31.293936491012573,1715427350.3869424
0.03659232729257276,0.00133910752441819,22,22,0.0070993788180632325,0.005760271293645042,31.81916880607605,35.813183307647705,1715427354.9061892
0.03464739781001645,0.001338952015206618,23,23,0.006043120883605852,0.0047041688683992335,32.789304971694946,36.78331685066223,1715427355.8763227
0.03297566735935683,0.001071327248768971,24,24,0.005645653137202089,0.004574325888433118,34.38123297691345,38.37524771690369,1715427357.4682536
0.03161171707850007,0.001142251946255016,25,25,0.005520958489986742,0.004378706543731726,35.94682049751282,39.94115161895752,1715427359.0341575
0.03215949439528542,0.0008818982251618861,26,26,0.0051307731643786166,0.00424887493921673,40.44188737869263,44.43598461151123,1715427363.5289905
0.03279684484751352,0.0009421093567714511,27,27,0.005068774509682571,0.00412666515291112,41.525691747665405,45.51973295211792,1715427364.6127388
0.034919021340726684,0.001000292198839808,28,28,0.004798474982571457,0.003798182783731649,42.747745752334595,46.74175977706909,1715427365.8347657
0.03401825715629022,0.0009101354271338439,29,29,0.004398875403654836,0.003488739976520992,44.37208914756775,48.366132736206055,1715427367.4591386
0.03384119357945941,0.000734458053236553,30,30,0.0037986097238673563,0.0030641516706308033,48.88897228240967,52.88304948806763,1715427371.9760554
0.028197830067378696,0.0008106822822924913,31,31,0.003517810716842656,0.002707128434550165,49.8536901473999,53.847723722457886,1715427372.9407296
0.025069977664080253,0.000645673403029253,32,32,0.0030430266912777914,0.0023973532882485384,51.42988729476929,55.424017906188965,1715427374.5170238
0.024080380992359346,0.0005571110214084892,33,33,0.002837962437545751,0.0022808514161372613,53.00563645362854,56.99994993209839,1715427376.0929558
0.02736150771729238,0.00045288245943125063,34,34,0.0025505102334329273,0.0020976277740016765,54.61539649963379,58.609452962875366,1715427377.7024589
0.035612720939823726,0.0005050312709207826,35,35,0.002387428511030089,0.0018823972401093064,59.12975192070007,63.123889684677124,1715427382.2168956
0.03423899899496637,0.0007753093862293444,36,36,0.0026654191088717446,0.0018901097226424,60.63648319244385,64.63059139251709,1715427383.7235973
0.0310371428422719,0.0006417843118522987,37,37,0.002126635461269598,0.0014848511494172994,61.42070651054382,65.41481566429138,1715427384.5078216
0.027948055593772718,0.000572767927791671,38,38,0.0019925357663459907,0.0014197678385543197,62.41850304603577,66.41295146942139,1715427385.5059574
0.025899578034950972,0.0004849643783602819,39,39,0.0019844532861011794,0.0014994889077408976,63.47248840332031,67.46672487258911,1715427386.5597308
0.024596764979442173,0.00041195478628084075,40,40,0.0018561585183550422,0.0014442037320742014,68.09115195274353,72.08562541007996,1715427391.1786313
0.02267952649786027,0.0003328227199075282,42,41,0.001575329389678342,0.0012425066697708137,69.81838083267212,73.81292247772217,1715427392.9059284
