loss,loss_boundary,_timestamp,step,l2_error,loss_interior,_step,_runtime,time
118.81568917531203,1.4837270046698947,1715427924.2303252,0,1.5793644829328173,117.33196217064214,0,66.72606611251831,62.55993342399597
120.78641045892464,1.5399385315695961,1715427985.3291879,1,1.5799444397261493,119.24647192735505,1,127.82492876052856,124.05642700195312
125.46820728960549,1.4158740649013202,1715428046.435878,2,1.632666743341778,124.05233322470417,2,188.9316189289093,185.16251468658447
119.01658710347938,1.6062418110637977,1715428107.6134918,3,1.6139634992162408,117.41034529241558,3,250.10923266410828,246.3379991054535
117.61476994497485,1.7030630961971456,1715428169.007215,4,1.5475490118727657,115.91170684877771,4,311.5029559135437,307.7344069480896
118.34448998619293,1.531006880341508,1715428230.3417926,5,1.523238122850068,116.81348310585142,5,372.8375334739685,369.0692398548126
102.18212610009225,1.3322198174660818,1715428292.0035691,6,1.6482005975524547,100.84990628262616,6,434.4993100166321,430.7308084964752
63.23950356826653,1.4832703663485152,1715428353.9320931,7,1.2369451054400276,61.756233201918015,7,496.42783403396606,492.658878326416
32.3160200479973,0.8150853562532218,1715428415.694567,8,1.124301742722444,31.500934691744078,8,558.1903078556061,554.4216132164001
12.466217395193308,0.637014709723513,1715428477.2082448,9,1.1488979139138586,11.829202685469795,9,619.7039856910706,615.93528175354
7.555817396122405,0.6739651104497226,1715428538.742149,10,0.9149846186380544,6.881852285672683,10,681.2378900051117,677.4692697525024
4.269195902716353,0.4253981244764322,1715428600.2986755,11,0.19483548089992875,3.843797778239921,11,742.7944164276123,739.0254108905792
0.541288589702801,0.0244708920534384,1715428661.98187,12,0.08541410419859323,0.5168176976493626,12,804.4776108264923,800.7083468437195
0.12620118055988888,0.005234829009431795,1715428723.5065672,13,0.1238407107360967,0.12096635155045708,13,866.0023081302643,862.233672618866
0.058691149326008434,0.007738450287298734,1715428785.0813541,14,0.06293789462293696,0.0509526990387097,14,927.5770950317383,923.808541059494
0.009408627063196805,0.001967122427973571,1715428846.820261,15,0.04345297446682298,0.007441504635223234,15,989.3160018920898,985.5468034744263
0.004284764163544472,0.0009229131301746926,1715428908.2081993,16,0.013294814138503334,0.00336185103336978,16,1050.703940153122,1046.935350894928
0.001341907108903068,0.0001160542188966523,1715428969.527641,17,0.005078793454457279,0.0012258528900064157,17,1112.023381948471,1108.254278421402
0.0001949193300124567,1.7185215402439103e-05,1715429031.3190265,18,0.00529429149178435,0.0001777341146100176,18,1173.8147673606873,1170.0460178852081
5.8000892031158467e-05,1.4729382855746833e-05,1715429092.878593,19,0.0021647383124285004,4.327150917541163e-05,19,1235.37433385849,1231.6005952358246
1.681579753329692e-05,2.686730103959135e-06,1715429154.3173265,20,0.0013247300450248004,1.4129067429337782e-05,20,1296.8130674362183,1293.0442407131195
5.911313931394204e-06,1.1683032017783858e-06,1715429215.5484385,21,0.0005918351805755558,4.743010729615819e-06,21,1358.0441794395447,1354.275866508484
2.3658077224608284e-06,2.5456671362018834e-07,1715429276.7899623,22,0.0008252247529763193,2.11124100884064e-06,22,1419.2857031822205,1415.5171995162964
1.2261203997652898e-06,4.368384015714005e-07,1715429338.1572864,23,0.0006722051366285023,7.892819981938893e-07,23,1480.6530272960663,1476.8837349414825
8.592281018346412e-07,2.950143070456601e-07,1715429399.2645984,24,0.0005153958450592769,5.642137947889811e-07,24,1541.7603392601013,1537.9917912483215
5.898328131919136e-07,1.9585105697275817e-07,1715429460.245447,25,0.00044188950691006486,3.9398175621915543e-07,25,1602.7411878108978,1598.9730434417725
4.022705514055422e-07,1.3985662209692372e-07,1715429521.4553185,26,0.00034884551729139263,2.624139293086185e-07,26,1663.9510593414307,1660.1825304031372
3.376179106560311e-07,9.412970860306216e-08,1715429582.8362994,27,0.00034956311954793004,2.4348820205296895e-07,27,1725.332040309906,1721.56289935112
3.0044628394628486e-07,9.184229750463822e-08,1715429644.4533253,28,0.00024856286713432146,2.0860398644164667e-07,28,1786.9490661621094,1783.1800582408905
2.1348427381653427e-07,5.4603361050959264e-08,1715429705.7363317,29,0.00024439341582047617,1.58880912765575e-07,29,1848.2320725917816,1844.4629616737366
1.9496561245940346e-07,5.1685804411572886e-08,1715429767.0020282,30,0.00023556088517146835,1.4327980804783056e-07,30,1909.4977691173553,1905.7285861968994
1.752745157944145e-07,4.927460516482047e-08,1715429828.2577248,31,0.00023715637486092833,1.25999910629594e-07,31,1970.7534656524658,1966.9841244220734
1.544698946196268e-07,5.1746155492842254e-08,1715429889.8277833,32,0.0002293382502340729,1.0272373912678453e-07,32,2032.323524236679,2028.554765701294
1.4838338780069957e-07,4.392147016520636e-08,1715429951.103854,33,0.00022573336476423993,1.044619176354932e-07,33,2093.5995948314667,2089.830533504486
1.3594006663655337e-07,3.8928387096521076e-08,1715430012.108256,34,0.00018890989726963909,9.701167954003231e-08,34,2154.603996992111,2150.8352048397064
1.3942520771468244e-07,3.6334481248389835e-08,1715430072.9977207,35,0.0001866540243125652,1.0309072646629261e-07,35,2215.4934616088867,2211.725049972534
1.2539693865728122e-07,3.258879323407059e-08,1715430133.9282994,36,0.0001593377003340357,9.280814542321062e-08,36,2276.4240403175354,2272.6549105644226
1.1290182127922961e-07,2.5532788816623978e-08,1715430195.2149332,37,0.00016474793544157636,8.736903246260563e-08,37,2337.71067404747,2333.941436767578
1.011453038622317e-07,2.9169692081462352e-08,1715430256.264139,38,0.0001646921059153591,7.197561178076935e-08,38,2398.7598798274994,2394.9906520843506
