_step,loss_boundary,loss,step,_timestamp,loss_interior,time,_runtime,l2_error
16,2.2710704455699655e-06,7.978131923316439e-06,16,1715436214.5081935,5.707061477746472e-06,624.5150604248047,628.3874065876007,0.0011146144982171246
17,1.7258635917458087e-06,7.187591515339762e-06,17,1715436251.1644468,5.461727923593953e-06,661.1702878475189,665.0436599254608,0.0009958082094568173
18,1.5277916455116364e-06,5.039952825491618e-06,18,1715436287.882452,3.512161179979982e-06,697.8886890411377,701.7616651058197,0.0009184039659181139
19,1.3201685599187568e-06,4.836958261044412e-06,19,1715436324.6535912,3.516789701125655e-06,734.6593000888824,738.5328042507172,0.0008421283913149129
20,9.81075629056018e-07,4.181988108727973e-06,20,1715436361.08552,3.200912479671955e-06,771.0924866199493,774.9647331237793,0.0007988264622598352
21,8.952846332949874e-07,3.5810843188910714e-06,21,1715436397.7170408,2.685799685596084e-06,807.7229108810425,811.5962538719177,0.0007396509817028728
22,9.707882404305752e-07,3.362802990311251e-06,22,1715436434.4146044,2.3920147498806756e-06,844.4208714962006,848.2938175201416,0.00073054494353347
23,6.139264867658574e-07,2.7747091111615537e-06,23,1715436471.0596871,2.1607826243956963e-06,881.0662660598755,884.9389002323151,0.0006717142314099255
24,7.928168403130451e-07,2.8398640328692774e-06,24,1715436507.521849,2.0470471925562323e-06,917.5279793739319,921.4010620117188,0.0006828327009261591
25,5.900527386979095e-07,2.294954338912814e-06,25,1715436543.9799144,1.7049016002149048e-06,953.9869403839111,957.8591275215149,0.0006420517031908703
26,6.212291467116727e-07,2.429515039686571e-06,26,1715436580.4786415,1.808285892974898e-06,990.4852910041809,994.3578546047211,0.0006221336750696291
27,6.452263208741558e-07,2.459956828732748e-06,27,1715436617.0338454,1.8147305078585922e-06,1027.0407025814056,1030.9130585193634,0.0006058948807893246
28,5.336139002307378e-07,2.044776345758585e-06,28,1715436653.6849718,1.511162445527847e-06,1063.6915490627289,1067.5641849040985,0.0005916100753212478
29,5.067738989595136e-07,1.8905056069566089e-06,29,1715436690.488878,1.3837317079970953e-06,1100.4959449768066,1104.3680911064148,0.00058327697864501
30,5.952715853128192e-07,1.9080294380678944e-06,30,1715436726.973755,1.312757852755075e-06,1136.980530500412,1140.8529679775238,0.0005684881604614406
31,5.23651201956342e-07,1.9152831050273144e-06,31,1715436763.3961892,1.3916319030709726e-06,1173.4021089076996,1177.2754023075104,0.0005682609090235677
32,4.43951330143099e-07,1.6296266291251753e-06,32,1715436800.0973399,1.1856752989820764e-06,1210.10409617424,1213.9765529632568,0.0005591191783793214
33,5.02407494013096e-07,1.637706059888923e-06,33,1715436836.6451144,1.135298565875827e-06,1246.6517264842987,1250.5243275165558,0.0005365812115229376
34,4.1365801304568774e-07,1.4353796238225509e-06,34,1715436873.1214132,1.0217216107768632e-06,1283.1266729831696,1287.0006263256073,0.0005129899049221599
35,3.8830496643038635e-07,1.2783432321229123e-06,35,1715436909.6161838,8.90038265692526e-07,1319.6231651306152,1323.4953968524933,0.0005082094994279613
36,3.85356758173663e-07,1.2349741294985461e-06,36,1715436946.1116402,8.496173713248831e-07,1356.1182568073273,1359.9908533096313,0.0004954368786051614
37,3.901390725037168e-07,1.3753929835618294e-06,37,1715436982.6472697,9.852539110581127e-07,1392.6539552211761,1396.5264828205109,0.0004928408714384675
38,4.2922602063519504e-07,1.3475264683276458e-06,38,1715437019.1140964,9.183004476924507e-07,1429.1200983524323,1432.9933094978333,0.0004918073542939819
39,3.75490908653187e-07,1.2396341055128483e-06,39,1715437055.6032555,8.641431968596612e-07,1465.6101858615875,1469.4824686050415,0.0004962509586157528
40,3.652987284156859e-07,1.2903012395257249e-06,40,1715437092.0994496,9.250025111100389e-07,1502.1064083576202,1505.9786627292633,0.00047607886821006385
41,3.186207017897552e-07,1.1068279116367404e-06,42,1715437165.152525,7.882072098469851e-07,1575.1593720912933,1579.0317380428314,0.000457105647489685
42,3.1266068090874266e-07,1.046693103879474e-06,46,1715437311.261098,7.340324229707315e-07,1721.2671146392822,1725.1403110027313,0.00044406427824680427
43,3.146195037188068e-07,8.512279418331162e-07,50,1715437457.7775457,5.366084381143094e-07,1867.78356051445,1871.6567587852478,0.0004325940487904031
44,3.103122365290641e-07,8.021311864118556e-07,55,1715437640.9875252,4.918189498827915e-07,2050.9940237998962,2054.866738319397,0.0004219574081623659
45,2.4516617114591005e-07,6.82056354349596e-07,61,1715437861.4282424,4.36890183203686e-07,2271.434570789337,2275.3074555397034,0.0003945261470095026
46,3.1895858313416196e-07,8.447158308748723e-07,67,1715438083.392527,5.257572477407103e-07,2493.39918756485,2497.2717401981354,0.0004941601020607574
47,2.3121884417194127e-07,5.906650086223774e-07,73,1715438306.012797,3.5944616445043615e-07,2716.0191040039062,2719.8920102119446,0.00040380877541375476
48,2.3230215952491638e-07,5.339523733399496e-07,81,1715438601.9474373,3.0165021381503324e-07,3011.953394174576,3015.8266503810883,0.000404113267931998
